id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100233863,Javier Lamarque Cano,male,,,,,Lic. Javier Lamarque Cano.jpg,
Q100366494,Abelina López Rodríguez,female,1965-09-23,11,,,Abelina López Rodríguez.jpg,
Q101427603,Adriana Espinosa De los Monteros,female,1972-12-11,11,,,Adriana Espinosa de Los Monteros.jpg,
Q102198648,Miguel Prado de los Santos,male,,,,,,
Q102408924,Sergio Salazar Salazar,male,1948-11-23,11,,,,
Q102974155,María Roselia Jiménez Pérez,female,,,,,DIP. ROSELIA JIMENEZ SES. SOLEMNE 500 AÑOS VER.jpg,
Q104022648,Rubén Terán Águila,male,1981-08-09,11,,,DipRubenTeranAguila-Tlaxcala.jpg,
Q104389005,Delfino López Aparicio,male,1960-02-09,11,2020-12-20,11,,Delfino López Aparicio
Q104467194,María Esther Camargo Félix,female,,,,,,
Q104520970,Karen Castrejón Trujillo,female,1980-04-01,11,,,,Karen Castrejón Trujillo
Q104530849,Lizeth Guerra Méndez,female,1994-01-18,11,,,,
Q104696777,Claudia Yáñez Centeno,female,1959-05-02,11,,,Claudia Valeria Yáñez Centeno y Cabrera.jpg,
Q1047419,José Guadalupe Osuna Millán,male,1955-12-10,11,,,José Guadalupe Osuna Millán.jpg,José Guadalupe Osuna Millán
Q105086697,Leticia Ramírez Amaya,female,1961,9,,,,
Q105100776,Fabiola Loya Hernández,female,1974-11-05,11,,,,
Q1052403,Cecilia Romero,female,1952-10-03,11,,,,
Q105432853,José Alfredo Botello Montes,male,1956-12-07,11,,,,
Q105432900,Arturo Bours Griffith,male,1955-04-07,11,,,,
Q105434362,Primo Dothé Mata,male,1968-08-05,11,,,,
Q105539377,Jesús Horacio González Delgadillo,male,,,,,,
Q105540629,Martha Guerrero Sánchez,female,,,,,,
Q105607084,Higinio Del Toro Pérez,male,,,,,Higiniodeltoro.jpg,
Q105902317,Hirepan Maya Martínez,male,,,,,,
Q105970024,Yahleel Abdala,female,,,,,Yahleel Abdala (2021).jpg,
Q106152519,Mildred Ávila Vera,female,,,,,,
Q106206045,Enrique Ku Herrera,male,,,,,,
Q106430171,Lizbeth Mata Lozano,female,1984-01-18,11,,,,
Q106466706,Martha Garay Cadena,female,1955-04-03,11,,,,
Q106482699,Rocío Villarauz Martínez,female,1977-12-12,11,,,,
Q106504750,Carmen Almeida Navarro,female,1965-09-27,11,,,,
Q106564661,Raquel Bonilla Herrera,male,,,,,,
Q106570297,Mary Carmen Bernal Martínez,female,1984-08-24,11,,,Diputada Federal Mary Carmen.jpg,
Q106588769,Saúl Huerta Corona,male,1958-03-31,11,,,Diputado Saúl Huerta.jpg,
Q106672111,María de la Luz Núñez Ramos,female,1948-02-19,11,,,,
Q106734335,Roberto Rubio Montejo,male,1977-04-20,11,,,,
Q106863209,Marco Antonio Calzada Arroyo,male,,,,,,
Q106866630,Olga Patricia Sosa Ruiz,female,1974-09-22,11,,,OlgaSosa.jpg,
Q107159571,Luis Mendoza Acevedo,male,1980-01-12,11,,,,
Q107176444,Mara Lezama Espinosa,female,1969,9,,,,Mara Lezama Espinosa
Q107278832,Rosa María González Azcárraga,female,1970-05-12,11,,,RosaMaGonzalez.jpg,
Q107283364,Erasmo González Robledo,male,1972-06-28,11,,,,
Q107292345,Juan Francisco Espinoza Eguia,male,1971-11-10,11,,,,
Q107311725,Roberto Salcedo Aquino,male,1943-11-26,11,,,Portrait of Roberto Salcedo Aquino.jpg,Roberto Salcedo Aquino
Q107311841,Telésforo García Carreón,male,,,,,,
Q107365691,Cecilia Patrón Laviada,female,1971-03-25,11,,,,
Q107379567,Salma Luévano,female,1968-03-21,11,,,,Salma Luévano
Q107580446,Luis Ernesto Munguía González,male,,,,,,
Q107586008,Celita Alamilla Padrón,female,1943-06-20,11,,,,
Q107610414,Michel González Márquez,female,1988-01-21,11,,,,
Q107718553,Rubén Cayetano García,male,1969-08-10,11,,,,
Q107877832,María Teresa Marú Mejía,female,1958-10-29,11,2021-08-03,11,,María Teresa Marú Mejía
Q108028285,María Elena Chapa,female,1944-04-19,11,2021-08-09,11,Maria Elena Chapa.jpg,María Elena Chapa
Q108195591,Adriana Medina Ortiz,female,1979-06-25,11,,,,
Q108207798,Francisco Javier Huacus Esquivel,male,1986-08-26,11,,,,
Q108292858,Juanita Guerra Mena,female,1983-03-19,11,,,,
Q108302289,Janicie Contreras García,female,1972-07-22,11,,,,
