catalog,id,name,relationship,relative,relativename
Mexico,Q104696777,Claudia Yáñez Centeno,sibling,Q96624648,César Yáñez Centeno Cabrera
Mexico,Q107365691,Cecilia Patrón Laviada,sibling,Q525126,Patricio Patrón Laviada
Mexico,Q108570379,María Teresa Gómez-Mont Urueta,father,Q5858217,Felipe Gómez Mont
Mexico,Q108570379,María Teresa Gómez-Mont Urueta,relative,Q6028542,Ines Gomez Mont
Mexico,Q108570379,María Teresa Gómez-Mont Urueta,sibling,Q109827422,Miguel Gómez-Mont Urueta
Mexico,Q108570379,María Teresa Gómez-Mont Urueta,sibling,Q3069480,Fernando Gómez Mont
Mexico,Q109012187,Lía Limón García,father,Q6014595,Miguel Limón Rojas
Mexico,Q111146264,Mariana Nassar Piñeyro,mother,Q18352154,Irma Piñeyro Arias
Mexico,Q111516895,Carlos Miguel Aysa Damas,father,Q64597075,Carlos Miguel Aysa González
Mexico,Q1396586,Marcelo Ebrard,spouse,Q5997353,Mariagna Prats
Mexico,Q1396586,Marcelo Ebrard,spouse,Q9070748,Rosalinda Bueso
Mexico,Q1399260,Jorge Castañeda Gutman,father,Q466285,Jorge Castañeda y Álvarez de la Rosa
Mexico,Q1399260,Jorge Castañeda Gutman,spouse,Q6018186,Miriam Morales
Mexico,Q16186420,Angélica De la Peña Gómez,spouse,Q2913673,Jesús Ortega Martínez
Mexico,Q16186821,Loretta Ortíz Ahlf,spouse,Q5937371,José Agustín Ortiz Pinchetti
Mexico,Q16195540,Adriana Fuentes Téllez,sibling,Q4762662,Angelica Fuentes
Mexico,Q16221662,Regina Vázquez Saut,father,Q2782897,Cirilo Vázquez Lagunes
Mexico,Q16221662,Regina Vázquez Saut,sibling,Q19519386,Fabiola Vázquez Saut
Mexico,Q16221666,Ricardo Villarreal García,sibling,Q5680996,Luis Alberto Villarreal
Mexico,Q16300539,Francisco García Cabeza de Vaca,sibling,Q56753914,Ismael García Cabeza de Vaca
Mexico,Q16738916,Federico Barbosa Gutiérrez,child,Q50197831,Viviana Barbosa Bonola
Mexico,Q16910073,Patricia Durán Reveles,sibling,Q6101156,Raúl Durán Reveles
Mexico,Q18218053,Francisco Suárez Dávila,father,Q5819748,Eduardo Suárez Aránzolo
Mexico,Q18352154,Irma Piñeyro Arias,child,Q111146264,Mariana Nassar Piñeyro
Mexico,Q18354365,Evodio Velázquez Aguirre,spouse,Q56737231,Perla Edith Martínez Ríos
Mexico,Q18378698,Mónica Fernández Balboa,spouse,Q5751617,Carlos Rojas Gutiérrez
Mexico,Q18638076,Georgina Zapata Lucero,father,Q5934884,Jorge Doroteo Zapata
Mexico,Q190572,Vicente Fox Quesada,spouse,Q2410548,Marta Sahagún
Mexico,Q1918218,Irma Serrano,partner,Q315637,Gustavo Díaz-Ordaz Bolaños
Mexico,Q19276738,Julieta Marín Torres,sibling,Q2300806,Mario Marín Torres
Mexico,Q19519088,Ignacio Pichardo Lechuga,father,Q2727422,Ignacio Pichardo Pagaza
Mexico,Q19519088,Ignacio Pichardo Lechuga,sibling,Q5667100,Santiago Alfonso Pichardo Lechuga
Mexico,Q19519386,Fabiola Vázquez Saut,father,Q2782897,Cirilo Vázquez Lagunes
Mexico,Q19519386,Fabiola Vázquez Saut,sibling,Q16221662,Regina Vázquez Saut
Mexico,Q19521973,Miguel Torruco Marqués,child,Q105854208,María Elena Torruco
Mexico,Q19953819,Zoé Robledo Aburto,father,Q5819636,Eduardo Robledo Rincón
Mexico,Q19958074,Alfredo Hernández Raigosa,spouse,Q20014580,Dione Anguiano Flores
Mexico,Q2055969,Alfredo del Mazo González,child,Q19519065,Alejandro del Mazo
Mexico,Q2055969,Alfredo del Mazo González,child,Q5668133,Enrique Vargas Del Villar PAN
Mexico,Q2055969,Alfredo del Mazo González,father,Q5668137,Alfredo del Mazo Vélez
Mexico,Q20801621,Carolina Monroy del Mazo,spouse,Q58660742,Ernesto Nemer Álvarez
Mexico,Q21600497,Luis Enrique  Miranda Nava,father,Q98337465,Luis Miranda Cardoso
Mexico,Q2171615,Carlos María Abascal Carranza,father,Q2684064,Salvador Abascal Infante
Mexico,Q22006813,Dionisio Meade y Garcia de Leon,child,Q3186168,José Antonio Meade Kuribreña
Mexico,Q2304052,Emilio Gamboa Patrón,child,Q50821016,Pablo Gamboa Miner
Mexico,Q230586,Laura Esquivel,spouse,Q920072,Alfonso Arau
Mexico,Q2322707,Esteban Moctezuma,father,Q19960453,Pedro Moctezuma Díaz Infante
