catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Federated States of Micronesia,President,David W. Panuelo,Q63872093,2019-05-11,male,1964-04-13,,David Panuelo at the Enthronement of Naruhito (1).jpg,David Panuelo
Federated States of Micronesia,Vice President,Yosiwo P. George,Q23302699,2015-05-11,male,1941,,Federated States of Micronesia Opening Ceremony 150622-N-MK341-013 (cropped).jpg,Yosiwo George
Federated States of Micronesia,Secretary of Education,Gardenia Aisek,Q109779446,2021-10-08,female,,,,
Federated States of Micronesia,Secretary of Environment and Emergency Management,Andrew Yatilman,Q109779586,2019-08-16,male,,,,
Federated States of Micronesia,Secretary of Finance and Administration,Eugene Amor,Q109779430,2019-12-23,male,,,,
Federated States of Micronesia,Secretary of Foreign Affairs,Kandhi A. Elieisar,Q97580941,2020-01-23,male,,,,
Federated States of Micronesia,Secretary of Health and Social Affairs,Marcus Samo,Q109779458,2021-10-08,male,,,,
Federated States of Micronesia,Secretary of Justice (Micronesia),Joses R. Gallen,Q109779509,2015-05-28,male,,,,
Federated States of Micronesia,Secretary of Resources and Development,Elina Akinaga,Q109779483,2021-10-08,female,,,,
Federated States of Micronesia,"Secretary of Transportation, Communication and Infrastructure",Carlson D. Apis,Q109779342,2019-11-25,male,,,,
Federated States of Micronesia,"Director of National Archives, Culture and Historic Preservations",Rufino Mauricio,Q109779412,2019-12-23,male,,,,
Federated States of Micronesia,Post Master General,Ginger Porter Mida,Q109779535,2020-01-23,female,,,,
Federated States of Micronesia,Speaker of the Congress,Wesly Simina,Q7984081,2015-05-11,male,1961,,Wesley Simina.jpg,Wesley Simina
