catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Monaco,Prince,"Albert II, Prince of Monaco",Q3910,2005-04-06,male,1958-03-14,,Prince Albert II 2016.jpg,"Albert II, Prince of Monaco"
Monaco,Minister of State,Pierre Dartout,Q20556507,2020-09-01,male,1954-04-09,,Pierre Dartout 2017.jpg,Pierre Dartout
Monaco,Minister of Finance and Economy,Jean Castellini,Q54864687,2012-12-21,male,1968-01-21,,,Jean Castellini
Monaco,Minister of Foreign Affairs and Cooperation,Isabelle Berro-Amadeï,Q1673628,2022-01-17,female,1965-11-24,,,Isabelle Berro-Lefèvre
Monaco,Minister of Health and Social Affairs,Christophe Robino,Q41449140,2022-04-20,male,1966-10-21,,Christophe Robino.jpg,Christophe Robino
Monaco,Minister of Interior,Patrice Cellario,Q19924337,2015-04-04,male,1953-11-21,,,Patrice Cellario
Monaco,"Minister of Public Works, the Environment and Urban Development",Céline Caron-Dagioni,Q109674486,2021-09-01,female,,,,
Monaco,Director of Judicial Services,Sylvie Petit-Leclair,Q111323030,2022-06-01,female,,,,
Monaco,President of the National Council,Stéphane Valeri,Q3502121,2018-02-22,male,1962-03-01,,Stéphane Valeri Juin 2017.jpg,Stéphane Valeri
Monaco,Mayor of Monaco,Georges Marsan,Q12948937,2003,male,1957-03-20,,,Georges Marsan
