catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Mongolia,President,Khurelsukh Ukhnaa,Q27058418,2021-07-10,male,1968-06-14,,Mongolian Prime Minister Khurelsukh Ukhnaa in 2018.jpg,Ukhnaagiin Khürelsükh
Mongolia,Prime Minister,Oyunerdene Luvsannamsrai,Q24248226,2021-01-27,male,1980-06-29,,,Luvsannamsrain Oyun-Erdene
Mongolia,Deputy Prime Minister,Sainbuyan Amarsaikhan,Q110168680,2021-01-29,male,1973,,Amarsaikhan Deputy Prime minister.jpg,Amarsaikhan Sainbuyan
Mongolia,Minister of Construction and Urban Development,Munkhbaatar Begzjav,Q110168485,2021-01-29,male,1975,,,
Mongolia,Minister of Culture,Nomin Chinbat,Q25632553,2021-01-29,female,1983,,,Nomin Chinbat
Mongolia,Minister of Defence,Gürsediin Saikhanbayar,Q107000988,2020-07-08,male,1968-07-04,,23 06 2021 mcis mongolia 1200 (cropped).jpg,Gürsediin Saikhanbayar
Mongolia,Minister of Education,Enkh-Amgalan Luvsantseren,Q24174849,2021-01-29,male,1970-01-25,,,
Mongolia,Minister of Energy,Nansalyn Tavinbekh,Q110168519,2021-01-29,male,1971,,,
Mongolia,Minister of Finance,Boldyn Javkhlan,Q25632960,2021-01-29,male,1975,,,
Mongolia,"Minister of Food, Agriculture and Light Industry",Mendsaikhan Zagdjav,Q110168503,2021-01-29,male,1979,,,
Mongolia,Minister of Foreign Affairs,Batmunkh Battsetseg,Q107670236,2021-01-29,female,1973-12-09,,Battsetseg Batmunkh (cropped).jpg,Battsetseg Batmunkh
Mongolia,Minister of Health,Enkhbold Sereejav,Q110168509,2021-01-29,male,1979,,,
Mongolia,Minister of Justice and Internal Affairs,Khishigeegiin Nyambaatar,Q110168012,2020-07-08,male,1978,,,
Mongolia,Minister of Labour and Social Welfare,Ayush Ariunzaya,Q110168498,2021-01-29,female,1980,,,
Mongolia,Minister of Mining and Heavy Industry,Yondon Gelen,Q110168512,2021-01-29,male,1967,,,
Mongolia,"Minister of Nature, Environment and Tourism",Nyamjav Urtnasan,Q110167787,2021-01-29,female,1975,,Н.Уртнасан.jpg,
Mongolia,Minister of Road and Transport Development,Lusvan Khaltar,Q110168494,2021-01-29,male,1965,,,
Mongolia,Chief Cabinet Secretary,Tsendiin Nyamdorj,Q7849526,2021-01-29,male,1956,,,Tsendiin Nyamdorj
Mongolia,Head of the President's Office,Zandaakhüügiin Enkhbold,Q81065,2017-07-10,male,1966-05-23,,Zandaakhuu Enkhbold Senate of Poland 01 (cropped).JPG,Zandaakhüügiin Enkhbold
Mongolia,Speaker of the State Great Khural,Gombojavyn Zandanshatar,Q4142905,2019-02-01,male,1970-03-08,,Gombojavyn Zandanshatar (2019).jpg,Gombojavyn Zandanshatar
Mongolia,Governor of the Central Bank,Byadran Lkhagvasuren,Q110168557,2019,male,,,,
Mongolia,Chief of General Staff,Dovchinsurengiin Ganzorig,Q104818606,2019-10-04,male,1971,,Ganzorig Dovchinsuren Portrait.jpg,Dovchinsurengiin Ganzorig
