catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Montenegro,President of Montenegro,Milo Đukanović,Q200305,2018-05-20,male,1962-02-15,,Milo Đukanović at the Enthronement of Naruhito (1).jpg,Milo Đukanović
Montenegro,Prime Minister of Montenegro,Zdravko Krivokapić,Q97999161,2020-12-04,male,1958-09-02,,"Zdravko Krivokapić, June 2021.jpg",Zdravko Krivokapić
Montenegro,Deputy Prime Minister of Montenegro,Dritan Abazović,Q16353146,2020-12-04,male,1985-12-25,,Dritan Abazović 2016.jpg,Dritan Abazović
Montenegro,"Minister of Agriculture, Forestry and Water Management",Aleksandar Stijović,Q105585422,2020-12-04,male,1981-01-27,,,Aleksandar Stijović
Montenegro,Minister of Capital Investments,Mladen Bojanić,Q50703477,2020-12-04,male,1962-11-14,,M Bojanic.jpg,Mladen Bojanić
Montenegro,Minister of Defence,Olivera Injac,Q104597629,2020-12-04,female,1976,,Olivera Injac.jpg,Olivera Injac
Montenegro,"Minister of Ecology, Spatial Planning and Urbanism",Ratko Mitrović,Q107402198,2020-12-04,male,1956,,"Ratko Mitrović, Minister of Ecology, Spatial Planning, and Urbanism of Montenegro.jpg",Ratko Mitrović
Montenegro,Minister of Economy,Jakov Milatović,Q104417661,2020-12-04,male,1983,,Jakov Milatović 2020.jpg,Jakov Milatović
Montenegro,"Minister of Education, Science, Culture and Sports",Vesna Bratić,Q104519289,2020-12-04,female,1977-05-25,,,Vesna Bratić
Montenegro,Minister of Finance and Social Welfare,Milojko Spajić,Q101225458,2020-12-02,male,1988,,Milojko Spajić.jpg,Milojko Spajić
Montenegro,Minister of Foreign Affairs,Đorđe Radulović,Q101229810,2020-12-04,male,1984,,Đorđe Radulović 2021.jpg,Đorđe Radulović
Montenegro,Minister of Health,Jelena Borovinić-Bojović,Q107740208,2020-12-04,female,1975-08-29,,,
Montenegro,Minister of the Interior,Sergej Sekulović,Q103824558,2020-12-04,male,1978,,Sergej Sekulović and Judy Rising Reinke (cropped).jpg,Sergej Sekulović
Montenegro,Minister of Justice and Human and Minority Rights,Zdravko Krivokapić,Q97999161,2022-01-24,male,1958-09-02,,"Zdravko Krivokapić, June 2021.jpg",Zdravko Krivokapić
Montenegro,"Minister of Public Administration, Digital Society and Media",Tamara Srzentić,Q104417662,2020-12-04,female,1982,,Tamara Srzentić 2020.jpg,Tamara Srzentić
Montenegro,President of the Parliament,Strahinja Bulajić,Q110047093,2022-02-07,male,1960-08-03,,,
Montenegro,Governor of the Central Bank,Radoje Žugić,Q109548691,2016-10,male,1961-04-03,,,
Montenegro,Chief of the General Staff,Milutin Đurović,Q106519996,2021-04-16,male,1974-01-29,,,Milutin Đurović
Montenegro,Mayor of Podgorica,Ivan Vuković,Q85770290,2018,male,1984-09-17,,IvanVukovic.jpg,Ivan Vuković (politician)
