id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q104185711,Lukas Muha,male,1972-09-02,11,,,Lukas Muha.jpg,
Q106727915,Derek Klazen,male,1965-05-31,11,,,,
Q107288937,Mandela Kapere,male,,,2020-07-12,11,,Mandela Kapere
Q1395844,Pendukeni Iivula-Ithana,female,1952-10-11,11,,,,Pendukeni Iivula-Ithana
Q154104,Sam Nujoma,male,1929-05-12,11,,,Namibia.SamNujoma.01.jpg,Sam Nujoma
Q1568274,Hage Gottfried Geingob,male,1941-08-03,11,,,2020 Hage Geingob.jpg,Hage Geingob
Q16733079,John Mutwa,male,1960-09-23,11,2021-06-17,11,,John Mutwa
Q17626895,Penda Ya Ndakolo,male,1960-03-23,11,,,,Penda Ya Ndakolo
Q18162113,Vekuii Rukoro,male,1954-11-11,11,2021-06-18,11,,Vekuii Rukoro
Q1893781,Marco Hausiku,male,1953-11-25,11,2021-08-26,11,,Marco Hausiku
Q19375811,Ipumbu Shiimi,male,,7,,,Mr Shiimi.jpg,Iipumbu Shiimi
Q1984160,Ngarikutuke Tjiriange,male,1943-07-12,11,2021-06-23,11,,Ngarikutuke Tjiriange
Q2076200,Peter Katjavivi,male,1941-05-12,11,,,Peter Katjavivi (1976).jpg,Peter Katjavivi
Q287100,Nangolo Mbumba,male,1941-08-15,11,,,Nangolo Mbumba (cropped).jpg,Nangolo Mbumba
Q404678,Calle Schlettwein,male,1954-06-13,11,,,Ministerial Conference 2013 (11221067275).jpg,Calle Schlettwein
Q41530133,Peter Vilho,male,1962-02-02,11,,,,Peter Vilho
Q41531164,Martin Pinehas,male,1962,9,,,,Martin Pinehas
Q4710618,Albert Kawana,male,1956-03-26,11,,,,Albert Kawana
Q47931314,Frans Kapofi,male,1953-01-25,11,,,,Frans Kapofi
Q48976174,Obeth Kandjoze,male,1966-08-09,11,,,,Obeth Kandjoze
Q50356043,Bernard Haufiku,male,1966-09-19,11,,,,Bernard Haufiku
Q51753887,Lucia Iipumbu,female,1975-11-20,11,,,,Lucia Iipumbu
Q521436,Libertine Amathila,female,1940-12-10,11,,,Libertine Appolus Amathila (cropped).jpg,Libertina Amathila
Q527020,Netumbo Nandi-Ndaitwah,female,1952-10-29,11,,,Netumbo Nandi-Ndaitwah(cropped).jpg,Netumbo Nandi-Ndaitwah
Q5277727,Dimo Hamaambo,male,1932,9,2002,9,,Dimo Hamaambo
Q5297682,Doreen Sioka,female,1960-09-18,11,,,,Doreen Sioka
Q5382044,Epaphras Denga Ndaitwah,male,1952-12-13,11,,,,Epaphras Denga Ndaitwah
Q5385018,Erastus Uutoni,male,1961-09-29,11,,,,Erastus Uutoni
Q53864889,Sacky Shanghala,male,1977-06-13,11,,,,Sacky Shanghala
Q557014,Hidipo Hamutenya,male,1939-06-17,11,2016-10-06,11,,Hidipo Hamutenya
Q57469,Hifikepunye Pohamba,male,1936-08-18,11,,,Hifikepunye Pohamba.jpg,Hifikepunye Pohamba
Q57834,Nahas Angula,male,1943-08-22,11,,,Nahas Angula.jpg,Nahas Angula
Q58304,Utoni Nujoma,male,1952-09-08,11,,,Utoni Nujoma (cropped).jpg,Utoni Nujoma
Q59942384,Kalumbi Shangula,male,1948-08-08,11,,,,Kalumbi Shangula
Q6250020,John Mutorwa,male,1957-08-17,11,,,Yukiya Amano & John Mutorwa (01810470) (12220793833).jpg,John Mutorwa
Q6361702,Kandy Nehova,male,1946-09-26,11,,,,Kandy Nehova
Q6524722,Leon Jooste,male,1969-02-18,11,,,,Leon Jooste
Q654433,Theo-Ben Gurirab,male,1939-01-23,11,2018-07-14,11,Theo-Ben Gurirab (cropped) 02.jpg,Theo-Ben Gurirab
Q6776574,Martin Shalli,male,1954,9,,,,Martin Shalli
Q70864355,Itah Kandjii-Murangi,female,1957-09-03,11,,,Itah Kanji - Namibia minister.jpg,Itah Kandji-Murangi
Q7176047,Peter Nambundunga,male,1947-06-03,11,2019-01-14,11,,Peter Nambundunga
Q7179569,Peya Mushelenga,male,1975,9,,,,Peya Mushelenga
Q7207751,Pohamba Shifeta,male,1968-03-27,11,,,,Pohamba Shifeta
Q7326987,Richard Kamwi,male,1950-03-10,11,,,,Richard Kamwi
Q7395683,Saara Kuugongelwa,female,1967-10-12,11,,,2020 Saara Kuugongelwa-Amadhila.jpg,Saara Kuugongelwa
Q7558634,Solomon Huwala,male,,7,,,,Solomon Huwala
Q7814776,Tom Alweendo,male,,7,,,,Tom Alweendo
Q88367574,Christine ǁHoebes,female,1962-02-02,11,,,,Christine ǁHoebes
Q88371920,Yvonne Dausab,female,,7,,,Namibia's Minister of Justice (51914243164) (sq cropped).jpg,Yvonne Dausab
Q88371956,Anna Nghipondoka,female,1957-06-13,11,,,,Anna Nghipondoka
Q88373134,Agnes Tjongarero,female,1946-05-17,11,,,,Agnes Tjongarero
Q91934433,Ringo Abed,male,,,,,,
Q95692898,Festus Mbandeka,male,,7,,,,Festus Mbandeka
Q96087671,Johannes !Gawaxab,male,1956,9,,,,Johannes ǃGawaxab
