id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100779990,Jan Keunen,male,1954-10-02,11,,,,Jan Keunen
Q101624272,Hubert Mackus,male,1978-01-17,11,,,,
Q102069083,Lisa van Ginneken,female,1972,9,,,Foto Lisa van Ginneken 4 (credit Frank Diemel).jpg,Lisa van Ginneken
Q1028887,Camiel Eurlings,male,1973-09-16,11,,,Eurlings Dutch politician kabinet Balkenende IV.jpg,Camiel Eurlings
Q1033303,Jeroen Dijsselbloem,male,1966-03-29,11,,,Jeroen Dijsselbloem 2013-1.jpg,Jeroen Dijsselbloem
Q104369381,Robert Baljeu,male,1969,9,,,,Robert Baljeu
Q104439773,Joris Thijssen,male,1974,9,,,Joris Thijssen - TK2021 (51015533647).jpg,Joris Thijssen
Q104715862,Songül Mutluer,female,1979,9,,,Songül Mutluer - TK2021 (51015533307).jpg,Songül Mutluer
Q104904685,Ton Raven,male,1957-11-03,11,,,Ton Raven.png,Ton Raven
Q105338,Geert Wilders,male,1963-09-06,11,,,Geert Wilders op Prinsjesdag 2014 (cropped).jpg,Geert Wilders
Q105476009,Sidney Smeets,male,1975-06-18,11,,,Sidney Smeets - D66 TK2021 candidate Nr.18.jpg,
Q105703729,Laurens Dassen,male,1985-10-19,11,,,Laurens Dassen (cropped).png,Laurens Dassen
Q105703737,Nilüfer Gündoğan,female,1977-06-06,11,,,"Nilüfer Gündoğan, 2021.jpeg",Nilüfer Gündoğan
Q105703739,Marieke Koekkoek,female,1989-02-26,11,,,,Marieke Koekkoek
Q105709948,Hanneke van der Werf,female,1984-11-29,11,,,Hanneke van der Werf - D66 TK2021 candidate Nr.9.jpg,Hanneke van der Werf
Q105709988,Simone Kerseboom,female,1984,9,,,SimoneKerseboomHeijmans.jpg,Simone Kerseboom
Q105709997,Olaf Ephraim,male,1965,9,,,OlafEphraim2019.jpg,Olaf Ephraim
Q105710001,Gideon van Meijeren,male,1988,9,,,GideonvanMeijerenHeijmans.jpg,Gideon van Meijeren
Q105710012,Frederik Jansen,male,1992,9,,,FrederikJansenFVDHeijmans.jpg,Freek Jansen
Q105710021,Pepijn van Houwelingen,male,1980,9,,,PepijnvanHouwelingenHeijmans.jpg,Pepijn van Houwelingen
