catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Netherlands,monarch,Willem-Alexander of the Netherlands,Q154952,2013-04-30,male,1967-04-27,,Zijne Majesteit Koning Willem-Alexander met koningsmantel april 2013 (cropped).jpeg,Willem-Alexander of the Netherlands
Netherlands,Prime Minister,Mark Rutte,Q57792,2010-10-14,male,1967-02-14,,Mark Rutte 2015 (1) (cropped).jpg,Mark Rutte
Netherlands,Deputy Prime Minister,Carola Schouten,Q2625041,2017-10-26,female,1977-10-06,,Vicepremier Carola Schouten (cropped).jpg,Carola Schouten
Netherlands,Deputy Prime Minister,Wopke Hoekstra,Q14520235,2022-01-10,male,1975-09-30,,"Wopke Hoekstra 07.03.2022, Estonia.jpg",Wopke Hoekstra
Netherlands,Deputy Prime Minister,Sigrid Kaag,Q15077856,2022-01-10,female,1961-11-02,,Portretfoto Sigrid Kaag 2018 01 (crop).jpg,Sigrid Kaag
Netherlands,Minister of Agriculture,Henk Staghouwer,Q71788527,2022-01-10,male,1962,,,Henk Staghouwer
Netherlands,Minister for Climate and Energy,Rob Jetten,Q28860866,2022-01-10,male,1987-03-25,,220107Rob Jetten38 (cropped).jpg,Rob Jetten
Netherlands,Minister of Defence,Kajsa Ollongren,Q2776715,2022-01-10,female,1967-05-28,,220107Kajsa Ollongren44 (cropped).jpg,Kajsa Ollongren
Netherlands,Minister of Economic Affairs and Climate Policy,Micky Adriaansens,Q64711678,2022-01-10,female,1964-03-01,,Micky Adriaansens Dutch Minister of Economic Affairs and Climate Policy (52094506295) (cropped).jpg,Micky Adriaansens
Netherlands,"Minister of Education, Culture and Science",Robbert Dijkgraaf,Q710978,2022-01-10,male,1960-01-24,,"Robbert Dijkgraaf, 2022.jpg",Robbert Dijkgraaf
Netherlands,Minister of Finance,Sigrid Kaag,Q15077856,2022-01-10,female,1961-11-02,,Portretfoto Sigrid Kaag 2018 01 (crop).jpg,Sigrid Kaag
Netherlands,Minister of Foreign Affairs,Wopke Hoekstra,Q14520235,2022-01-10,male,1975-09-30,,"Wopke Hoekstra 07.03.2022, Estonia.jpg",Wopke Hoekstra
Netherlands,Minister for Foreign Trade and Development Cooperation,Liesje Schreinemacher,Q64616136,2022-01-10,female,1983-05-13,,"Liesje Schreinemacher, Ambassadeursconferentie 2022.jpg",Liesje Schreinemacher
Netherlands,Minister of General Affairs,Mark Rutte,Q57792,2010-10-14,male,1967-02-14,,Mark Rutte 2015 (1) (cropped).jpg,Mark Rutte
Netherlands,Minister of Housing and Spatial Planning,Hugo de Jonge,Q2649226,2022-01-10,male,1977-09-26,,"Hugo de Jonge, EPP Summit 2019.jpg",Hugo de Jonge
Netherlands,Minister of Infrastructure and Environment,Mark Harbers,Q2257536,2022-01-10,male,1969-04-19,,"Mark Harbers, Ambassadeursconferentie 2018 (cropped).jpg",Mark Harbers
Netherlands,Minister of the Interior and Kingdom Relations,Hanke Bruins Slot,Q5165280,2022-01-10,female,1977-10-20,,Hanke Bruins-Slot 2014.jpg,Hanke Bruins Slot
