id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107171845,Leonardo Ovidio Reyes Ramírez,male,,,,,,
Q107316535,Iris Marina Montenegro Blandón,female,,,,,,
Q107673986,Francisco Aguirre Sacasa,male,,,,,Francisco Aguirre Sacasa on VOS TV in 2018.jpg,
Q108101345,Ana Julia Guido,female,1959-02-16,11,,,,Ana Julia Guido
Q108454830,José Adán Guerra Pastora,male,,,,,,
Q108454832,Norman José Caldera Cardenal,male,,,,,,
Q111737782,Lilliam Herrera,female,1961-11-15,11,,,,
Q113189838,Rosa Adelina Barahona Castro,female,1957,9,,,,Rosa Adelina Barahona Castro
Q113577115,Carlos Antonio Noguera Pastora,,,,,,,
Q113577116,Eduardo Goméz López,,,,,,,
Q113577117,Jaime Cuadra Somarriba,,,,,,,
Q114754966,Alba Luz Torres Briones,female,,,,,,
Q114754967,Bosco Castillo Cruz,male,,,,,,
Q114754968,Edward Francisco Centeno,male,,,,,,
Q114754969,Iván Acosta Montalván,male,,,,,,
Q114754970,Joaquín Hernán Estrada Santamaría,,,,,,,
Q114754971,Juana Vicenta Argeñal Sandoval,female,,,,,,
Q114754973,Marcia Ramírez Mercado,female,,,,,,
Q114754974,María Amelia Coronel Kinloch,female,,,,,,
Q114754975,María Auxiliadora Chiong Gutiérrez,female,,,,,,
Q114754976,Miriam Soledad Raudez Rodríguez,female,,,,,,
Q114754977,Moisés Ornar Halleslevens Acevedo,male,,,,,,
Q114754978,Orlando Salvador Solórzano Delgadillo,male,,,,,,
Q114754979,Pablo Fernando Martínez Espinoza,male,,,,,,
Q114754980,Salvador Mansell Castrillo,male,,,,,,
Q114754981,Sonia Castro González,female,,,,,,
Q114754982,Álvaro Antonio Baltodano Cantarero,male,,,,,,
Q114754983,Ángela Yadira Meza Vargas,female,,,,,,
Q114755301,Isidro Antonio Rivera,male,,,,,,
Q114755416,José de Jesús Bermúdez Carvajal,male,,,,,,
Q114755562,Guillermo González,male,,,,,,
Q114755574,Carolina Dávila Murillo,female,,,,,,
Q114755584,Martha Verónica Reyes,female,,,,,,
Q114755614,Johanna Flores,female,,,,,,
Q114755642,Fanny Sumaya Castillo Lara,,,,,,,
Q114755795,Justa del Rosario Pérez Acuña,female,,,,,,
Q114755818,Oscar Mojica,male,,,,,,
Q114755852,José Amadeo Santana Rodríguez,,,,,,,
Q114755892,Jessica Yaoska Padilla Leiva,female,,,,,,
Q114756083,Heyddy Loredana Calderón Palma,female,,,,,,
Q18615762,Óscar Moncada,male,,7,2014-11-09,11,,Óscar Moncada
Q28173996,Gustavo Porras Cortés,male,1954-10-11,11,,,Gustavo Porras Cortés.png,Gustavo Porras Cortés
Q28381212,Denis Moncada,male,1948,9,,,Rueda de prensa ofrecida por representantes del ALBA (8972772217) cropped.jpg,
Q29913348,Martha Elena Ruiz Sevilla,female,,,,,,Martha Elena Ruiz Sevilla
Q3034382,Rosario Murillo,female,1951-06-22,11,,,2017 Rosario Murillo (cropped).jpg,Rosario Murillo
Q311355,Enrique Bolaños,male,1928-05-13,11,2021-06-14,11,Enrique Bolaños Geyer 2004a.jpg,Enrique Bolaños
Q356647,Arnoldo Alemán,male,1946-01-23,11,,,Arnoldo Alemán.JPG,Arnoldo Alemán
Q4723794,Alfredo Gómez Urcuyo,male,1942-08-19,11,,,,Alfredo Gómez Urcuyo
Q57402,Daniel Ortega,male,1945-11-11,11,,,Daniel Ortega (cropped).jpg,Daniel Ortega
Q58262,Samuel Santos López,male,1938-12-13,11,,,Samuel Santos Lopez November 2010.jpg,Samuel Santos López
Q6123851,Jaime Morales Carazo,male,1936-09-10,11,,,Jaime Morales Carazo.jpg,Jaime Morales Carazo
Q62594843,René Núñez Téllez,male,,,2016,9,,René Núñez Téllez
Q6293873,José Rizo Castellón,male,1944-09-27,11,2019-04-23,11,,José Rizo Castellón
Q9052236,Moises Omar Halleslevens Acevedo,male,1949-09-04,11,,,Omar Halleslevens.jpg,Moises Omar Halleslevens Acevedo
Q96007379,Leopoldo Navarro,male,1917-10-22,11,2014-10-25,11,,Leopoldo Navarro
