catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Nicaragua,President,Daniel Ortega,Q57402,2007-01-10,male,1945-11-11,,Daniel Ortega (cropped).jpg,Daniel Ortega
Nicaragua,Vice President,Rosario Murillo,Q3034382,2017-01-10,female,1951-06-22,,2017 Rosario Murillo (cropped).jpg,Rosario Murillo
Nicaragua,Minister of Agriculture,Isidro Antonio Rivera,Q114755301,2022-06-28,,,,,
Nicaragua,Minister of Defence,Rosa Adelina Barahona Castro,Q113189838,2019-08-19,female,1957,,,Rosa Adelina Barahona Castro
Nicaragua,"Minister of Development, Industry and Trade",José de Jesús Bermúdez Carvajal,Q114755416,2022-01-03,,,,,
Nicaragua,Minister of Education,Lilliam Herrera,Q111737782,2022-01-06,female,1961-11-15,,,
Nicaragua,Minister of Energy and Mines,Salvador Mansell Castrillo,Q114754980,2017-01-11,male,,,,
Nicaragua,Minister of the Environment and Natural Resources,Heyddy Loredana Calderón Palma,Q114756083,2022-09-21,,,,,
Nicaragua,Minister of the Family,Johanna Flores,Q114755614,2018-06-27,,,,,
Nicaragua,Minister of Finance and Public Credit,Iván Acosta Montalván,Q114754969,2017-01-11,male,,,,
Nicaragua,Minister of Foreign Affairs,Denis Moncada,Q28381212,2017-01-17,male,1948,,Rueda de prensa ofrecida por representantes del ALBA (8972772217) cropped.jpg,
Nicaragua,Minister of Health,Martha Verónica Reyes,Q114755584,2022-04-01,female,,,,
Nicaragua,Minister of Household Economy,Justa del Rosario Pérez Acuña,Q114755795,2017-07-03,,,,,
Nicaragua,Minister of the Interior,María Amelia Coronel Kinloch,Q114754974,2017-01-11,female,,,,
Nicaragua,Minister of Labour,Alba Luz Torres Briones,Q114754966,2017-01-11,female,,,,
Nicaragua,Minister of Transport and Infrastructure,Oscar Mojica,Q114755818,2017-08-18,male,,,,
Nicaragua,Minister of Women,Jessica Yaoska Padilla Leiva,Q114755892,2019-11-07,female,,,,
Nicaragua,Minister-Delegate of the President,Moisés Ornar Halleslevens Acevedo,Q114754977,2017-01-11,male,,,,
Nicaragua,Minister-Delegate of the President,Álvaro Antonio Baltodano Cantarero,Q114754982,2017-01-11,male,,,,
Nicaragua,Attorney General,Ana Julia Guido,Q108101345,2014-04-10,female,1959-02-16,,,Ana Julia Guido
Nicaragua,Speaker of the National Assembly,Gustavo Porras Cortés,Q28173996,2017-01,male,1954-10-11,,Gustavo Porras Cortés.png,Gustavo Porras Cortés
Nicaragua,Governor of the Central Bank,Leonardo Ovidio Reyes Ramírez,Q107171845,2014-01,male,,,,
