catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Nigeria,President,Muhammadu Buhari,Q361567,2015-05-29,male,1942-12-17,,Muhammadu Buhari.jpg,Muhammadu Buhari
Nigeria,Vice President,Yemi Osinbajo,Q19730927,2015-05-29,male,1957-03-08,,Yemi Osinbajo 2017-05-27.jpg,Yemi Osinbajo
Nigeria,Minister of Agriculture and Rural Development,Muhammad Mahmood Abubakar,Q109252006,2021-09-01,male,,,,
Nigeria,Minister of Aviation,Sirika Hadi,Q7530281,2019-08-22,male,1964-03-02,,HadiSirika.jpg,Hadi Sirika
Nigeria,Minister of Budget and National Planning,Clement Agba,Q107453260,2021-08-21,male,1964,,,
Nigeria,Minister of Communications,Isa Ali Pantami,Q42916213,2019-08-21,male,1972-10-20,,Pantami.jpg,Isa Ali Pantami
Nigeria,Minister of Defence,Bashir Salihi Magashi,Q4866857,2019-08-21,male,,,,Bashir Salihi Magashi
Nigeria,Minister of Education,Adamu Adamu,Q41559149,2015-11-11,male,1956-05-25,,Adam-Adamu.jpg,Adamu Adamu
Nigeria,Minister of the Environment,Mohammed Hassan Abdullahi,Q101245550,2022-04-06,male,1968-04-21,,MOHAMMED HASSAN ABDULLAHI.jpg,Mohammed Hassan Abdullahi
Nigeria,Minister of the Federal Capital Territory,Mohammed Musa Bello,Q59829052,2015-05-29,male,1959-01,,,Mohammed Musa Bello
Nigeria,Minister of Finance,Zainab Ahmed,Q42559242,2018-09-14,female,1960-06-16,,Zainab Ahmed - 2016.jpg,Zainab Ahmed
Nigeria,Minister of Foreign Affairs,Geoffrey Onyeama,Q21467394,2015-11-11,male,1956-02-02,,Geoffrey Onyeama (25864152320) (cropped).jpg,Geoffrey Onyeama
Nigeria,Minister of Health,Osagie Emmanuel Ehanire,Q62670421,2019-08,male,1946,,,Osagie Ehanire
Nigeria,"Minister of Humanitarian Affairs, Disaster Management and Social Development",Sadiya Umar Farouq,Q20195461,2019-08-21,female,1974-11-05,,Hon. Sadiya Umar Farouq.jpg,Sadiya Umar Farouq
Nigeria,"Minister of Industry, Trade and Investment",Niyi Adebayo,Q13140763,2019-08-21,male,1958,,,Niyi Adebayo
Nigeria,Minister of Information and Culture,Lai Mohammed,Q19561129,2015-11,male,1951-12-06,,,Lai Mohammed
Nigeria,Minister of Interior,Rauf Aregbesola,Q7296120,2019-08,male,1957-05-25,,Rauf Aregbesola.jpg,Rauf Aregbesola
Nigeria,Minister of Justice,Abubakar Malami,Q23714146,2015-11-11,male,1967-04-17,,Abubakar Malami638.jpg,Abubakar Malami
Nigeria,Minister of Labour,Chris Ngige,Q3510794,2015-11-11,male,1952-08-08,,Ngige.jpg,Chris Ngige
Nigeria,Minister of Mines and Steel Development,Olamilekan Adegbite,Q75184824,2019-08,male,,,,Olamilekan Adegbite
Nigeria,Minister of Niger Delta Affairs,Umana Okon Umana,Q113298300,2022-07-06,male,,,,
Nigeria,Minister of Petroleum Resources,Muhammadu Buhari,Q361567,2015-11-11,male,1942-12-17,,Muhammadu Buhari.jpg,Muhammadu Buhari
Nigeria,Minister of Police Affairs,Mohammed Maigari Dingyadi,Q108704107,2019-08-21,male,1953,,,Mohammed Maigari Dingyadi
Nigeria,Minister of Power,Abubakar D. Aliyu,Q109661629,2021-09-01,male,,,,
Nigeria,Minister of Science and Technology,Adeleke Mamora,Q4681916,2022-07-06,male,1953-02-16,,,Adeleke Mamora
Nigeria,Minister of Special Duties and Inter-Governmental Affairs,George Akume,Q3510803,2019-07-23,male,1953-12-27,,,George Akume
Nigeria,Minister of Transportation,Muazu Sambo,Q111079726,2022-07-06,male,,,,
Nigeria,Minister of Water Resources,Suleiman Adamu Kazaure,Q66309786,2015-11,male,1963-04-19,,,Suleiman Adamu Kazaure
Nigeria,Minister of Women Affairs and Social Development,Pauline Tallen,Q27830470,2021-08-21,female,1959-01-08,,,Pauline Tallen
Nigeria,Minister of Works and Housing,Babatunde Fashola,Q62356,2015-11-11,male,1963-06-28,,Babatunde Fashola.jpg,Babatunde Fashola
Nigeria,Minister of Youth and Sports,Sunday Dare,Q65953957,2021-08-21,male,1966-05-29,,,Sunday Akin Dare
Nigeria,Minister of State for Agriculture and Rural Development,Mustapha Baba Shehuri,Q99162710,2019-08-21,male,1961-07-04,,,Mustapha Baba Shehuri
Nigeria,Minister of State for Education,Goodluck Nanah Opiah,Q5583433,2022-07-06,male,1964-02-02,,,Goodluck Nanah Opiah
Nigeria,Minister of State for Environment,Odum Udi,Q113298142,2022-07-06,male,,,,
Nigeria,Minister of State for Federal Capital Territory,Ramatu Tijjani Aliyu,Q65938686,2019-08-19,female,1970-06-12,,,Ramatu Tijani Aliyu
Nigeria,Minister of State for Foreign Affairs,Zubairu Dada,Q101693651,2021-08-21,male,1952-03-28,,,Zubairu Dada
Nigeria,Minister of State for Health,Ekumankama Joseph Nkama,Q113298148,2022-07-06,male,,,,
Nigeria,"Minister of State for Industry, Trade and Investment",Mariam Yalwaji Katagum,Q73590469,2019-08-21,female,1954,,,Mariam Yalwaji Katagum
Nigeria,Minister of State for Labour and Employment,Festus Keyamo,Q19667657,2019-09-24,male,1970-01-21,,Festus Keyamo at Mojeec International 2020 07.jpg,Festus Keyamo
Nigeria,Minister of State for Mines and Steel Development,Gbemisola Ruqayyah Saraki,Q5529326,2022-07-06,female,1965,,,Gbemisola Ruqayyah Saraki
Nigeria,Minister of State for Niger Delta Affairs,Sharon Ikeazor,Q66309734,2022-07-06,female,1961,,Sharon Ikeazor.jpeg,Sharon Ikeazor
Nigeria,Minister of State for Petroleum Resources,Timipre Sylva,Q3509607,2019-08-21,male,1964-07-07,,Timipre Sylva.jpg,Timipre Sylva
Nigeria,Minister of State for Power,Goddy Jedy Agba,Q66039284,2019-08-21,male,1958-08-20,,,Goddy Jedy Agba
Nigeria,"Minister of State for Science, Technology and Innovation",Henry Ikechukwu Ikoh,Q113298294,2022-07-06,male,,,,
Nigeria,Minister of State for Transportation,Ademola Adewole Adegoroye,Q113298168,2022-07-06,male,,,,
