catalog,id,name,relationship,relative,relativename
Nigeria,Q104705,Umaru Musa Yar'Adua,father,Q75863533,Musa Yar'Adua
Nigeria,Q104705,Umaru Musa Yar'Adua,sibling,Q3509379,Shehu Musa Yar'Adua
Nigeria,Q104705,Umaru Musa Yar'Adua,spouse,Q7853663,Turai Yar'Adua
Nigeria,Q111162943,Murtala Shehu Yar'adua,father,Q3509379,Shehu Musa Yar'Adua
Nigeria,Q111164990,Danladi Bamaiyi,relative,Q28407590,Ishaya Bamaiyi
Nigeria,Q111199628,Jude Ngaji,father,Q5607086,Gregory Ngaji
Nigeria,Q111281062,Onyeka Ibezim,sibling,Q97016010,Alexander Chibuzo Ibezim
Nigeria,Q13140624,Daisy Danjuma,child,Q107038323,Yuki Omenai
Nigeria,Q13140624,Daisy Danjuma,spouse,Q7782290,Theophilus Danjuma
Nigeria,Q13140704,Iyabo Obasanjo-Bello,stepparent,Q469880,Stella Obasanjo
Nigeria,Q16189427,Olajumoke Okoya-Thomas,father,Q16097264,Molade Okoya-Thomas
Nigeria,Q18354468,Ezenwo Nyesom Wike,spouse,Q20065322,Eberechi Wike
Nigeria,Q18355928,Uchechukwu Sampson Ogah,father,Q1645480,Wilson
Nigeria,Q18719262,Abdullahi Umar Ganduje,spouse,Q105746240,Hafsat Ganduje
Nigeria,Q19671604,Willie Obiano,spouse,Q111281100,Ebele Obiano
Nigeria,Q19730927,Yemi Osinbajo,child,Q107038023,Damilola Osinbajo
Nigeria,Q19730927,Yemi Osinbajo,spouse,Q94638715,Dolapo Osinbajo
Nigeria,Q19958158,Victor Okezie Ikpeazu,spouse,Q23884177,Nkechi Ikpeazu
Nigeria,Q20090072,Aisha Buhari,spouse,Q361567,Muhammadu Buhari
Nigeria,Q202006,Olusegun Obasanjo,child,Q13140704,Iyabo Obasanjo-Bello
Nigeria,Q202006,Olusegun Obasanjo,spouse,Q469880,Stella Obasanjo
Nigeria,Q20982220,Udom Gabriel Emmanuel,spouse,Q101635665,Martha Udom
Nigeria,Q21467394,Geoffrey Onyeama,father,Q1065681,Charles Onyeama
Nigeria,Q22295109,Yahaya Adoza Bello,spouse,Q43087508,Amina Oyiza Bello
Nigeria,Q22678155,Viola Onwuliri,spouse,Q35828655,Celestine Onwuliri
Nigeria,Q22704987,Fatimat Olufunke Raji-Rasaki,spouse,Q7286136,Raji Rasaki
Nigeria,Q24565884,Darius Ishaku,spouse,Q74267575,Anna Darius Ishaku
Nigeria,Q25753711,Abubakar Kyari,father,Q4663653,Abba Kyari
Nigeria,Q289350,Ngozi Okonjo-Iweala,child,Q1328771,Uzodinma Iweala
