catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
North Korea,Supreme Leader,Kim Jong-un,Q56226,2011-12-17,male,1982-01-08,,Kim Jong-un 2019 (cropped).jpg,Kim Jong-un
North Korea,Premier,Kim Tok-hun,Q25035961,2020-08-13,male,1961,,,Kim Tok-hun
North Korea,Vice Premier,Yang Sung-ho,Q63776707,2020-04,,,,,
North Korea,Vice Premier,Ri Song-hak,Q105159427,2021-01-18,male,,,,
North Korea,Vice Premier,Jon Hyon-chol,Q105706437,2021-01-18,,,,,
North Korea,Vice Premier,Ju Chol-gyu,Q114593874,2021-01-18,,,,,
North Korea,Vice Premier,Kim Song-ryong,Q114593877,2021-01-18,,,,,
North Korea,Vice Premier,Pak Jong-gun,Q12597103,2021-01-18,male,1944-09-07,,,Pak Jong-gun
North Korea,Vice Premier,Pak Hun,Q56820559,2021-01-18,,,,,
North Korea,Vice Premier,Jon Sung Guk,Q114595445,2022-06-10,male,,,,
North Korea,Minister of Agriculture,Ju Chol-gyu,Q114593874,2021-01-18,,,,,
North Korea,Minister of Atomic Energy Industry,Wang Chang-uk,Q57071116,2021-01-18,male,1960-05-29,,,Wang Chang-uk
North Korea,Minister of the Chemical Industry,Ma Jong-son,Q114593881,2021-01-18,,,,,
North Korea,Minister of the Coal Industry,Jon Hak-chol,Q114593873,2021-01-18,,,,,
North Korea,Minister of Commerce,Kwak Jong Jun,Q114594317,2022-06-10,,,,,
North Korea,Minister of Construction,So Jong-jin,Q114593886,2021-01-18,,,,,
North Korea,Minister of Construction Control,Ri Hyok-gwon,Q114593885,2021-01-18,,,,,
North Korea,Minister of Consumer Goods Industry,Ri Kang-son,Q63775001,2021-01-18,female,,,,
North Korea,Minister of Crude Oil,Ko Kil-son,Q57063516,2013-04,,,,,
North Korea,Minister of Culture,Sung Jong-gyu,Q114593887,2021-01-18,,,,,
North Korea,Minister of Defence,Ri Yong-gil,Q12594419,2021-09-29,male,1952,,Kim Jong-un and Vladimir Putin (2019-04-25) 15 (cropped).jpg,Ri Yong-gil
North Korea,Minister of the Electric Power Industry,Kim Yu-il,Q114593879,2021-01-18,,,,,
North Korea,Minister of the Electronics Industry,Kim Jae-song,Q57064533,2021-01-18,,,,,
North Korea,Minister of the Extraction Industry,Kim Chol-su,Q63774198,2021-01-18,,,,,
North Korea,Minister of Finance,Ko Jong-bom,Q114593880,2021-01-18,male,,,,
North Korea,Minister of Fisheries,Song Chun-sop,Q57069172,2021-01-18,,,,,
North Korea,Minister of Food Procurement and Administration,Pak Hyong Ryol,Q114594345,2022-06-10,,,,,
North Korea,Minister of Foreign Affairs,Choe Son-hui,Q30436217,2022-06-11,female,1958-02-09,,Choe Son-hui.jpg,Choe Son-hui
North Korea,Minister of Foreign Trade,Yun Jong-ho,Q114593888,2021-01-18,,,,,
North Korea,Minister of Forestry,Han Ryong-guk,Q57075870,2021-01-18,,,,,
North Korea,Minister of Higher Education,Kim Sung Chan,Q114595747,2021-06,,,,,
North Korea,Minister of Labour,Jin Kum Song,Q114594370,2021-01-18,,,,,
North Korea,Minister of Land and Environment Protection,Kim Kyong-jun,Q56818408,2021-01-18,male,1964,,,
North Korea,Minister of Land and Maritime Transport,Kang Jong-gwan,Q16904817,2021-01-18,male,1959,,,Kang Jong-gwan
North Korea,Minister of Light Industry,Jang Kyong-il,Q21651765,2021-01-18,male,1985-12-27,,,Jang Kyong-il
North Korea,Minister of Local Industry,Jo Yong-chol,Q12616929,2021-01-18,male,1962,,,
North Korea,Minister of the Machine-Building Industry,Kim Jong Nam,Q114595858,2020-04,male,,,,
North Korea,Minister of the Metal Industry,Kim Chung-gol,Q16179930,2021-01-18,,,,,
North Korea,Minister of Natural Resources Development,Kim Chung-song,Q114593876,2021-01-18,,,,,
North Korea,Minister of Public Health,Choe Kyong-chol,Q114593869,2021-01-18,,,,,
North Korea,Minister of Railways,Jang Chun-song,Q114593871,2021-01-18,,,,,
North Korea,Minister of Shipbuilding,Kang Chol-gu,Q63773435,2021-01-18,male,,,,Kang Chol-gu
North Korea,Minister of Social Security,Park Su-il,Q56820402,2022-06,male,,,,Park Su-il
North Korea,Minister of Sports,Kim Il-guk,Q57064523,2021-01-18,,,,,
North Korea,Minister of State Security,Ri Chang-dae,Q114088685,2022-06,male,,,,Ri Chang-dae
North Korea,Minister of Urban Management,Im Kyong-jae,Q114593870,2021-01-18,,,,,
North Korea,Secretary General of the Cabinet,Kim Kum-chol,Q56818426,2021-01-18,,,,,
North Korea,President of the Central Bank,Chae Song-hak,Q114593868,2021-01-18,,,,,
North Korea,President of the Academy of Sciences,Kim Sung-jin,Q114593878,2021-01-18,,,,,
North Korea,President of the Board of Education,Kim Sung-du,Q16907639,2021-01-18,male,1958-03-01,,,Kim Sung-du
North Korea,Chairman of the Capital Construction Commission,Jo Sok-ho,Q63777382,2014-04,,1970,,,
North Korea,Chairman of the Committee for the Peaceful Reunification of the Fatherland,Ri Son-gwon,Q55708195,2016,male,,,Ri Son-gwon.jpg,Ri Son-gwon
North Korea,Chairman of the National Censorship Committee,Jang Ki-ho,Q63776950,2019,,,,,
North Korea,Chairman of the National Quality Management Commission,Ri Chol-jin,Q63775066,2014,,,,,
North Korea,Chairman of the State Science and Technology Commission,Ri Tu Il,Q114594333,2022-06-10,,,,,
North Korea,Chairman of the State Planning Commission,Pak Jong-gun,Q12597103,2021-01-18,male,1944-09-07,,,Pak Jong-gun
North Korea,Chairman of the State Price Commission,Choe Kang,Q63777865,2016-11,,,,,
North Korea,Director of the Central Bureau of Statistics,Ri Chol-san,Q114593884,2021-01-18,,,,,
North Korea,Director of the National Aerospace Development Administration,Yu Chol-u,Q39670004,2013,male,1959-08-08,,,Yu Chol-u
North Korea,Chief of General Staff,Ri Thae-sop,Q12594451,2022-06,male,,,,Ri Thae-sop
