id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q101482821,Shakour bint Mohammed al-Ghamari,female,,,,,,Shakour bint Mohammed al-Ghamari
Q104602826,Lujaina Mohsin Darwish,female,1969-06-23,11,,,Lujaina Mohsin.jpg,Lujaina Mohsin Darwish
Q104828519,Theyazin bin Haitham,male,1990-08-21,11,,,ذي يزن بن هيثم آل سعيد.png,Theyazin bin Haitham
Q106854887,Sayyid Saud bin Hilal bin Hamad al-Busaidi,male,,,,,,Sayyid Saud bin Hilal bin Hamad al-Busaidi
Q108864704,Sultan bin Salem bin Saeed al-Habsi,male,,,,,,
Q108864719,Darwish bin Ismail al-Balushi,male,,,,,,
Q109423015,Laila bint Ahmed bin Awad al Najjar,female,1971-08-01,11,,,2646A271-0B2A-48F1-9055-.jpg,
Q114586514,Rahma bint Ibrahim Al Mahrooqi,female,,,,,,
Q114586610,Qais Mohammed Al Yousef,male,,,,,,
Q114587553,Saud bin Hmood bin Ahmed Al Habsi,,,,,,,
Q114587554,Abdullah Nasser bin Khalifa al-Harrasi,,,,,,,
Q114587555,Hilal Bin Ali bin Hilal Al Sabti,,,,,,,
Q114587556,Khalfan bin Saeed bin Mubarak al-Shueili,,,,,,,
Q114587557,Mohammed bin Said bin Khalfan Al Mamari,,,,,,,
Q114587558,Saeed bin Muhammad bin Ahmed al Saqri,,,,,,,
Q114587559,Saeed bin Hamoud bin Saeed al Maawali,,,,,,,
Q114587560,Salim bin Nasir bin Said Al Aufi,,,,,,,
Q114587561,Mahad bin Said bin Ali Baawain,,,,,,,
Q114587562,Salem bin Mohammed Al Mahrooqi,,,,,,,
Q114590755,Abdullah bin Ali al-Qatabi,,,,,,,
Q114590756,Ahmad al-Isa'i,,,,,,,
Q12209969,Khalid Al Ma'awali,male,1975-03-02,11,,,"Khalid Al Mawali at the Sixth International Conference in Support of the Palestinian Intifada, Tehran (02).jpg",
Q12250314,Haitham bin Tarik Al Said,male,1955-10-11,11,,,Secretary Pompeo Meets with the Sultan of Oman Haitham bin Tariq Al Said (49565463757) (cropped).jpg,Haitham bin Tariq
Q23940101,Hilal Al Sarmi,male,1978-02-15,11,,,,Hilal Al Sarmi
Q28701101,Rahila Al Riyami,female,,,2017-02-05,11,,Rahila Al Riyami
Q43287478,Madeeha bint Ahmed bin Nassir al Shibaniyah,female,,,,,"26-11-2013 Ministra da educação do Sultanato de Omã, Madeeha bint Ahmed al Shivaniyia é recebida pelo vice-presidente Michel Temer - 11067460114.jpg",Madeeha bint Ahmed bin Nassir al Shibaniyah
Q4665951,Abdullah Al Saidi,male,,,,,,Abdullah Al Saidi
Q5429529,Fahd bin Mahmoud al Said,male,1944,9,,,Sayyid Fahd bin Mahmoud al Said (cropped).png,Fahd bin Mahmoud al Said
Q57331,Qaboos bin Said Al Said,male,1940-11-18,11,2020-01-10,11,QaboosBinSaidAlSaid (cropped).jpg,Qaboos bin Said
Q58267,Yusuf bin Alawi bin Abdullah,male,1945,9,,,"Minister Responsible for Foreign Affairs, Sultanate of Oman (8657089041) (cropped).jpg",Yusuf bin Alawi bin Abdullah
Q59268429,Ali bin Masoud al Sunaidy,male,1946-12-28,11,,,,Ali bin Masoud al Sunaidy
Q59306348,Sayyid Khalid bin Hilal al Busaidi,male,,,,,,Sayyid Khalid bin Hamad Al Busaidi
Q59660242,Asa'ad bin Tariq bin Taimur al Said,male,1954-06-01,11,,,Asa'ad bin Tariq Al Said at the Enthronement of Naruhito (1).jpg,Asa'ad bin Tariq
Q59660254,Sultan bin Mohammed al Nu'amani,male,,,,,,Sultan bin Mohammed al Nu'amani
Q59660255,Sayyid Hamoud bin Faisal al Busaidi,male,,,,,,Sayyid Hamoud bin Faisal al Busaidi
Q59660260,Khalid bin Omar bin Said al Marhoon,male,,,,,,Khalid bin Omar bin Said al Marhoon
Q7297086,Rawya Saud Al Busaidi,female,,7,,,,Rawya Saud Al Busaidi
Q7429365,Sayyid Badr bin Saud al Busaidi,male,,,,,Sayyid Badr bin Saud al Busaidi 080405-F-6655M-031 0ZIW3.jpg,Badr bin Saud al Busaidi
Q81686943,Shihab bin Tariq al-Said,male,1955,9,,,,
Q91936078,Abdul Aziz Al Hinai,male,1961-01-20,11,,,,
Q98456849,Sayyid Badr bin Hamad bin Hamood AlBusaidi,male,1960-05-30,11,,,UK-Oman Joint Working Group (10154028623) (cropped).jpg,Sayyid Badr Albusaidi
