id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q101071247,Muhammad Amjad Khan Niazi,male,,,,,Amjad Khan Niazi.jpg,Amjad Khan Niazi
Q101826396,Syed Amjad Ali Zaidi,male,,,,,,Syed Amjad Ali Zaidi
Q101989183,Khalid Khurshid,male,1980-11-17,11,,,,Khalid Khurshid
Q10370944,Shama Khalid,female,1946,9,2010-09-15,11,,Shama Khalid
Q106372690,Muhammad Hussain Mehanti,male,1946,9,,,,Muhammad Hussain Mehanti
Q106652371,Qadir Khan Mandokhel,male,,,,,,Qadir Mandokhail
Q107453141,Syed Zahoor Ahmad Agha,male,1971-10-04,11,,,,Syed Zahoor Ahmad Agha
Q107871987,Abdul Qayyum Khan Niazi,male,1969,9,,,,Abdul Qayyum Khan Niazi
Q108295688,Waqar Ahmad Khan,male,1967-10-15,11,,,,Waqar Ahmad Khan
Q108473485,Sahir Shamshad Mirza,male,,,,,,Sahir Shamshad Mirza
Q108593754,Azhar Abbas,male,,,,,,Azhar Abbas (general)
Q10921355,Muhammad Saleem,male,1956,9,,,,
Q109669818,Azam Nazeer Tarar,male,,,,,,Azam Nazeer Tarar
Q10970911,Mahmood Khan Achakzai,male,1948-12-14,11,,,Mahmood Khan Achakzai (cropped).jpg,Mahmood Khan Achakzai
Q109752656,Pir Adil Gilani,male,,,,,,
Q110855008,Anwar Mansoor Khan,male,,,,,,
Q110855023,Irfan Qadir,male,,,,,,
Q11106758,Nazim Hussain Siddiqui,male,1940-06-30,11,2022-01-15,11,,Nazim Hussain Siddiqui
Q111468208,Omer Sarfraz Cheema,male,1969-07-24,11,,,,Omer Sarfraz Cheema
Q111494888,Tanveer Ilyas,male,,,,,,Sardar Tanveer Ilyas
Q111732442,Muhammad Bilal Butt,male,,,,,,
Q111792513,Chaudhry Nadeem Khadim,male,1970,9,,,,Chaudhry Nadeem Khadim
Q111934516,Salahuddin Satti,male,,,,,,
Q111934534,Muhammad Mustafa Khan,male,,,,,,
Q111934640,Salim Abbas Jilani,male,,,,,,
Q112109767,Jhangir Khanzada,male,1977-07-08,11,,,,
Q113158603,Shabbir Gujjar,male,,,,,,Shabbir Gujjar
Q113161846,Hasan Aslam Awan,male,,,,,,Hasan Aslam Awan
Q113268753,Irfan Ullah Khan Niazi,male,,,,,,Irfan Ullah Khan Niazi
Q113269519,Ali Afzal Sahi,male,,,,,,Ali Afzal Sahi
Q113301914,Mian Muhammad Azam Cheela,male,,,,,,Mian Muhammad Azam Cheela
Q113302052,Mehar Muhammad Nawaz,male,,,,,,Mehar Muhammad Nawaz
Q113317496,Khurram Shahzad Virk,male,,,,,,Khurram Shahzad Virk
Q113381137,Mian Muhammad Akram Usman,male,,,,,,Mian Muhammad Akram Usman
Q113458893,Muhammad Gulam Sarwar,male,,,,,,Muhammad Gulam Sarwar
Q113472380,Sardar Muhammad Saif-ud-Din Khan Khosa,male,,,,,,Sardar Muhammad Saif-ud-Din Khan Khosa
