id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q105085469,Secilil Eldebechel,male,,,,,Secilil Eldebechel.png,Secilil Eldebechel
Q107481428,Yositaka Adachi,male,1962,9,,,,Yositaka Adachi
Q107490033,Franco Gibbons,male,,,,,,Franco Gibbons
Q107490046,John C. Gibbons,male,,,2021,9,,John C. Gibbons
Q107845064,Francis Matsutaro,male,1948,9,,,,
Q108454845,Sabino Anastacio,male,,,,,,Sabino Anastacio
Q113581829,Gustav Aitaro,male,,,,,,
Q114457457,Eyos Rudimch,,,,,,,
Q114457504,Seit Andres,,,,,,,
Q114457510,Augustine Mesebeluu,,,,,,,
Q114457511,Ignacio Anastacio,,,,,,,
Q114457512,Mario S. Gulibert,,,,,,,
Q114457563,Charles Obichang,male,,,,,,
Q114457574,Kaleb Udui Jr,male,,,,,,
Q114457578,Dale Jenkins,male,,,,,,
Q114457585,Gaafar Uherbelau,male,,,,,,
Q114457595,Ngirai Tmetuchl,male,,,,,,
Q114457601,Steven Victor,male,,,,,,
Q15260928,Hersey Kyota,male,1953-05-01,11,,,Hersey Kyota.jpg,Hersey Kyota
Q19560062,Antonio Bells,male,1948-07-06,11,,,Antonio Bells (cropped 3x4).jpg,Antonio Bells
Q20038862,Minoru Ueki,male,1931,9,,,,
Q240644,Mlib Tmetuchl,male,,7,,,,Mlib Tmetuchl
Q26703072,Surangel Whipps Jr.,male,1968-08-09,11,,,Surangel Whipps Jr..jpg,Surangel Whipps Jr.
Q30246749,Raynold Oilouch,male,1966,9,,,Secretary Pompeo Meets With Palau Vice President Oilouch (48461558186) (cropped).jpg,Raynold Oilouch
Q3195401,Kerai Mariur,male,1951-06-04,11,,,Kerai Mariur.jpg,Kerai Mariur
Q336285,Tommy Remengesau,male,1956-02-28,11,,,Tommy Remengesau 2016.jpg,Thomas Remengesau Jr.
Q42705716,Jerrlyn Uduch Sengebau Senior,female,1965,9,,,"Uduch Sengebau Senior, 2021.jpg",Uduch Sengebau Senior
Q45714891,Temmy Shmull,male,,7,,,75th Commemoration of the Battle of Peleliu (cropped 2).jpg,Temmy Shmull
Q47516046,Faustina K. Rehuher,female,,7,,,Faustina Rehuher-Marugg.jpg,Faustina K. Rehuher-Marugg
Q57471,Johnson Toribiong,male,1946-07-22,11,,,Johnson Toribiong.jpg,Johnson Toribiong
Q58080,Sandra Pierantozzi,female,1953-08-09,11,,,Sandra Pierantozzi.jpg,Sandra Pierantozzi
Q5878180,Hokkons Baules,male,1948-06-07,11,,,,Hokkons Baules
Q6267566,Johnny Reklai,male,1948-07-01,11,2007-03-11,11,,Johnny Reklai
Q6289980,Joshua Koshiba,male,1943-12-10,11,,,,Joshua Koshiba
Q7045406,Noah Idechong,male,,,,,,Noah Idechong
Q718150,Kuniwo Nakamura,male,1943-11-24,11,2020-10-14,11,中村國雄(cropped).jpg,Kuniwo Nakamura
Q7645397,Surangel S. Whipps,male,1941-02-21,11,,,,Surangel S. Whipps
Q982581,Elias Camsek Chin,male,1949-10-10,11,,,Elias Chin.jpg,Elias Camsek Chin
