catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Paraguay,President,Mario Abdo Benítez,Q48136013,2018-08-15,male,1971-11-10,,"24 11 2021 Encontro com o Presidente da República do Paraguai, Mario Abdo Benítez (51703646860) (cropped).jpg",Mario Abdo Benítez
Paraguay,Vice President,Hugo Velázquez Moreno,Q52138237,2018-08-15,male,1967-07-03,,Hugo Velázquez.jpg,Hugo Velázquez Moreno
Paraguay,Minister of Agriculture and Livestock,Moses Bertoni,Q110193990,2020-09-01,male,,,,
Paraguay,Minister of Children and Adolescents,Teresa Martinez Acosta,Q110194082,2018-08-15,female,,,,
Paraguay,Minister of Education and Sciences,Juan Manuel Brunetti,Q110194073,2021-03-09,male,,,,
Paraguay,Minister of the Environment and Sustainable Development,Cesar Ariel Oviedo Verdún,Q110194076,2018-08-29,male,,,,
Paraguay,Minister of Finance,Oscar Llamosas Diaz,Q105046995,2020-10-29,male,,,,
Paraguay,Minister of Foreign Affairs,Euclides Acevedo,Q94334903,2021-01-22,male,1950-05-13,,Euclides Acevedo.jpg,
Paraguay,Minister of Health and Social Affairs,Julio Borba,Q105954859,2021-03-05,male,1973-05-25,,,
Paraguay,Minister of Industry and Commerce,Luis Castiglioni,Q3493305,2020-11-11,male,1962-07-31,,Luis Castiglioni.jpg,Luis Castiglioni
Paraguay,Minister of Information and Communication Technologies,Fernando Saguier,Q110194080,2021-03-10,male,,,,
Paraguay,Minister of the Interior,Arnaldo Giuzzio,Q105046318,2021-01-22,male,1967-12-27,,Arnaldo Giuzzio (1).jpg,
Paraguay,Minister of Justice,Cecilia Perez,Q110193987,2019-11-13,female,,,,
Paraguay,"Minister of Labour, Employment and Social Security",Carla Bacigalupo,Q84563785,2018-08-15,female,1973-10-02,,,
Paraguay,Minister of National Defence,Bernardino Soto Estigarribia,Q14661202,2018-08-15,male,1952-05-20,,11.27 總統接見「巴拉圭國防部長索多伉儷」 - Flickr id 49130747891.jpg,Bernardino Soto Estigarribia
Paraguay,Minister of Public Works and Communications,Arnoldo Wiens Durksen,Q44074470,2018-08-15,male,1964-08-19,,,
Paraguay,Minister of the Social Cabinet,Hugo Cáceres,Q97182373,2018-08-15,male,,,Hugo Cáceres.jpg,
Paraguay,Minister of Social Development,Mario Varela,Q84564460,2018-08-15,male,,,,
Paraguay,"Minister of Urbanism, Housing and Habitat",Carlos Alberto Pereira,Q110194078,2020-11-02,male,,,,
Paraguay,Minister of Women,Celina Esther Lezcano,Q106444113,2021-03-09,female,1973-10-04,,,
Paraguay,Attorney General,Sandra Quiñonez,Q55091448,2018-03-08,female,1968,,Sandra Quinonez Flag.jpg,Sandra Quiñónez
Paraguay,Speaker of the Chamber of Deputies,Pedro Lorenzo Alliana Rodríguez,Q51885479,2019-07-01,male,1974,,,
Paraguay,President of the Senate,Oscar Rubén Salomón Fernández,Q110194186,2020-07-01,male,1957,,,
Paraguay,President of the Central Bank,José Cantero Sienra,Q110194351,2018-09,male,,,,
