catalog,id,name,relationship,relative,relativename
Qatar,Q1855372,Tamim bin Hamad Al Thani,father,Q57360,Hamad bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,mother,Q238774,Moza bint Nasser Al Missned
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q14946739,Maha bint Hamad bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q23043276,Hind bint Hamad bin Khalifa Al-Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q2891977,Al-Mayassa bint Hamad bin Khalifa Al-Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q50379398,Khalifa Bin Hamad Bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q6161563,Jasim bin Hamad bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q6204478,Joaan bin Hamad bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q6399598,Khalid bin Hamad bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q6875474,Mishaal bin Hamad bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,sibling,Q6893462,Mohammed bin Hamad bin Khalifa Al Thani
Qatar,Q1855372,Tamim bin Hamad Al Thani,spouse,Q18758568,Jawahir bint Hamad Al thani
Qatar,Q317771,Abdullah bin Khalifa Al Thani,father,Q2072385,Khalifa bin Hamad Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q14946739,Maha bint Hamad bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q1855372,Tamim bin Hamad Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q23043276,Hind bint Hamad bin Khalifa Al-Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q2891977,Al-Mayassa bint Hamad bin Khalifa Al-Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q50379398,Khalifa Bin Hamad Bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q6161563,Jasim bin Hamad bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q6204478,Joaan bin Hamad bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q6399598,Khalid bin Hamad bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q6875474,Mishaal bin Hamad bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,child,Q6893462,Mohammed bin Hamad bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,father,Q2072385,Khalifa bin Hamad Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,sibling,Q4664796,Abdelaziz bin Khalifa Al Thani
Qatar,Q57360,Hamad bin Khalifa Al Thani,spouse,Q238774,Moza bint Nasser Al Missned
