position,person,personID,start,gender,DOB,DOD,image,enwiki
monarch,Elizabeth II,Q9682,1979-02-22,female,1926-04-21,,Queen Elizabeth II in March 2015.jpg,Elizabeth II
Prime Minister,Philip Pierre,Q7184214,2021-07-28,male,,,Philip J Pierre Christmas 2020 (cropped).png,Philip J. Pierre
"Minister for Agriculture, Fisheries, Food Security and Rural Development",Alfred Prospere,Q109641213,2021-08-05,male,,,,
"Minister for Commerce, Manufacturing, Business Development, Cooperatives and Consumer Affairs",Emma Hippolyte,Q5372840,2021-08-05,female,,,,Emma Hippolyte
"Minister for Education, Sustainable Development, Innovation, Science, Technology and Vocational Training",Shawn Edward,Q108444156,2021-08-05,male,,,Shawn Edward.jpg,Shawn Edward
"Minister for Equity, Social Justice and Empowerment",Joachim Henry,Q107664100,2021-08-05,male,,,,Joachim Henry
Minister for External Affairs,Alva Baptiste,Q4737616,2021-08-05,male,,,Alva Baptiste (cropped).jpg,Alva Baptiste
"Minister for Finance, Economic Development and the Youth Economy",Philip Pierre,Q7184214,2021-08-05,male,,,Philip J Pierre Christmas 2020 (cropped).png,Philip J. Pierre
"Minister for Health, Wellness and Elderly Affairs",Moses Jean Baptiste,Q6915830,2021-08-05,male,,,Moses Jn Baptiste 2020 (cropped).png,Moses Jean Baptiste
"Minister for Infrastructure, Ports, Transport, Physical Development and Urban Renewal",Stephenson King,Q708289,2021-08-05,male,1958-11-13,,Stephenson King.jpg,Stephenson King
"Minister for the Public Service, Home Affairs, Labour and Gender Affairs",Virginia Albert-Poyotte,Q107788041,2021-08-05,female,,,,Virginia Albert-Poyotte
"Minister for Tourism, Investment, Creative Industries, Culture and Information",Ernest Hilaire,Q105139716,2021-08-05,male,,,Ernest Hilaire (cropped).png,Ernest Hilaire
Minister for Youth Development and Sports,Kenson Casimir,Q108000688,2021-08-05,male,,,Kenson Casimir.png,Kenson Casimir
"Minister in the Ministry of Finance, Economic Development and Youth Economy",Wayne D. Girard,Q109641269,2021-08-05,male,1978-04,,,
Minister in the Office of the Prime Minister with responsibility for Housing and Local Government,Richard Frederick,Q7325780,2021-08-05,male,1965-08-06,,,Richard Frederick
Attorney-General,Leslie Mondesir,Q109641578,2021-07-30,male,,,,
President of the Senate,Stanley Felix,Q109641526,2021-08-17,male,,,,
Speaker of the House of Assembly,Claudius Francis,Q108121644,2021-08-17,male,1959,,,Claudius Francis
