catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
São Tomé and Príncipe,President,Carlos Vila Nova,Q27982047,2021-10-02,male,1959-07-27,,WSIS FORUM 2015 Day 2 - Carlos Vila Nova (cropped).jpg,Carlos Vila Nova
São Tomé and Príncipe,Prime Minister,Jorge Bom Jesus,Q57085436,2018-12-03,male,1962-07-26,,Jorge Bom Jesus (cropped).jpg,Jorge Bom Jesus
São Tomé and Príncipe,Minister of Agriculture,Francisco dos Ramos,Q114668029,2018-12-03,male,,,,
São Tomé and Príncipe,Minister of Defence,Jorge Amado,Q106904935,2022-02-02,male,,,Jorge Amado arquivo.jpg,
São Tomé and Príncipe,Minister of Education,Julieta Izidro Rodrigues,Q114668030,2018-12-03,female,,,,
São Tomé and Príncipe,Minister of Finance,Engrácio da Graça,Q114668025,2021-10-13,male,,,,
São Tomé and Príncipe,Minister of Foreign Affairs,Edite Ten Juá,Q99510744,2020-09-19,female,1972-12-31,,,Edite Tenjua
São Tomé and Príncipe,Minister of Health,Filomena Monteiro,Q114668028,2022-02-02,,,,,
São Tomé and Príncipe,Minister of Infrastructure,Osvaldo Abreu,Q30118193,2018-12-03,male,,,,
São Tomé and Príncipe,Minister of Justice,Cilcio dos Santos,Q99511621,2022-02-02,male,,,,
São Tomé and Príncipe,Minister of Labour,Adlander Costa Matos,Q114668023,2018-12-03,,,,,
São Tomé and Príncipe,Minister of the Presidency of the Council of Ministers,Wuando Borges Castro de Andrade,Q106548351,2018-12-03,male,1977-12-13,,,
São Tomé and Príncipe,Minister of Tourism,Aerton do Rosário,Q99520496,2020-09-19,male,,,,
São Tomé and Príncipe,Minister of Youth and Sport,Vinicius Xavier de Pina,Q114668033,2018-12-03,,,,,
São Tomé and Príncipe,Secretary of State for Commerce,Eugénio António da Graça,Q114668027,2018-12-03,,,,,
São Tomé and Príncipe,Secretary of State for Public Works,Ernestino da Costa Gomes,Q114668026,2022-02-02,,,,,
São Tomé and Príncipe,Secretary of State for Social Communication,Adelino Lucas,Q4681971,2018-12-03,male,,,,Adelino Lucas
