id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100442103,Mesaad Ibrahim AlSulaim,male,1963,9,,,,
Q100574673,Khālid Laḥīdān,male,,,,,,
Q100588124,علي بن شويل القرني,male,,,,,,
Q100709961,Saad Alammar,male,,,,,,
Q102345465,مها السنان,female,,,,,,
Q103986606,علي الغبان,male,,,,,,
Q106020085,عمر كردي,male,1939,9,2009-08-14,11,,
Q106588721,إيناس الشهوان,female,,,,,,
Q107477795,فيصل بن مسلط المنديل,male,1963-12-17,11,,,,
Q107677656,Abdullah bin Saud Alanazi,male,,,,,Abdullah bin Saud.jpg,
Q107840849,عبد الرحمن الدهاس,male,1974-11-18,11,,,,
Q108133778,Abdulaziz Alwasil,male,,,,,د. عبد العزيز الواصل.jpg,
Q108411851,Abdullah Al-Quwaiz,male,,,,,الدكتور عبدالله القويز.jpg,
Q108457600,خالد بن فيصل السحلي,male,1967-05-09,11,,,,
Q108904593,​Fahad bin Abdurrahman Al-Jalajel​,male,,,,,,
Q109563372,فهد بن علي الدوسري,male,1961-07-06,11,,,,
Q111457967,بدر الكحيل,male,,,,,,
Q12179055,أحمد قطان,male,1953,9,,,,
Q12182638,Iyad bin Amin Madani,male,1946-03-02,11,,,Iyad bin Amin Madani.jpg,Iyad bin Amin Madani
Q12206759,Hatim al-Awni,male,1966,9,,,,Hatim al-Awni
Q12207931,Hasan Abd Allah Al-Qurasi,male,1934,9,2004,9,,Hasan Abdullah Al-Qurashi
Q12208755,Hamad bin Abdullah Al Manie,male,1955,9,,,,
Q12222219,Adel Fakeih,male,1958,9,,,عادل فقيه.JPG,Adel Fakeih
Q12222757,Abdulrahman bin Abdullah Al Barrak,male,1956,9,,,,Abdulrahman bin Abdullah Al Barrak
Q12223509,Abdullah bin Saleh bin Obaid,male,1941,9,,,,
Q12229952,Fouad Abdul Salam,male,1946,9,,,,
Q12231210,Fahd bin Turki Al Saud,male,1959,9,,,,Fahd bin Turki Al Saud
Q12231669,Faisal bin Mishaal bin Saud bin Abdulaziz Al Saud,male,1959,9,,,Faisal bin Meshal.JPG,Faisal bin Mishaal Al Saud
Q12238118,Majed Bin Abdullah Al Qasabi,male,1960,9,,,Majid bin Abdullah Al-Qasabi.jpg,Majid bin Abdullah Al Qasabi
Q12240221,محمد بن علي الفايز,male,1937,9,,,Mohammedalfayez.jpg,
Q12245593,منصور التركي,male,1955,9,,,,
Q16118777,منصور بن خالد بن عبد الله الفرحان آل سعود,male,1961,9,,,,
Q16127592,Fahd ibn Hammud al-Anazí,male,1965-02-12,11,,,,
Q16135350,Ibrahim Abdulaziz Al-Assaf,male,1949-01-28,11,,,Ibrahim Abdelaziz Al-Assaf (cropped).png,Ibrahim Abdulaziz Al-Assaf
Q1653263,Nasser Al-Manqour,male,1930-04,10,2007-07-24,11,,Nasser Almanqour
