catalog,id,name,relationship,relative,relativename
Saudi Arabia,Q107677656,Abdullah bin Saud Alanazi,sibling,Q22688693,Saoud Anzi
Saudi Arabia,Q12223041,Abdulaziz bin Abdullah,father,Q57298,Abdullah of Saudi Arabia
Saudi Arabia,Q12223041,Abdulaziz bin Abdullah,mother,Q102205480,Aida Fustuq
Saudi Arabia,Q12223041,Abdulaziz bin Abdullah,sibling,Q1441884,Adila bint Abdulla Al Saud
Saudi Arabia,Q12231210,Fahd bin Turki Al Saud,father,Q2460829,Turki II bin Abdul-Aziz Al Saud
Saudi Arabia,Q12231669,Faisal bin Mishaal bin Saud bin Abdulaziz Al Saud,father,Q12243174,Mishaal bin Saud
Saudi Arabia,Q12245615,Mansour bin Mutaib,father,Q124710,Mutaib bin Abdulaziz Al Saud
Saudi Arabia,Q16933359,Moudi bint Khalid Al Saud,child,Q62094755,Al-Bandari Bint Abdul Rahman Al-Faisal
Saudi Arabia,Q16933359,Moudi bint Khalid Al Saud,father,Q208301,Khalid of Saudi Arabia
Saudi Arabia,Q16933359,Moudi bint Khalid Al Saud,mother,Q7531591,Sita bint Fahd Al Damir
Saudi Arabia,Q16933359,Moudi bint Khalid Al Saud,sibling,Q338524,Faisal bin Khalid bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,child,Q14514894,Saud bin Fahd Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,child,Q1951883,Mohammad Bin Fahd
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,child,Q373425,Faisal bin Fahd
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,child,Q4665291,Abdul Aziz bin Fahad
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,child,Q7636760,Sultan bin Fahd
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,father,Q151509,Ibn Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,mother,Q205051,Hassa bint Ahmed Al Sudairi
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q12203730,Thamir bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q12208891,Hamoud bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q12223794,Abdul Muhsin bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q12238128,Majid bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q12242559,Musa'id bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q12243051,Mishari bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q124710,Mutaib bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q1975943,Muhammad bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q1998925,Turki I bin Abdul-Aziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q208301,Khalid of Saudi Arabia
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q217167,King Faisal bin Abdulaziz Al Saud
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q244206,Saud of Saudi Arabia
Saudi Arabia,Q183187,Fahd bin Abdulaziz Al Saud,sibling,Q2460829,Turki II bin Abdul-Aziz Al Saud
