id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107154992,Samuel Vlčan,male,1971-03-13,11,,,,
Q107317094,Jana Kotová,female,1951-02-06,11,,,,
Q11714338,Ivan Štefanec,male,1961,9,,,Stefanec.jpg,Ivan Štefanec
Q11729469,Juraj Migas,male,1957-06-13,11,2015-08-30,11,,
Q11815925,Peter Weiss,male,1952-07-07,11,,,H.E.Peter Weiss 2014.JPG,
Q12027325,Ján Budaj,male,1952-02-10,11,,,Ján Budaj.jpg,Ján Budaj
Q12049695,Roman Kováč,male,1940-09-10,11,,,,
Q12058026,Sándor Albert,male,1943-05-24,11,,,,
Q12058953,Tibor Šagát,male,1942-12-17,11,,,,
Q12762303,Andrej Kiska,male,1963-02-02,11,,,Andrej Kiska in Senate of Poland.jpg,Andrej Kiska
Q12770572,Lucia Ďuriš Nicholsonová,female,1976-11-28,11,,,Hearings Nicolas Schmit (Luxembourg) - Jobs (48825656391).jpg,Lucia Ďuriš Nicholsonová
Q12771236,Matúš Vallo,male,1977-09-18,11,,,Matúš Vallo. 2017.jpg,Matúš Vallo
Q1289100,Eduard Kukan,male,1939-12-26,11,2022-02-09,11,"Eduard Kukan,Slowakia-MIP-Europaparlament-by-Leila-Paul-1.jpg",Eduard Kukan
Q1300892,Jozef Migaš,male,1954-01-07,11,,,Jozef Migaš at Rhodes Forum 2014.jpg,Jozef Migaš
Q1314189,Ján Richter,male,1956-10-05,11,,,Ján Richter.jpg,
Q13375711,Árpád Érsek,male,1958-06-22,11,,,Árpád Érsek.jpg,Árpád Érsek
Q13397958,Andrej Danko,male,1974-08-12,11,,,Andrej Danko.jpg,Andrej Danko
Q1374505,Pavol Paška,male,1958-02-23,11,2018-04-06,11,Pavol Paska.jpg,Pavol Paška
Q1502209,Robert Kaliňák,male,1971-05-11,11,,,Robert Kaliňák 2016-09-20.jpg,Robert Kaliňák
Q15905744,Ivo Nesrovnal,male,1964-05-19,11,,,Ivo Nesrovnal.jpg,Ivo Nesrovnal
Q163813,Rudolf Schuster,male,1934-01-04,11,,,Rudolf Schuster 2011.jpg,Rudolf Schuster
Q168928,Zdenka Kramplová,female,1957-08-07,11,,,,Zdenka Kramplová
Q17330556,Peter Pellegrini,male,1975-10-06,11,,,Peter Pellegrini - 2015.jpg,Peter Pellegrini
Q18552949,Viliam Čislák,male,1972-03-12,11,,,,
Q211771,Iveta Radičová,female,1956-12-07,11,,,Portrait of Iveta Radičová.jpg,Iveta Radičová
Q212765,Mikuláš Dzurinda,male,1955-02-04,11,,,DzurindaMik2.jpg,Mikuláš Dzurinda
Q21685708,Igor Slobodník,male,1962-10-23,11,,,Slobodnik 1foto.jpg,
Q23022210,Boris Kollár,male,1965-08-14,11,,,Boris Kollár (cropped).jpg,Boris Kollár
Q26198001,Marek Krajčí,male,1974-03-24,11,,,Minister Marek Krajčí.jpg,Marek Krajčí
Q26250906,Gabriela Matečná,female,1964-11-28,11,,,PRESS CONFERENCE - INFORMAL MEETING OF AGRICULTURE AND FISHERIES (Informal AGRIFISH) 2016-09-13 (29028508003).jpg,
Q26250908,Tomáš Drucker,male,1978-07-20,11,,,PRESS CONFERENCE 2016-10-04 (29997383332).jpg,
Q26250910,Peter Plavčan,male,1960-06-22,11,,,"Peter Plavčan, 2016.jpg",
Q26273268,Zuzana Čaputová,female,1973-06-21,11,,,Зузана Чапутова (02-11-2021).jpg,Zuzana Čaputová
Q26837632,Veronika Remišová,female,1976-05-31,11,,,"Visit of Veronika Rémišová, Slovak Deputy Prime Minister and Minister for Investments, Regional development and Informatization, to the European Commission 02 (18-11-2021) (cropped).jpg",Veronika Remišová
Q27927105,Zuzana Zimenová,female,1965-09-18,11,,,,
Q27990509,Mária Krasnohorská,female,1949-08-15,11,,,,
Q27990864,Ján Šoth,male,1960-02-02,11,,,,
Q28037993,Martina Kisková,female,1975-06-27,11,,,,Martina Kisková
Q283359,Béla Bugár,male,1958-07-07,11,,,Béla Bugár.jpg,Béla Bugár
Q29789902,Peter Marček,male,1953-12-23,11,,,,
Q3031038,František Knapík,male,1956-10-17,11,,,Frant Knapik.JPG,František Knapík
Q3059549,Eugen Jurzyca,male,1958-02-08,11,,,Eugen Jurzyca (cropped).jpg,Eugen Jurzyca
Q3090990,Ľudovít Kaník,male,1965-09-01,11,,,,Ľudovít Kaník
Q3133564,Jozef Mihál,male,1965-03-18,11,,,Jozef Mihál crop.jpg,Jozef Mihál
Q3156132,Ivan Korčok,male,1964-04-04,11,,,Ivan Korčok - July 2016 (cropped).jpg,Ivan Korčok
Q316526,Vladimír Mečiar,male,1942-07-26,11,,,Vladimir Meciar.jpg,Vladimír Mečiar
Q3431152,Richard Raši,male,1971-04-02,11,,,High-hevel Conference Dedicated to EU Cohesion Policy Handshake (cropped).png,Richard Raši
Q3446761,Rudolf Zajac,male,1951-02-09,11,,,,Rudolf Zajac
Q3488404,Silvia Gašparovičová,female,1941-01-13,11,,,Silvia Gašparovičová (september 2011).jpg,Silvia Gašparovičová
Q3497276,Pavol Hamžík,male,1954-08-20,11,,,,Pavol Hamžík
Q352043,Ivan Valentovič,male,1954-04-15,11,,,,
Q40247117,Martina Lubyová,female,1967-05-12,11,,,BSK 2017-10-12 Teach for Slovakia 163006 Martina Lubyova crop.jpg,
Q4180026,Rudolf Bauer,male,1957-09-28,11,,,,Rudolf Bauer (politician)
Q4180318,František Lipka,male,1946-02-22,11,,,F Lipka.jpg,František Lipka
Q433571,Viera Tomanová,female,1948-02-05,11,,,,Viera Tomanová
Q4597444,Miroslav Mikolášik,male,1952-09-11,11,,,Miroslav Mikolášik par Claude Truong-Ngoc mars 2015.jpg,Miroslav Mikolášik
Q46227987,Eduard Heger,male,1976-05-03,11,,,"Visit of Eduard Heger, Slovak Prime Minister, to the European Commission (cropped).jpg",Eduard Heger
Q467905,Miroslav Lajčák,male,1963-03-20,11,,,M-Lajcak.jpg,Miroslav Lajčák
Q503099,Andrej Ďurkovský,male,1958-09-05,11,,,Andrej Durkovsky.jpg,Andrej Ďurkovský
Q50827906,Andrea Kalavská,female,1977-11-28,11,,,,
Q50828716,Ľubica Laššáková,female,1960-08-18,11,,,,Ľubica Laššáková
Q512678,Maroš Šefčovič,male,1966-07-24,11,,,Hearings Maroš Šefčovič (Slovakia) - Vice president-designate - interinstitutional relations and foresight. (48821461522) (cropped).jpg,Maroš Šefčovič
Q52110606,Daniel Zmeko,male,1967-11-24,11,,,"Generál Zmeko, vojenská prehliadka Banská Bystrica 22 Slovakia 1.jpg",Daniel Zmeko
Q52234791,Denisa Saková,female,1976-04-17,11,,,PRESS TRIP 2016-06-30 (27394023874).jpg,Denisa Saková
Q54991677,Milan Krajniak,male,1973-01-30,11,,,MilanKrajniakWikifoto.jpg,Milan Krajniak
Q552534,Peter Kažimír,male,1968-06-28,11,,,Peter Kažimír (36400657164) crop.jpg,Peter Kažimír
Q552706,Igor Matovič,male,1973-05-11,11,,,Igor Matovič October 2020 (cropped).jpg,Igor Matovič
Q56254928,Irena Schusterová,female,1937-11-12,11,2008-05-24,11,,Irena Schusterová
Q56823084,Mária Kolíková,female,1974-08-29,11,,,,Mária Kolíková
Q57295,Ivan Gašparovič,male,1941-03-27,11,,,Ivan Gasparovic.jpg,Ivan Gašparovič
Q57606,Robert Fico,male,1964-09-15,11,,,Fico Juncker (cropped).jpg,Robert Fico
Q586798,Richard Sulík,male,1968-01-12,11,,,Richard Sulík -2011-.jpg,Richard Sulík
Q59271135,Juraj Kolesár,male,1978-07-29,11,,,,
Q60234562,Alan Suchánek,male,1953-11-23,11,,,,
Q60777536,Branislav Gröhling,male,1974-04-06,11,,,Branislav-Grohling-minister-skolstva (cropped).jpg,
Q60819384,Milan Laurenčík,male,1958-09-23,11,,,,
Q61748113,Natália Milanová,female,1982-06-12,11,,,,Natália Milanová
Q62667305,Jaroslav Polaček,male,1976-11-30,11,,,PrijatieSvrcek6 (cropped).jpg,
Q63365846,Ladislav Kamenický,male,1970-10-04,11,,,,
Q66311010,Stanislav Vallo,male,1951-11-15,11,,,,
Q66424702,Peter Sopko,male,,,,,,
Q680582,Ivan Uhliarik,male,1968-06-03,11,,,,Ivan Uhliarik
Q6850543,Milan Ftáčnik,male,1956-10-30,11,2021-05-14,11,Milan Ftáčnik.jpg,Milan Ftáčnik
Q700735,Pavol Hrušovský,male,1952-06-09,11,,,Pavol Hrušovský 2010.jpg,Pavol Hrušovský
Q705654,Jozef Moravčík,male,1945-03-19,11,,,,Jozef Moravčík
Q7173063,Peter Burian,male,1959-03-21,11,,,Peter Burian with Bush 2008-12-03.jpg,Peter Burian
Q8067932,Zdenko Trebuľa,male,1955-09-29,11,,,,Zdenko Trebuľa
Q8075486,Zuzana Zvolenská,female,1972-01-27,11,,,,Zuzana Zvolenská
Q831957,Miklós Duray,male,1945-07-18,11,,,DurayMiklosFotoThalerTamas.JPG,
Q85421835,Vladimír Lengvarský,male,1969-08-18,11,,,,Vladimír Lengvarský
Q86755007,Jaroslav Naď,male,1981-03-21,11,,,Jaroslav Naď.png,Jaroslav Naď
Q88188383,Roman Mikulec,male,1972-03-18,11,,,,Roman Mikulec
Q88298109,Andrej Doležal,male,1981-03-23,11,,,,Andrej Doležal
Q88299018,Štefan Holý,male,1978-12-11,11,,,,
Q92098295,František Dlhopolček,male,1953-09-13,11,,,,
Q94638399,Miroslav Wlachovský,male,1970-02-03,11,,,,
