catalog,id,name,relationship,relative,relativename
Slovakia,Q11729469,Juraj Migas,sibling,Q1300892,Jozef Migaš
Slovakia,Q12762303,Andrej Kiska,spouse,Q28037993,Martina Kisková
Slovakia,Q12762303,Andrej Kiska,spouse,Q41799867,Mária Kisková
Slovakia,Q12770572,Lucia Ďuriš Nicholsonová,spouse,Q12059139,Tom Nicholson
Slovakia,Q12771236,Matúš Vallo,father,Q66311010,Stanislav Vallo
Slovakia,Q12771236,Matúš Vallo,mother,Q66310987,Miroslava Vallová
Slovakia,Q12771236,Matúš Vallo,relative,Q712289,Miroslav Válek
Slovakia,Q1300892,Jozef Migaš,sibling,Q11729469,Juraj Migas
Slovakia,Q163813,Rudolf Schuster,spouse,Q56254928,Irena Schusterová
Slovakia,Q21685708,Igor Slobodník,father,Q3489794,Dušan Slobodník
Slovakia,Q21685708,Igor Slobodník,sibling,Q13441443,Martin Slobodník
Slovakia,Q26250908,Tomáš Drucker,spouse,Q47088458,Lucia Druckerová
Slovakia,Q26273268,Zuzana Čaputová,partner,Q81834803,Peter Konečný
Slovakia,Q26273268,Zuzana Čaputová,spouse,Q81829381,Ivan Čaputa
Slovakia,Q27990509,Mária Krasnohorská,child,Q110490821,Juraj Krasnohorský
Slovakia,Q28037993,Martina Kisková,spouse,Q12762303,Andrej Kiska
Slovakia,Q3488404,Silvia Gašparovičová,spouse,Q57295,Ivan Gašparovič
Slovakia,Q4597444,Miroslav Mikolášik,child,Q112269696,Marcel Mikolášik
Slovakia,Q467905,Miroslav Lajčák,spouse,Q12767847,Jarmila Lajčáková-Hargašová
Slovakia,Q56254928,Irena Schusterová,spouse,Q163813,Rudolf Schuster
Slovakia,Q57295,Ivan Gašparovič,spouse,Q3488404,Silvia Gašparovičová
Slovakia,Q57606,Robert Fico,spouse,Q18042191,Svetlana Ficová
Slovakia,Q66311010,Stanislav Vallo,child,Q12771236,Matúš Vallo
Slovakia,Q66311010,Stanislav Vallo,spouse,Q66310987,Miroslava Vallová
Slovakia,Q6850543,Milan Ftáčnik,sibling,Q344716,Ľubomír Ftáčnik
