catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Slovenia,President,Borut Pahor,Q206471,2012-12-23,male,1963-11-02,,Borut Pahor (cropped).jpg,Borut Pahor
Slovenia,Prime Minister,Janez Janša,Q57627,2020-03-13,male,1958-09-17,,"Janez Janša, Brussels (51614751895) (cropped).jpg",Janez Janša
Slovenia,Deputy Prime Minister,Matej Tonin,Q12796084,2020-03-13,male,1983-07-30,,Matej Tonin Slovenija (cropped).jpg,Matej Tonin
Slovenia,Deputy Prime Minister,Zdravko Počivalšek,Q24690846,2020-03-13,male,1957-11-25,,Zdravko Pocivalsek izrez.JPG,Zdravko Počivalšek
Slovenia,"Minister of Agriculture, Forestry and Food",Jože Podgoršek,Q100494157,2020-10-15,male,1974-03-17,,Jože Podgoršek.jpg,Jože Podgoršek
Slovenia,Minister of Culture,Vasko Simoniti,Q7916849,2020-03-13,male,1951-03-23,,Vasko Simoniti.jpg,Vasko Simoniti
Slovenia,Minister of Defence,Matej Tonin,Q12796084,2020-03-13,male,1983-07-30,,Matej Tonin Slovenija (cropped).jpg,Matej Tonin
Slovenia,Minister for the Diaspora,Helena Jaklitsch,Q95165279,2020-03-13,female,1977-07-01,,,Helena Jaklitsch
Slovenia,Minister of Economic Development and Technology,Zdravko Počivalšek,Q24690846,2020-03-13,male,1957-11-25,,Zdravko Pocivalsek izrez.JPG,Zdravko Počivalšek
Slovenia,"Minister of Education, Science and Sport",Simona Kustec,Q18643062,2020-03-13,female,1976-06-19,,Simona Kustec (crop).jpg,
Slovenia,Minister of the Environment and Spatial Planning,Andrej Vizjak,Q10820628,2020-03-13,male,1964-08-06,,Andrej Vizjak 2012cropped.jpg,Andrej Vizjak
Slovenia,Minister of Finance,Andrej Šircelj,Q18507427,2020-03-13,male,1959-02-28,,Andrej Šircelj 2013.JPG,Andrej Šircelj
Slovenia,Minister of Foreign Affairs,Anže Logar,Q32083031,2020-03-13,male,1976-05-15,,Novinarska konferenca MInister za zunanje zadeve 9.september 2020.png,Anže Logar
Slovenia,Minister of Health,Janez Poklukar,Q66085314,2021-02-23,male,1979-02-09,,Poklukar FOTO.png,Janez Poklukar
Slovenia,Minister of Infrastructure,Jernej Vrtovec,Q43389553,2020-03-13,male,1985-05-24,,Vrtovec FOTO (cropped).png,Jernej Vrtovec
Slovenia,Minister of the Interior,Aleš Hojs,Q10773771,2020-03-13,male,1961-12-12,,Aleš Hojs 2012cropped.jpg,Aleš Hojs
Slovenia,Minister of Justice,Marjan Dikaučič,Q107103371,2021-06-15,male,1981-10-17,,Dikaucic FOTO.png,Marjan Dikaučič
Slovenia,"Minister of Labour, Family, Social Affairs and Equal Opportunities",Janez Cigler Kralj,Q87735624,2020-03-13,male,1978-12-28,,Cigler Kralj FOTO (cropped).png,
Slovenia,Minister of Public Administration,Boštjan Koritnik,Q89252424,2020-03-13,male,1979-06-15,,,Boštjan Koritnik
Slovenia,Minister without Portfolio for Development and EU Cohesion Policy,Zvone Černač,Q10861634,2020-03-13,male,1962-09-23,,Zvone Černač 2012cropped.jpg,Zvone Černač
Slovenia,Minister without Portfolio for Digital Transformation,Mark Boris Andrijanič,Q107557145,2021-07-16,male,,,Flickr - europeanpeoplesparty - EPP Congress Warsaw (744) (Mark Boris Andrijanič).jpg,
Slovenia,President of the National Assembly,Urška Klakočar Zupančič,Q111513149,2022-05-13,female,1977-06-19,,Urška Klakočar Zupančič.jpg,Urška Klakočar Zupančič
Slovenia,Governor of the Bank of Slovenia,Boštjan Vasle,Q63614880,2019-01-09,male,1969,,133. seja vlade 07 (cropped).jpg,
Slovenia,Chief of the General Staff,Robert Glavaš,Q18645044,2020-04-19,male,1962,,,
Slovenia,Mayor of Ljubljana,Zoran Janković,Q220521,2012-04-11,male,1953-01-01,,Zoran Janković 02.jpg,Zoran Janković (politician)
