catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Somalia,President,Hassan Sheikh Mohamud,Q319153,2022-05-15,male,1955-11-29,,His Excellency President Hassan Sheikh Mohamud.jpg,Hassan Sheikh Mohamud
Somalia,Prime Minister,Hamza Abdi Barre,Q112598575,2022-06-26,male,1973,,HassanBarre.jpg,Hamza Abdi Barre
Somalia,Deputy Prime Minister,Salah Jama,Q107722390,2022-08-02,male,,,,Salah Ahmed Jama
Somalia,Minister of Agriculture And Irrigation,Ahmed Madobe Nunow,Q114401805,2022-08-02,male,,,,
Somalia,Minister of Commerce and Industry,Jibril Abdirashid Nur,Q114401523,2022-08-02,male,,,,
Somalia,Minister of Defence,Abdulkadir Mohamed Nur,Q95997335,2021-12-06,male,,,Minister at Meeting in Mogadishu to discuss new AU mission in Somalia (51854290701) (cropped).jpg,Abdulkadir Mohamed Nur
Somalia,Minister of Education,Farah Sh. Abdulkadir Mohamed,Q16728916,2022-08-02,male,,,,Farah Sh. Abdulkadir Mohamed
Somalia,Minister of Environment and Climate Change,Khadija Al-Makhzoumi,Q114401678,2022-08-02,female,,,,
Somalia,Minister of Finance,Elmi Mohamud Noor,Q113953856,2022-08-02,male,,,,
Somalia,Minister of Fisheries and Marine Resources,Ahmed Hassan Adan,Q114401295,2022-08-02,male,,,,
Somalia,Minister of Foreign Affairs,Abshir Omar Huruse,Q113756104,2022-08-02,male,,,Abshir Omar Huruse (2020).jpg,Abshir Omar Huruse
Somalia,Minister of Health and Social Care,Ali Haji Adan,Q114401349,2022-08-02,male,,,,
Somalia,Minister of Information,Da’ud Aweys,Q114401353,2022-08-02,male,,,,
Somalia,"Minister of Interior, Federal Affairs and Reconciliation",Ahmed Moalim Fiqi,Q16729000,2022-08-02,male,1971,,2016 28 Cadaado Electoral Process-4 (30493055063) (cropped).jpg,Ahmed Moalim Fiqi
Somalia,Minister of Internal Security,Mohamed Ahmed Doodishe,Q114401369,2022-08-02,male,,,,
Somalia,Minister of Justice,Hassan Moalim,Q24894835,2022-08-02,male,,,,Hassan Moalim
Somalia,Minister of Labour and Social Affairs,Bihi Iman Egeh,Q114401405,2022-08-02,male,,,,
Somalia,Minister of Livestock,Hassan Hussein Elaay,Q114401507,2022-08-02,male,,,,
Somalia,Minister of Petroleum and Mineral Resources,Abdirisak Omar Mohamed,Q19661664,2022-08-02,male,,,,Abdirisak Omar Mohamed
Somalia,"Minister of Planning, investment and Economic Development",Mohamud Abdirahman Beenabeene,Q114401533,2022-08-02,male,,,,
Somalia,Minister of Ports and Marine Transport,Abdullahi Ahmed Jama,Q4666122,2022-08-02,male,1951-03-13,,Abdullahi Ahmed Jama - Ilkajir.jpg,Abdullahi Ahmed Jama
Somalia,Minister of Posts and Telecommunications,Jama Hassan Khalif,Q114401583,2022-08-02,male,,,,
Somalia,Minister of Public Works and Reconstruction,Ismail Abdirahman Bashir,Q114401600,2022-08-02,male,,,,
Somalia,Minister of Religious Affairs,Sheikh Mukhtar Robow,Q1528174,2022-08-02,male,1969-10-10,,Muktar robow.jpg,Mukhtar Robow
Somalia,Minister of Transport and Aviation,Fardowsa Osman Dhore,Q114401498,2022-08-02,male,,,,
Somalia,Minister of Water and Energy,Jama Taqal Abbas,Q114401269,2022-08-02,male,,,,
Somalia,Minister of Women and Human Rights,Khadijo Mohamed Diriye,Q16730772,2022-08-02,female,1949-04-02,,Khadijo Mohamed Diriye.jpg,Khadijo Mohamed Diriye
Somalia,Minister of Youth and Sports,Mohamed Barre Mohamud,Q114401605,2022-08-02,male,,,,
Somalia,Speaker of the House of the People,Adan Mohamed Nuur Madobe,Q2744150,2022-04-28,male,1956-04-15,,Adan.png,Aden Madobe
Somalia,Speaker of the Upper House,Abdi Hashi Abdilahi,Q109745153,2017-01-22,male,1946,,,
Somalia,Governor of the Central Bank,Abdirahman Mohamed Abdullahi,Q109875944,2019-04,male,,,,
Somalia,Chief of Defence Force,Odowaa Yusuf Rageh,Q86377062,2019-08-27,male,1987,,Odowaa Yusuf Rageh - 2021 (cropped).jpg,Odowaa Yusuf Rageh
