catalog,id,name,relationship,relative,relativename
South Africa,Q101547,Thabo Mbeki,father,Q1396109,Govan Mbeki
South Africa,Q101547,Thabo Mbeki,mother,Q4963108,Epainette Mbeki
South Africa,Q101547,Thabo Mbeki,sibling,Q1942360,Moeletsi Mbeki
South Africa,Q101547,Thabo Mbeki,spouse,Q24053602,Zanele Dlamini Mbeki
South Africa,Q1148669,Matamela Cyril Ramaphosa,father,Q107184362,Tshivhase Samuel Ramaphosa
South Africa,Q1148669,Matamela Cyril Ramaphosa,mother,Q107184361,Nyamuofhe Erdmuth Ramaphosa
South Africa,Q1148669,Matamela Cyril Ramaphosa,spouse,Q24234163,Tshepo Motsepe
South Africa,Q150276,Nkosazana Dlamini-Zuma,child,Q18394313,Thuthukile Zuma
South Africa,Q150276,Nkosazana Dlamini-Zuma,child,Q29622258,Gugulethu Zuma-Ncube
South Africa,Q150276,Nkosazana Dlamini-Zuma,spouse,Q57282,Jacob Zuma
South Africa,Q152327,Kgalema Motlanthe,spouse,Q24234122,Mapula Motlanthe
South Africa,Q16746680,Mmamoloko Kubayi,spouse,Q111338042,Joel Sihle Ngubane
South Africa,Q239062,Winnie Madikizela-Mandela,child,Q16103937,Zenani Mandela-Dlamini
South Africa,Q239062,Winnie Madikizela-Mandela,child,Q204369,Zindzi Mandela
South Africa,Q239062,Winnie Madikizela-Mandela,spouse,Q8023,Nelson Mandela
South Africa,Q28011968,Obed Bapela,spouse,Q50357896,Constance Bapela
South Africa,Q28861576,Barbara Masekela,sibling,Q246594,Hugh Masekela
South Africa,Q3241428,Lindiwe Sisulu,father,Q440490,Walter Max Ulyate Sisulu
South Africa,Q3241428,Lindiwe Sisulu,mother,Q467744,Albertina Nontsikelelo Sisulu
South Africa,Q3241428,Lindiwe Sisulu,sibling,Q6795248,Max Sisulu
South Africa,Q3241428,Lindiwe Sisulu,sibling,Q8075652,Zwelakhe Sisulu
South Africa,Q437046,Mandla Mandela,father,Q2104774,Makgatho Mandela
South Africa,Q460644,Manto Tshabalala-Msimang,spouse,Q6816626,Mendi Msimang
South Africa,Q540935,Phumzile Mlambo-Ngcuka,spouse,Q4996111,Bulelani Ngcuka
South Africa,Q55183488,Job Mokgoro,spouse,Q8062482,Yvonne Mokgoro
South Africa,Q554131,Mangosuthu Buthelezi,child,Q106317910,Sbuyiselwe Angela Buthelezi
South Africa,Q554131,Mangosuthu Buthelezi,mother,Q4957793,Magogo kaDinuzulu
South Africa,Q554131,Mangosuthu Buthelezi,relative,Q888222,Goodwill Zwelithini kaBhekuzulu
South Africa,Q57282,Jacob Zuma,child,Q104992723,Sinqumo Zuma
South Africa,Q57282,Jacob Zuma,child,Q104992764,Mziwoxolo Edward Zuma
South Africa,Q57282,Jacob Zuma,child,Q104992785,Mxolisi (Saady) Zuma
South Africa,Q57282,Jacob Zuma,child,Q18394313,Thuthukile Zuma
South Africa,Q57282,Jacob Zuma,child,Q24234137,Duduzane Zuma
South Africa,Q57282,Jacob Zuma,child,Q29622258,Gugulethu Zuma-Ncube
South Africa,Q57282,Jacob Zuma,spouse,Q104992712,Gloria Bongekile Ngema
South Africa,Q57282,Jacob Zuma,spouse,Q150276,Nkosazana Dlamini-Zuma
South Africa,Q57282,Jacob Zuma,spouse,Q24176173,Kate Mantsho
South Africa,Q57282,Jacob Zuma,spouse,Q24234160,Gertrude Sizakele Khumalo
South Africa,Q57282,Jacob Zuma,spouse,Q48990117,Nompumelelo Ntuli Zuma
South Africa,Q57282,Jacob Zuma,spouse,Q99297966,Thobeka Madiba-Zuma
South Africa,Q6795248,Max Sisulu,father,Q440490,Walter Max Ulyate Sisulu
South Africa,Q6795248,Max Sisulu,mother,Q467744,Albertina Nontsikelelo Sisulu
South Africa,Q6795248,Max Sisulu,sibling,Q3241428,Lindiwe Sisulu
South Africa,Q6795248,Max Sisulu,sibling,Q8075652,Zwelakhe Sisulu
South Africa,Q770995,Pieter Mulder,father,Q426404,Connie Mulder
South Africa,Q8066134,Zanele kaMagwaza-Msibi,child,Q52149458,Gugu Gumede
