id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q10318591,Lindsay Grant,male,1964-11-01,11,,,Lindsay Fitz-Patrick Grant.jpg,Lindsay Grant
Q105501687,Anthony Michael Perkins,male,1964,9,,,,Anthony Michael Perkins
Q108804918,Eric Evelyn,male,,,,,,
Q108804922,Jonel Powell,male,,,,,,
Q108804926,Eugene Hamilton,,,,,,,
Q108804934,Akilah Byron-Nisbett,female,,,,,,
Q108804937,Geoffrey Hanley,,,,,,,
Q110287759,Wendy C Phipps,female,1967-11-24,11,,,,
Q110287768,"Vincent F. Byron, Jr",male,,,,,,
Q110287880,J. Anthony Comrie,male,,,,,,
Q113443525,Terrance Drew,male,1976-11-22,11,,,Terrance Drew 2022.jpg,Terrance Drew
Q113554643,Samal Mojah Duggins,male,1984-11-13,11,,,,
Q113554646,Geoffrey Ian Hanley,male,,,,,,
Q113554648,Marsha Tamika Henderson,female,,,,,,
Q113554653,Joyelle Trizia Clarke,female,,,,,,
Q113554717,Garth Lucien Wilkin,male,,,,,,
Q16214148,Shawn Richards,male,1972-12-08,11,,,ShawnRichards.jpg,Shawn Richards
Q20995517,Tapley Seaton,male,1950-07-28,11,,,Tapley Seaton 2018.jpg,Tapley Seaton
Q23664146,Mark Brantley,male,1969-01-11,11,,,Secretary Pompeo Meets with Saint Kitts and Nevis Foreign Affairs Minister Brantley (49430297112) (cropped).jpg,Mark Brantley
Q2494376,Edmund Lawrence,male,1932-02-14,11,,,GovEdmundLawrence.jpg,Edmund Wickham Lawrence
Q3529064,Timothy Harris,male,1964-12-06,11,,,Timothy Harris 2019.jpg,Timothy Harris
Q3564548,Joseph Parry,male,,,,,Joseph Parry 2011.jpg,Joseph Parry (politician)
Q374910,Cuthbert Sebastian,male,1921-10-22,11,2017-03-25,11,SirCuthbertSebastian.jpg,Cuthbert Sebastian
Q4721468,Alexis Jeffers,male,1968-11-25,11,,,Alexis Jeffers (cropped).jpg,Alexis Jeffers
Q57738,Denzil Douglas,male,1953-01-14,11,,,Denzil L Douglas.jpg,Denzil Douglas
Q6429812,Konris Maynard,male,1983-07-08,11,,,,Konris Maynard
Q7914010,Vance Amory,male,1949-05-22,11,2022-04-02,11,Vance Amory.jpeg,Vance Amory
Q9682,Elizabeth II,female,1926-04-21,11,,,Queen Elizabeth II of New Zealand (cropped).jpg,Elizabeth II
