id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100708502,Hendrik Soemodihardjo,male,1933-01-14,11,2000-09-30,11,,
Q111662838,Steven Mac Andrew,male,,,,,Minister-steven-mac-andrew (cropped).jpeg,
Q113956872,Adolf Jardim,,,,,,,
Q113956873,Ernst Mercuur,,,,,,,
Q113956874,Glenn Sedney,male,,,,,,
Q113956875,Hedwig Gilaard,,,,,,,
Q113956877,Henri van Axeldongen,,,,,,,
Q113956878,Robert Kartodikromo,,,,,,,
Q113956879,Werner Kioe A Sen,,,,,,,
Q1337396,Robert Ameerali,male,1961-08-16,11,,,Robert Ameerali.jpg,Robert Ameerali
Q1444020,Pretaap Radhakishun,male,1934-09-03,11,2001-01-06,11,,Pretaap Radhakishun
Q16201341,Hugo Jabini,male,1964-08-08,11,,,,Hugo Jabini
Q17269736,Marinus Bee,male,1970,9,,,Marinus Bee (2016) 1.png,Marinus Bee
Q1871549,Albert Ramdin,male,1958-02-27,11,,,"Albert Ramdin, 2014.jpg",Albert Ramdin
Q1949087,Jules Ajodhia,male,1945-01-27,11,,,Jules Ajodhia.jpg,Jules Ajodhia
Q1968705,Ronnie Brunswijk,male,1961-03-07,11,,,Brunswijk waarnemend.png,Ronnie Brunswijk
Q20670527,Ashwin Adhin,male,1980-06-10,11,,,Ashwin Satyandre Adhin2 (cropped).jpg,Ashwin Adhin
Q2125987,Paul Somohardjo,male,1943-05-02,11,,,Paul Somohardjo (1975).jpg,Paul Somohardjo
Q22003256,Niermala Badrising,female,1962-07-04,11,,,Niermala Badrising (cropped version).jpg,Niermala Badrising
Q2212953,Ivan Fernald,male,1955-12-07,11,,,Ivan Fernald 071006-N-7088A-085 0XP9I.jpg,Ivan Fernald
Q2380953,Errol Snijders,male,1948-12-01,11,,,Errol Snijders.png,
Q2397774,Ronald Assen,male,1949,9,,,,
Q2778834,Marijke Djwalapersad,male,1951-12-28,11,,,Marijke Djwalapersad 01.png,Marijke Djwalapersad
Q28859452,Yildiz Pollack-Beighle,female,1983-04-21,11,,,Yldiz Pollack-Beighle.jpg,Yldiz Pollack-Beighle
Q299020,Ronald Venetiaan,male,1936-06-18,11,,,Ronald Venetiaan.jpg,Ronald Venetiaan
Q3127467,Marie Levens,female,1950-07-13,11,,,"Marie Levens, 2019 - 6.png",Marie Levens
Q3153557,Lamuré Latour,male,1953,9,,,Lamuré Latour (cropped).jpg,
Q333135,Chan Santokhi,male,1959-02-03,11,,,"Chan Santokhi, Sep 2020 (cropped).jpg",Chan Santokhi
Q335287,Jagernath Lachmon,male,1916-09-21,11,2001-10-18,11,Jagernath Lachmon 1975.jpg,Jagernath Lachmon
Q3486213,Winston Lackin,male,1954-12-23,11,2019-11-11,11,Winston Lackin (cropped).jpg,Winston Lackin
Q380734,Jules Wijdenbosch,male,1941-05-02,11,,,JulesWijdenbosch2017.jpg,Jules Wijdenbosch
Q440403,Jennifer Simons,female,1953-09-05,11,,,Jennifer Simons 101030-N-1531D-005 crop.jpg,Jennifer Simons
Q44166904,David Abiamofo,male,,7,,,David Abiamofo.jpg,
Q46837592,Ronni Benschop,male,1955-11-19,11,,,Ronni Benschop.png,
Q57667,Dési Bouterse,male,1945-10-13,11,,,President Bouterse.JPG,Dési Bouterse
Q58149,Lygia Kraag-Keteldijk,female,1941-06-18,11,,,Lygia Kraag-Keteldijk (cropped).jpg,Lygia Kraag-Keteldijk
Q613821,Ram Sardjoe,male,1935-10-10,11,,,Ramdien Sardjoe.jpg,Ram Sardjoe
Q64578247,Dinotha Vorswijk,female,1989,9,,,"Dinotha Vorswijk, 2017, 2.png",
Q73243050,Krishna Mathoera,female,1963-05-23,11,,,Krishna Mathoera.png,Krishna Mathoera
Q73263647,Riad Nurmohamed,male,1974-06-25,11,,,Riad Nurmohamed portret.jpg,
Q73516024,Dew Sharman,male,1965-02-20,11,,,"Dew Sharman 2017, 1 (cropped).png",Dew Sharman
Q96942215,Soerjani Mingoen-Karijomenawi,female,,,,,Soerjani Mingoen (cropped).jpg,Soerjani Mingoen-Karijomenawi
Q97484521,Silvano Tjong-Ahin,male,,,,,Silvano Tjong-Ahin.png,
Q97497908,Gracia Emanuel,female,,,,,Gracia-emanuel-2020-07-28 (cropped).jpeg,
Q97497997,Albert Jubithana,male,,,,,Albert Jubithana.png,
Q97500097,Amar Ramadhin,male,1958-02-27,11,,,Amar Ramadhin 2020 - 3.PNG,Amar Ramadhin
Q97667293,Bronto Somohardjo,male,1980-01-20,11,,,Bronto Somohardjo.png,
Q97676583,Armand Achaibersing,male,,,,,Armand Achaibersing.png,
Q97678821,Prahlad Sewdien,male,,,,,Prahlad Sewdien.png,
Q97680132,Kenneth Amoksi,male,,,,,Kenneth Amoksi (cropped).png,
Q97682387,Rishma Kuldipsingh,female,,,,,Rishma Kuldipsingh.jpg,
Q97686480,Saskia Walden,female,1974-07-06,11,,,Saskia Walden.png,Saskia Walden
Q97688513,Uraiqit Ramsaran,male,,,,,Uraiqit Hanafi Ramsaran.png,
