id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q102247981,Peter Burkhard,male,1955-12-10,11,,,Peter Burkhard OSCE Belgrade 2015.jpg,
Q1029622,Regula Rytz,female,1962-03-02,11,,,Regula Rytz 2019.jpg,Regula Rytz
Q104771323,Grégory Logean,male,1986-11-13,11,,,,
Q105062122,Rolf Graber,male,1951,9,,,,
Q105607582,Fabienne Bugnon,female,1959-02-11,11,,,Fabienne Bugnon.jpg,
Q105750072,Madeleine Bernasconi,female,1939-09-15,11,,,Madeleine Bernasconi.jpg,
Q106240011,Emmanuel Amoos,male,1980-07-31,11,,,Emmanuel Amoos (2021).jpg,Emmanuel Amoos
Q106240065,Michael Graber,male,1981-06-03,11,,,Michael Graber (2021).jpg,
Q1065124,Charles Juillard,male,1962-12-17,11,,,Charles Juillard (2019).jpg,
Q107099152,Félicienne Lusamba Villoz-Muamba,female,1956-05-13,11,2019-12-03,11,"Félicienne Lusamba Villoz-Muamba, d'après CC-by-SA Galahmm.png",
Q1080853,Christian Lohr,male,1962-04-05,11,,,Christian Lohr.jpg,
Q1081950,Christian Speck,male,1937-12-22,11,2005-05-05,11,Christian Speck.jpg,
Q1083465,Christine Bulliard-Marbach,female,1959-10-13,11,,,Christine Bulliard-Marbach.jpg,
Q109801673,Céline Weber Koppenburg,female,1974-08-22,11,,,"Céline Weber Koppenburg, 2019.jpg",
Q110542281,Jean-Claude Cornu,male,1956-04-01,11,,,Jean-Claude Cornu.jpg,
Q110634549,Raphaël Mahaim,male,1983-12-31,11,,,"Raphaël Mahaim, 2022 (cropped).jpg",
Q110819228,Yves Guisan,male,1941-07-22,11,,,Yves Guisan.jpg,
Q110821444,Charles-Albert Antille,male,1944-10-18,11,,,Charles-Albert Antille (cropped).jpg,
Q110825656,Odilo Schmid,male,1945-01-11,11,,,Odilo Schmid.jpg,
Q110916615,Hubert Lauper,male,1944-02-28,11,,,Hubert Lauper (cropped).jpg,
Q110952713,Marcel Sandoz,male,1943-05-14,11,,,Marcel Sandoz (cropped).jpg,
Q112195562,Alexandre Berthoud,male,1977-06-29,11,,,Alexandre Berthoud (2022).jpg,Alexandre Berthoud
Q112278219,Salima Moyard,female,1983,9,,,,
Q1132782,Corina Eichenberger,female,1954-10-14,11,,,Corina Eichenberger-Walther.jpg,
Q1150097,Cécile Bühlmann,female,1949-12-03,11,,,"Cécile Bühlmann, 1994 (cropped).jpg",
Q115192650,Melik Özden,male,1962,9,,,,
Q115442,Doris Leuthard,female,1963-04-10,11,,,Doris Leuthard (Neu).jpg,Doris Leuthard
Q115513,Pascal Couchepin,male,1942-04-05,11,,,"Pascal Couchepin, 2009.jpg",Pascal Couchepin
Q115520,Moritz Leuenberger,male,1946-09-21,11,,,"Moritz Leuenberger, 2010.jpg",Moritz Leuenberger
Q115531,Adolf Ogi,male,1942-07-18,11,,,Adolf Ogi.png,Adolf Ogi
Q115614,Toni Brunner,male,1974-08-23,11,,,Toni Brunner (2015).jpg,Toni Brunner
Q115841,Samuel Schmid,male,1947-01-08,11,,,BR-Samuel-Schmid.jpg,Samuel Schmid
Q115875,Pius Segmüller,male,1952-03-08,11,,,Pius segmueller.jpg,Pius Segmüller
Q115877,Fulvio Pelli,male,1951-01-26,11,,,Fulvio Pelli (2007).jpg,Fulvio Pelli
Q115881,Karin Keller-Sutter,female,1963-12-22,11,,,Karin Keller-Sutter (2022).jpg,Karin Keller-Sutter
Q115886,Elmar Ledergerber,male,1944-04-04,11,,,"Elmar Ledergerber, Zürich.jpg",Elmar Ledergerber
Q115891,Christophe Darbellay,male,1971-03-07,11,,,Darbellay.jpg,Christophe Darbellay
Q115926,Peter Bieri,male,1952-06-21,11,,,Peter Bieri (2011).jpg,Peter Bieri (politician)
Q116074,Adrian Amstutz,male,1953-12-02,11,,,Adrian Amstutz (2007).jpg,Adrian Amstutz
Q116079,Jean-François Rime,male,1950-06-28,11,,,Jean-François Rime (2007).jpg,Jean-François Rime
Q1160790,Daniel Fässler,male,1960-08-22,11,,,Daniel Fässler (2019).jpg,
Q116085,Werner Luginbühl,male,1958-01-04,11,,,WernerLuginbuehl.jpg,
Q116100,Pascale Bruderer,female,1977-07-28,11,,,Pascale Bruderer NRCR President cropped.jpg,Pascale Bruderer
Q116114,Urs Schwaller,male,1952-10-31,11,,,Urs Schwaller.jpg,Urs Schwaller
Q1162786,Daniel Stolz,male,1968-09-16,11,,,Daniel.Stolz.jpg,
