catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Switzerland,President,Ignazio Cassis,Q117254,2022-01-01,male,1961-04-13,,"Außenminister Alexander Schallenberg gemeinsam mit seinem Schweizer Amtskollegen Ignazio Cassis bei der Unterzeichnung des MoU ""Strategische Kooperation"" 11.06.2021 03.jpg",Ignazio Cassis
Switzerland,Vice President,Alain Berset,Q123939,2022-01-01,male,1972-04-09,,Alain Berset 2016.jpg,Alain Berset
Switzerland,Member of the Federal Council,Ueli Maurer,Q123979,2009-01-01,male,1950-12-01,,"Ueli Maurer, 2009.jpg",Ueli Maurer
Switzerland,Member of the Federal Council,Simonetta Sommaruga,Q122991,2010-11-01,female,1960-05-14,,Simonetta Sommaruga 2016.jpg,Simonetta Sommaruga
Switzerland,Member of the Federal Council,Alain Berset,Q123939,2012-01-01,male,1972-04-09,,Alain Berset 2016.jpg,Alain Berset
Switzerland,Member of the Federal Council,Guy Parmelin,Q121160,2016-01-01,male,1959-11-09,,Guy Parmelin 2016.jpg,Guy Parmelin
Switzerland,Member of the Federal Council,Ignazio Cassis,Q117254,2017-11-01,male,1961-04-13,,"Außenminister Alexander Schallenberg gemeinsam mit seinem Schweizer Amtskollegen Ignazio Cassis bei der Unterzeichnung des MoU ""Strategische Kooperation"" 11.06.2021 03.jpg",Ignazio Cassis
Switzerland,Member of the Federal Council,Karin Keller-Sutter,Q115881,2019-01-01,female,1963-12-22,,"Karin Keller-Sutter (2020, cropped).jpg",Karin Keller-Sutter
Switzerland,Member of the Federal Council,Viola Amherd,Q120917,2019-01-01,female,1962-06-07,,Viola Amherd Original (2018).jpg,Viola Amherd
Switzerland,Chancellor,Walter Thurnherr,Q21528856,2016-01-01,male,1963-07-11,,"Bundesrat der Schweiz 2017 (cropped, Walter Thurnherr).jpg",Walter Thurnherr
Switzerland,President of the Council of States,Alex Kuprecht,Q118349,2020-11-30,male,1957-12-22,,Alex Kuprecht 002.jpg,Alex Kuprecht
Switzerland,President of the National Council,Andreas Aebi,Q117403,2020-11-30,male,1958-11-26,,Andreas Aebi 2019.jpg,Andreas Aebi
Switzerland,Chief of the Armed Forces,Thomas Süssli,Q67135643,2020-01-01,male,1966-09-24,,Brigadier Thomas Süssli.jpg,Thomas Süssli
