catalog,id,name,relationship,relative,relativename
Thailand,Q13014171,Charupong Ruangsuwan,father,Q16138780,จารุบุตร เรืองสุวรรณ
Thailand,Q13018086,Patcharawat Wongsuwan,sibling,Q15724737,Prawit Wongsuwan
Thailand,Q13018086,Patcharawat Wongsuwan,sibling,Q7227814,Pongphan Wongsuwan
Thailand,Q13020617,Wacharaphon Prasanrachakit,child,Q61117274,Panthaphon Prasanrachakit
Thailand,Q13022077,Somsak Thepsuthin,spouse,Q16139636,อนงค์วรรณ เทพสุทิน
Thailand,Q13023212,Mom Luang Panadda Diskul,father,Q13023190,Mom Rajawongse Sangkadis Diskul
Thailand,Q15724737,Prawit Wongsuwan,sibling,Q13018086,Patcharawat Wongsuwan
Thailand,Q15724737,Prawit Wongsuwan,sibling,Q7227814,Pongphan Wongsuwan
Thailand,Q16138950,Chitpas Kridakorn,mother,Q13023214,Piyapas Bhirombhakdi
Thailand,Q16139757,Anutin Charnvirakul,father,Q529433,Chaovarat Chanweerakul
Thailand,Q16305692,Varawut Silpa-archa,father,Q111980,Banhan Sinlapa-acha
Thailand,Q16305692,Varawut Silpa-archa,mother,Q13026194,Jamsai Silpa-archa
Thailand,Q164373,Thaksin Shinawatra,child,Q13018161,Pintongtha Shinawatra
Thailand,Q164373,Thaksin Shinawatra,child,Q13026319,Peatongtarn Shinawatra
Thailand,Q164373,Thaksin Shinawatra,child,Q1986496,Panthongtae Shinawatra
Thailand,Q164373,Thaksin Shinawatra,father,Q13025801,Lert Shinawatra
Thailand,Q164373,Thaksin Shinawatra,sibling,Q13025714,Yaowapa Wongsawat
Thailand,Q164373,Thaksin Shinawatra,sibling,Q57670,Yingluck Shinawatra
Thailand,Q164373,Thaksin Shinawatra,spouse,Q4925511,Potjaman Na Pombejra
Thailand,Q174267,Abhisit Vejjajiva,father,Q16306590,Athasit Vejjajiva
Thailand,Q174267,Abhisit Vejjajiva,sibling,Q16140398,Alisa Wacharasindhu
Thailand,Q174267,Abhisit Vejjajiva,sibling,Q4923120,Ngarmpun Vejjajiva
Thailand,Q174267,Abhisit Vejjajiva,spouse,Q13018225,Pimpen Vejjajiva
Thailand,Q20564905,Itthipol Khunpluem,father,Q6634461,Somchai Khunpluem
Thailand,Q2108126,Prayut Chan-o-cha,sibling,Q16957022,Pricha Chan-ocha
Thailand,Q2108126,Prayut Chan-o-cha,spouse,Q18050871,Naraphon Chan-ocha
Thailand,Q2369912,Suthep Thaugsuban,sibling,Q13015838,Thani Thaugsuban
Thailand,Q2369912,Suthep Thaugsuban,sibling,Q15632622,Chen Thaugsuban
Thailand,Q2369912,Suthep Thaugsuban,spouse,Q15632628,Sisakul Phromphan
