catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Tunisia,President,Kais Saied,Q16120878,2019-10-23,male,1958-02-22,,President Kais Saïed cropped.jpg,Kais Saied
Tunisia,Prime Minister,Najla Bouden,Q108741355,2021-10-11,female,1958-06-29,,الرئيس تبون يستقبل رئيسة الحكومة التونسية 0-24 screenshot (cropped).png,Najla Bouden
Tunisia,Minister of Agriculture,Mahmoud Elyes Hamza,Q108892344,2021-10-11,male,1958-06-13,,,
Tunisia,Minister of Commerce,Fadhila Rebhi,Q108892359,2021-10-11,female,,,,
Tunisia,Minister of Culture,Hayet Guettat,Q108892387,2021-10-11,female,,,,
Tunisia,Minister of Defence,Imed Memmich,Q108883556,2021-10-11,male,1966-09-08,,,Imed Memmich
Tunisia,Minister of Economy and Planning,Samir Saïed,Q108865358,2021-10-11,male,1957,,,Samir Saïed
Tunisia,Minister of Education,Fethi Sellaouti,Q98828599,2020-09-02,male,1960,,,
Tunisia,Minister of Employment,Nasreddine Nsibi,Q108892375,2021-10-11,male,,,,
Tunisia,Minister of Energy and Mines,Neila Gonji,Q108892363,2021-10-11,female,1959-09-18,,,Neila Gonji
Tunisia,Minister of the Environment,Leila Chikhaoui,Q108892383,2021-10-11,female,1966-08-15,,,
Tunisia,Minister of Equipment,Sarra Zaâfrani,Q108892374,2021-10-11,female,,,,
Tunisia,Minister of Finance,Sihem Boughdiri,Q108159069,2021-08-02,female,1965,,,Sihem Boughdiri
Tunisia,Minister of Foreign Affairs,Othman Jerandi,Q12270270,2020-09-02,male,,,Othman Jerandi.jpg,Othman Jerandi
Tunisia,Minister of Health,Ali Mrabet,Q86329266,2021-08-06,male,1963-10-28,,,
Tunisia,Minister of Higher Education,Moncef Boukthir,Q108892377,2021-10-11,male,1960-06-13,,,
Tunisia,Minister of Industry,Neila Gonji,Q108892363,2021-10-11,female,1959-09-18,,,Neila Gonji
Tunisia,Minister of Interior,Taoufik Charfeddine,Q98828355,2021-10-11,male,1968-11-24,,Taoufik Charfeddine.jpg,Taoufik Charfeddine
Tunisia,Minister of Justice,Leila Jaffel,Q98828570,2021-10-11,female,1960-08-29,,,Leïla Jaffel
Tunisia,Minister of Religious Affairs,Ibrahim Chaibi,Q108892355,2021-10-11,male,1978-12-28,,,
Tunisia,Minister of Social Affairs,Malek Ezzahi,Q108892347,2021-10-11,male,1979-07-09,,,
Tunisia,Minister of State Domains,Mohamed Rekik,Q109544397,2021-10-11,male,1976,,,
Tunisia,Minister of Technology and Communication,Nizar Ben Neji,Q108163613,2021-08-02,male,1981-06-27,,Nizar Ben Neji.jpg,Nizar Ben Néji
Tunisia,Minister of Tourism,Mohamed Moez Belhassine,Q108892366,2021-10-11,male,1977-09-14,,,
Tunisia,Minister of Transport,Rabie Majidi,Q108892351,2021-10-11,male,,,,
Tunisia,Minister of Women affairs,Amel Moussa,Q52450891,2021-10-11,female,1971,,,Amel Moussa
Tunisia,Minister of Youth and Sports,Kamel Deguiche,Q98828560,2021-10-11,male,1970-08-24,,,
Tunisia,Government Spokesperson,Nasreddine Nsibi,Q108892375,2021-11-15,male,,,,
Tunisia,Governor of the Central Bank,Marouane Abassi,Q53015850,2018-02-16,male,1959-07-20,,,
Tunisia,Mayor of Tunis,Souad Abderrahim,Q3491422,2018-07-03,female,1964-12-16,,SouadAbderrahimANC2011.jpg,Souad Abderrahim
