catalog,id,name,relationship,relative,relativename
United Arab Emirates,Q105539926,Shakhboot Nahyan Al Nahyan,father,Q1746137,Nahyan bin Mubarak Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,child,Q16196176,Sultan bin Khalifa Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,child,Q16733119,Mohammed bin Khalifa Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,father,Q167846,Zayed bin Sultan Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,mother,Q5679463,Hassa bint Mohammed bin Khalifa Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q1573260,Hamdan bin Zayed bin Sultan Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q1951896,Mohammed bin Zayed Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q2073929,Ahmed bin Zayed Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q556607,Mansour bin Zayed Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q5644454,Hamed bin Zayed Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q5688471,Hazza bin Zayed bin Sultan Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q58301,Abdullah bin Zayed Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q7400024,Saif bin Zayed Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q7636761,Sultan bin Zayed bin Sultan Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,sibling,Q85804913,Tahnoun bin Zayed Al Nahyan
United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,spouse,Q10781516,Shamsa bint Suhail Al Mazrouei
United Arab Emirates,Q10781516,Shamsa bint Suhail Al Mazrouei,child,Q16196176,Sultan bin Khalifa Al Nahyan
United Arab Emirates,Q10781516,Shamsa bint Suhail Al Mazrouei,child,Q16733119,Mohammed bin Khalifa Al Nahyan
United Arab Emirates,Q10781516,Shamsa bint Suhail Al Mazrouei,spouse,Q1059948,Khalifa bin Zayed Al Nahyan
