catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
United Kingdom,monarch,Elizabeth II,Q9682,1952-02-06,female,1926-04-21,,Queen Elizabeth II of New Zealand (cropped).jpg,Elizabeth II
United Kingdom,Prime Minister,Boris Johnson,Q180589,2019-07-24,male,1964-06-19,,Boris Johnson official portrait (cropped).jpg,Boris Johnson
United Kingdom,Deputy Prime Minister,Dominic Raab,Q268584,2021-09-15,male,1974-02-25,,Official portrait of Rt Hon Dominic Raab MP crop 2.jpg,Dominic Raab
United Kingdom,First Lord of the Treasury,Boris Johnson,Q180589,2019-07-25,male,1964-06-19,,Boris Johnson official portrait (cropped).jpg,Boris Johnson
United Kingdom,Lord Chancellor,Dominic Raab,Q268584,2021-09-15,male,1974-02-25,,Official portrait of Rt Hon Dominic Raab MP crop 2.jpg,Dominic Raab
United Kingdom,Chancellor of the Exchequer,Rishi Sunak,Q20055561,2020-02-13,male,1980-05-12,,Chancellor Rishi Sunak (cropped).jpg,Rishi Sunak
United Kingdom,"Secretary of State for Business, Energy and Industrial Strategy",Kwasi Kwarteng,Q750204,2021-01-08,male,1975-05-26,,Official portrait of Kwasi Kwarteng crop 2.jpg,Kwasi Kwarteng
United Kingdom,"Secretary of State for Culture, Media and Sport",Nadine Dorries,Q258586,2021-09-15,female,1957-05-21,,Official portrait of Ms Nadine Dorries crop 2.jpg,Nadine Dorries
United Kingdom,Secretary of State for Defence,Ben Wallace,Q263166,2019-07-24,male,1970-05-15,,Official portrait of Rt Hon Ben Wallace MP crop 2.jpg,Ben Wallace (politician)
United Kingdom,Secretary of State for Education,Nadhim Zahawi,Q259361,2021-09-15,male,1967-06-02,,Official portrait of Nadhim Zahawi MP crop 2.jpg,Nadhim Zahawi
United Kingdom,"Secretary of State for Environment, Food and Rural Affairs",George Eustice,Q303510,2020-02-13,male,1971-09-28,,Official portrait of George Eustice MP crop 2.jpg,George Eustice
United Kingdom,Secretary of State for Foreign and Commonwealth Affairs,Liz Truss,Q272201,2021-09-15,female,1975-07-26,,Official portrait of Elizabeth Truss crop 2.jpg,Liz Truss
United Kingdom,Secretary of State for Health and Social Care,Sajid Javid,Q727798,2021-06-26,male,1969-12-05,,Official portrait of Rt Hon Sajid Javid MP crop 2.jpg,Sajid Javid
United Kingdom,Secretary of State for the Home Department,Priti Patel,Q575733,2019-07-24,female,1972-03-29,,Official portrait of Rt Hon Priti Patel MP crop 2.jpg,Priti Patel
United Kingdom,Secretary of State for International Trade,Anne-Marie Trevelyan,Q20648244,2021-09-15,female,1969-04-06,,Official portrait of Mrs Anne-Marie Trevelyan crop 2.jpg,Anne-Marie Trevelyan
United Kingdom,Secretary of State for Justice,Dominic Raab,Q268584,2021-09-15,male,1974-02-25,,Official portrait of Rt Hon Dominic Raab MP crop 2.jpg,Dominic Raab
United Kingdom,"Secretary of State for Levelling Up, Housing and Communities",Michael Gove,Q333937,2021-09-15,male,1967-08-26,,Official portrait of Rt Hon Michael Gove MP crop 2.jpg,Michael Gove
