id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100167384,David F. Helvey,male,,,,,David F. Helvey official photo.jpg,
Q100178804,Ray Lopez,male,1949,9,,,,Ray Lopez
Q100233807,Michael McLendon,male,1963-11-14,11,,,,Michael McLendon
Q100254212,Kathy Chism,female,1957-08-22,11,,,,Kathy Chism
Q100269224,Daniel Sparks,male,1975,9,,,,Daniel Sparks (politician)
Q100280963,Benjamin Suber,male,,,,,,Benjamin Suber
Q100319842,Sarita Simmons,female,1977-05-14,11,,,,Sarita Simmons
Q100319948,Mary Abrams,female,,,,,,Mary Abrams
Q100368633,Joseph C. Thomas,male,1949-06-25,11,,,,Joseph C. Thomas
Q100396326,Kellie Warren,female,1969-02-18,11,,,Kellie Warren.jpg,Kellie Warren
Q100401218,Tyler McCaughn,male,1982-07-14,11,,,,Tyler McCaughn
Q100451270,Renee Erickson,female,1964-05-23,11,,,,Renee Erickson (politician)
Q100524585,Chris Johnson,male,1978,9,,,,Chris Johnson (Mississippi politician)
Q100587878,Jeremy England,male,1982-11-11,11,,,,Jeremy England (politician)
Q100742942,James Talarico,male,1989-05-17,11,,,Official Headshot of Representative James Talarico.png,James Talarico
Q100963892,Glenn Youngkin,male,1966-12-09,11,,,Glenn Youngkin Headshot.jpg,Glenn Youngkin
Q101033538,Cynthia Armour Coyne,female,1961-11-08,11,,,,Cynthia Armour Coyne
Q101048006,Shelby Slawson,female,1977-05-03,11,,,,Shelby Slawson
Q101067810,Valarie Lawson,female,1966-08-14,11,,,,Valarie Lawson
Q101115991,Jeff Taylor,male,1961-01-30,11,,,Jeff taylor iowa.jpg,Jeff Taylor (politician)
Q101136890,Kathy Manning,female,1956-12-03,11,,,Kathy Manning 117th U.S Congress.jpg,Kathy Manning
Q101137076,Kim Jackson,female,,7,,,,Kim Jackson (politician)
Q101168868,Ann Johnson,female,1974-08-13,11,,,,Ann Johnson (politician)
Q101188481,Vernon Stephens,male,1967,9,,,,Vernon Stephens (politician)
Q101195275,Iman Jodeh,female,,,,,,Iman Jodeh
Q101196462,August Pfluger,male,1978-12-28,11,,,August Pfluger official photo.jpg,August Pfluger
Q101196632,Jake Auchincloss,male,1988-01-29,11,,,"Jake Auchincloss, 117th Congress portrait.jpg",Jake Auchincloss
Q101196971,Blake Moore,male,1980-06-22,11,,,Blake Moore 117th U.S Congress.jpg,Blake Moore
Q101197341,Diana Harshbarger,female,1960-01-01,11,,,Diana Harshbarger 117th U.S Congress.jpg,Diana Harshbarger
Q101198561,Scott Franklin,male,1964-08-23,11,,,"Scott Franklin, 117th Congress portrait.jpg",Scott Franklin (politician)
Q101210038,Ricki Ruiz,male,,,,,Ricki Ruiz.png,Ricki Ruiz
Q101210040,Khanh Pham,female,1978,9,,,Khanh Pham.png,Khanh Pham
Q101210044,Jason Kropf,male,,,,,,Jason Kropf
Q101210212,Dacia Grayber,female,,,,,Dacia Grayber.png,Dacia Grayber
Q101210213,Wlnsvey Campos,female,,,,,,Wlnsvey Campos
Q101229393,Kristen Juras,female,1955-10-16,11,,,,Kristen Juras
Q101243033,Fady Qaddoura,male,1980-09-26,11,,,,Fady Qaddoura
Q101243404,John I. Kane,male,1960-11-12,11,,,"Gov. Wolf Outlines Plan to Improve Worker Pay, Sick Leave and Protections (51619524618) (cropped).jpg",John I. Kane
Q101243560,Harold Pope Jr.,male,,,,,,Harold Pope Jr.
Q101243561,Katy Duhigg,female,,,,,,Katy Duhigg
Q101251495,Mel Gillis,male,1943-08-02,11,,,,Mel Gillis
