catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Uzbekistan,President,Shavkat Mirziyoyev,Q57808,2016-12-14,male,1957-07-24,,Shavkat Mirziyoyev official portrait (cropped 2).jpg,Shavkat Mirziyoyev
Uzbekistan,Prime Minister,Abdulla Nigmatovich Aripov,Q28002959,2016-12-14,male,1961-05-24,,Abdulla Aripov (2019-05-30).jpg,Abdulla Aripov
Uzbekistan,Deputy Prime Minister,Jamshid Anvarovich Kuchkarov,Q106165258,2020-01-24,male,1964-10-19,,Jamshid Kuchkarov.jpg,
Uzbekistan,Deputy Prime Minister,Zulaykho Makhkamova,Q113144572,2022-03-01,female,,,,
Uzbekistan,Deputy Prime Minister,Jamshid Khodjayev,Q106574535,2022-07-16,male,1979,,Jamshid Khodjaev.jpg,
Uzbekistan,Deputy Prime Minister,Achilbay Ramatov,Q29349797,2023-01-02,male,1962-08-21,,,
Uzbekistan,Minister of Agriculture,Aziz Voitov,Q114309473,2022-08-29,male,1980,,,
Uzbekistan,Minister of Construction,Batir Zakirov,Q24009743,2019,male,1963-07-28,,Batir Zakirov.jpg,
Uzbekistan,Minister of Culture,Ozodbek Nazarbekov,Q4312092,2020-01-22,male,1974-05-07,,"Ozodbek Nazarbekov, Otabek Mahkamov, and Ulugʻbek Rahmatullayev (9.30.2012).JPG",
Uzbekistan,Minister of Defence,Bakhodir Kurbanov,Q63283334,2019-02-11,male,1972,,"Bakhodir Kurbanov, 2022.jpg",Bakhodir Kurbanov (general)
Uzbekistan,Minister of Economy,Sherzod Qudbiyev,Q54263170,2023-01-02,male,1981,,,
Uzbekistan,Minister of Emergency Situations,Abdulla Kuldashev,Q113144119,2022-03-01,male,,,,
Uzbekistan,Minister of Employment and Poverty Reduction,Behzod Musaev,Q106511584,2023-01-02,male,1973,,Behzod Musaev.jpg,Behzod Musaev
Uzbekistan,Minister of Energy,Zhurabek Mirzamakhmudov,Q114316295,2022-09-29,male,1979,,,
Uzbekistan,Minister of Foreign Affairs,Bakhtiyor Saidov,Q109656595,2023-01-02,male,1981-04-22,,Saidov Bakhtiyor Odilovich.jpg,
Uzbekistan,Minister of Higher Education,Ibrohim Abdurahmonov,Q106361482,2023-01-02,male,1975-02-19,,Ibrohim Yulchievich Abdurakhmonov.jpg,Ibrohim Abdurakhmonov
Uzbekistan,Minister of Information Technology and Communication,Sherzod Shermatov,Q72563597,2021-11-17,male,1977-04-07,,,
Uzbekistan,Minister of Internal Affairs,Poʻlat Bobojonov,Q38905192,2017-09-04,male,1961-01-01,,Пулат Бобожонов.jpg,
Uzbekistan,Minister of Investments and Foreign Trade,Laziz Kudratov,Q116559090,2023-01-02,male,,,,
Uzbekistan,Minister of Justice,Akbar Tashkulov,Q115782420,2022-12-15,male,,,Akbar Toshqulov.jpg,
Uzbekistan,Minister of Mining and Geology,Bobur Islamov,Q106614059,2023-01-02,male,1984,,,
Uzbekistan,Minister of Natural Resources,Aziz Abdukhakimov,Q24009847,2023-01-02,male,1974-11-06,,Aziz Abduhakimov Министр.jpg,Aziz Abduhakimov
Uzbekistan,Minister of Pre-School Education,Hilola Umarova,Q115973726,2023-01-02,female,,,Hilola Umarova.png,
Uzbekistan,Minister of Public Health,Amrillo Inoyatov,Q115002510,2023-01-02,male,1979-10-14,,Amrillo Inoyatov.jpg,
Uzbekistan,Minister of Transport,Ilhom Mahkamov,Q106592837,2021-02-22,male,1979-06-12,,Ilkhom Makhkamov.jpg,
Uzbekistan,Minister of Water Resources,Shavkat Khamraev,Q106606931,2018-02-12,male,1964-08-13,,,
Uzbekistan,Minister of Youth and Sport,Adham Ikromov,Q28665708,2023-01-02,male,1968-12-21,,Адхам Икрамов.jpg,
Uzbekistan,Chair of the Council of Ministers of Karakalpakstan,Farhod Ermanov,Q55103719,2023-01-02,male,1958-04-30,,,
Uzbekistan,Head of the Office of the President,Sardor Umurzakov,Q84718692,2022-07-16,male,1977-11-23,,Sardor Umurzakov 15.03.2021 (cropped).jpg,
Uzbekistan,Prosecutor General,Nigmatilla Yuldashev,Q20533811,2019-06-20,male,1962-11-05,,Nigmatilla Yuldashev.jpg,Nigmatilla Yuldashev
Uzbekistan,Chair of the Senate,Tanzila Narbaeva,Q64765261,2019-06-21,female,1956-07-24,,Tanzila Narbaeva.jpg,Tanzila Norbaeva
Uzbekistan,Speaker of the Legislative Chamber,Nurdinjon Ismoilov,Q30729355,2015-01-12,male,1959-01-20,,Nuridjon Ismoilov (2019-09-01).jpg,
Uzbekistan,Governor of the Central Bank,Mamarizo Nurmurodov,Q30302568,2017-06-07,male,1960-03-17,,,
Uzbekistan,Chief of the General Staff,Shukhrat Kholmukhamedov,Q107130633,2021-03-23,male,,,,Shukhrat Kholmukhamedov
