catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Vanuatu,President,Nikenike Vurobaravu,Q113239716,2022-07-23,male,1964,,,Nikenike Vurobaravu
Vanuatu,Prime Minister,Ishmael Kalsakau,Q24950945,2022-11-04,male,,,Ishmael Alatoi Kalsakau opposition (profile).png,Ishmael Kalsakau
Vanuatu,"Minister of Agriculture, Forestry and Fisheries",Willie Daniel Kalo,Q109923931,2020-04-20,male,,,,
Vanuatu,Minister of Education and Training,Samson Samsen,Q109923961,2021-07-21,male,,,,
Vanuatu,Minister of Finance,Johnny Koanapo Rasou,Q109923926,2020-04-20,male,,,,
Vanuatu,Minister of Foreign Affairs and External Trade,Marc Ati,Q109923917,2020-04-20,male,,,,
Vanuatu,Minister of Health,Silas Bule,Q107246336,2020-04-20,male,1960-08-26,,,
Vanuatu,Minister of Infrastructure and Public Utilities,Jay Ngwele,Q104453580,2020-04-20,male,1973-04-05,,,
Vanuatu,Minister of Justice and Social Welfare,Esmon Saimon,Q5398549,2020-04-20,male,1955-10-28,,Esmon Saimon 2018.jpg,Esmon Saimon
Vanuatu,"Minister of Lands, Geology and Natural Resources",Edward Nalyal,Q109924039,2021-06-21,male,1969-08-13,,,
Vanuatu,Minister of Planning and Climate Change Adaptation,Bruno Leingkone,Q24950893,2020-04-20,male,1968-10-22,,Courtesy call of Vauatu Delegates (cropped).jpg,
Vanuatu,"Minister of Tourism, Commerce, Trades and Ni Vanuatu Business",James Bule,Q19544007,2020-04-20,male,1957-07-14,,,
Vanuatu,Minister of Youth and Sport,Willie Satearoro Pakoa,Q109923933,2020-04-20,male,,,,
Vanuatu,Speaker of the Parliament of Vanuatu,Seoule Simeon,Q55863225,2021-06-15,male,1970-10-10,,Hon. Seoule SIMEON (cropped).jpg,Seule Simeon
Vanuatu,Governor of the Reserve Bank,Simeon Malachi Athy,Q25431407,2013-10-11,male,,,,
