catalog,id,name,relationship,relative,relativename
Venezuela,Q1227076,Diosdado Cabello,sibling,Q113486403,Glenna Cabello
Venezuela,Q1227076,Diosdado Cabello,sibling,Q6292031,José David Cabello
Venezuela,Q1227076,Diosdado Cabello,spouse,Q20015585,Marleny Contreras
Venezuela,Q15081116,Delcy Rodríguez,father,Q27786356,Jorge Antonio Rodríguez
Venezuela,Q15081116,Delcy Rodríguez,sibling,Q3295308,Jorge Rodríguez
Venezuela,Q295790,Carlos Andrés Pérez,spouse,Q5729827,Blanca Rodríguez de Pérez
Venezuela,Q3295308,Jorge Rodríguez,father,Q27786356,Jorge Antonio Rodríguez
Venezuela,Q3295308,Jorge Rodríguez,sibling,Q15081116,Delcy Rodríguez
Venezuela,Q3788643,Ernesto Villegas,sibling,Q12809209,Vladimir Villegas
Venezuela,Q506399,Tareck El Aissami,sibling,Q47476698,Haifa El Aissami
Venezuela,Q58132,Nicolás Maduro,child,Q22278983,Nicolás Maduro Guerra
Venezuela,Q58132,Nicolás Maduro,partner,Q799556,Cilia Flores
Venezuela,Q58132,Nicolás Maduro,spouse,Q799556,Cilia Flores
Venezuela,Q58833335,Juan Guaidó,child,Q61665639,Miranda Guaidó Rosales
Venezuela,Q58833335,Juan Guaidó,spouse,Q61665580,Fabiana Rosales
Venezuela,Q5938504,Henry Ramos Allup,sibling,Q96354480,José Luis Gutiérrez
Venezuela,Q5951793,Juan Pablo Guanipa,sibling,Q16300780,Tomás Guanipa
Venezuela,Q6328534,Marisabel Rodríguez de Chávez,spouse,Q8440,Hugo Chávez
Venezuela,Q716294,José Vicente Rangel,child,Q6294184,José Vicente Rangel Ávalos
Venezuela,Q716294,José Vicente Rangel,spouse,Q28444874,Ana Ávalos
Venezuela,Q799556,Cilia Flores,partner,Q58132,Nicolás Maduro
Venezuela,Q799556,Cilia Flores,relative,Q22278983,Nicolás Maduro Guerra
Venezuela,Q799556,Cilia Flores,relative,Q44694121,Efraín Antonio Campo Flores
Venezuela,Q799556,Cilia Flores,spouse,Q58132,Nicolás Maduro
Venezuela,Q8440,Hugo Chávez,child,Q48772419,María Gabriela Chávez
Venezuela,Q8440,Hugo Chávez,father,Q1422810,Hugo de los Reyes Chávez
Venezuela,Q8440,Hugo Chávez,mother,Q5359015,Elena Frías de Chávez
Venezuela,Q8440,Hugo Chávez,relative,Q17987387,Asdrúbal Chávez
Venezuela,Q8440,Hugo Chávez,sibling,Q380283,Adán Chávez
Venezuela,Q8440,Hugo Chávez,sibling,Q4778506,Aníbal Chávez
Venezuela,Q8440,Hugo Chávez,sibling,Q644780,Argenis Chávez
Venezuela,Q8440,Hugo Chávez,spouse,Q28647798,Nancy Colmenares
Venezuela,Q8440,Hugo Chávez,spouse,Q6328534,Marisabel Rodríguez de Chávez
