id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q10742805,Bùi Quang Vinh,male,1953-08-08,11,,,Mr. Bui Quang Vinh.jpg,Bùi Quang Vinh
Q10744338,Cao Đức Phát,male,1959-05-25,11,,,Mr. Cao Duc Phat.jpg,
Q10748036,Chu Tuấn Nhạ,,1939-01-10,11,,,,
Q10769050,Hoang Trung Hai,male,1959-09-27,11,,,Hoang Trung Hai 2009.jpg,Hoàng Trung Hải
Q10769930,Huỳnh Thành Đạt,male,1962,9,,,,
Q10770525,Hà Hùng Cường,male,1953-08-11,11,,,Mr. Ha Hung Cuong.jpg,
Q10771978,Hồ Nghĩa Dũng,,1950-08-01,11,,,Ho Nghia Dung.jpg,
Q10787645,Lê Huy Ngọ,,1938-05-25,11,,,,
Q10787737,Lê Minh Hương,male,1936-10-03,11,2004-05-23,11,,Lê Minh Hương
Q10787909,Lê Văn Dũng,male,1945-01-25,11,,,LêVănDũng2010.jpg,
Q10787955,Lê Vĩnh Tân,,1958-07-02,11,,,,
Q10787996,Lê Đức Thúy,,1948-06-30,11,,,,
Q10799005,Nguyễn Chí Dũng,male,1960-08-05,11,,,Mr. Nguyen Chi Dung.jpg,Nguyễn Chí Dũng
Q10799023,Nguyễn Công Tạn,male,1935,9,2014-11-01,11,,
Q10799078,Nguyễn Dy Niên,male,1935-12-09,11,,,Nguyen Dy Nien.jpg,
Q10799144,Nguyễn Hồng Quân,,1949,9,,,,
Q10799232,Nguyễn Khắc Nghiên,,1951-01-23,11,2010,9,,
Q10799276,Nguyễn Minh Hiển,,1948-02-01,11,,,Nguyen Minh Hien.jpg,
Q10799285,Nguyen Minh Quang,male,1953-10-15,11,,,,
Q10799296,Nguyễn Mạnh Cầm,male,1929-09-15,11,,,"Nguyen Manh Cam detail, 981001-D-9880W-006.jpg",
Q10799433,Nguyễn Quân,,1955-06-12,11,,,Nguyen Quan.jpg,
Q10799450,Nguyễn Quốc Triệu,,1951-06-22,11,,,,
Q10799491,Nguyễn Thanh Nghị,male,1976-08-12,11,,,,
Q10799548,Nguyễn Thái Bình,,1954-10-13,11,,,,
Q10799637,Nguyễn Thị Kim Ngân,female,1954-04-12,11,,,Nguyễn Thị Kim Ngân 20191211.jpg,Nguyễn Thị Kim Ngân
Q10799643,Nguyễn Thị Kim Tiến,female,1959-08-01,11,,,Mrs. Nguyen Thi Kim Tien.jpg,
Q10799702,Nguyen Thi Thanh Hoa,female,1954-11-03,11,,,Vietnam Women’s Union President Nguyen Thi Thanh Hoa addresses the launching ceremony of Vietnam Women Innovation Day 2013 (10032455466).jpg,Nguyễn Thị Thanh Hòa
Q10799870,Nguyễn Văn Bình,male,1961-03-04,11,,,,Nguyễn Văn Bình (politician)
Q10799878,Nguyễn Văn Chia,male,1942-05-10,11,2010,9,,
Q10799895,Nguyễn Văn Giàu,male,1957-12-08,11,,,Nguyen Van Giau.jpg,
Q10799955,Nguyễn Văn Nên,male,1957-07-14,11,,,,
Q10799994,Nguyễn Văn Thể,male,1966-11-27,11,,,,
Q10800073,Nguyễn Xuân Phúc,male,1954-07-20,11,,,Нгуен Суан Фук (01-12-2021).jpg,Nguyễn Xuân Phúc
Q10800109,Nguyễn Đình Lộc,,1935,9,,,,
Q10800166,Nguyễn Đức Chung,male,1967-08-03,11,,,,Nguyễn Đức Chung
Q10800424,Ngô Xuân Lịch,male,1954-04-20,11,,,Mr. Ngo Xuan Lich.jpg,Ngô Xuân Lịch
Q10805862,Phùng Xuân Nhạ,male,1963-06-03,11,,,Phung Xuan Nha photo by Bui Tuan Jan2015 (4).jpg,
Q10806892,Phạm Bình Minh,male,1959-03-26,11,,,Mr. Pham Binh Minh.jpg,Phạm Bình Minh
Q10806918,Phạm Hồng Hà,,1958-01-20,11,,,,
Q10806933,Phạm Khôi Nguyên,male,1950-07-07,11,,,"Wojciech Gerwel, Phạm Khôi Nguyên.jpg",
Q10806940,Phạm Minh Chính,male,1958-12-10,11,,,Mr. Pham Minh Chinh.jpg,Phạm Minh Chính
Q10807041,Phạm Trí Thức,male,1959,9,,,,
Q10807090,Phạm Vũ Luận,male,1955-08-01,11,,,Mr. Pham Vu Luan.jpg,
Q10828766,Trương Vĩnh Trọng,male,1942-11-11,11,2021-02-19,11,"Truong Vinh Trong, June 2011-1 (cropped).jpg",
Q10829324,Trần Hồng Hà,male,1963-04-19,11,,,,
Q10829531,Trần Thị Trung Chiến,,1946-01-16,11,,,,
Q10829633,Trần Văn Tuấn,,1950-02-10,11,,,,
Q10829649,Trần Xuân Giá,,1939-04-24,11,,,Tran Xuan Gia.jpg,
Q10829899,Trịnh Đình Dũng,male,1956-08-25,11,,,Trinh Dinh Dung 20181126.jpg,
Q10831196,Tô Lâm,male,1957-07-10,11,,,Mr. To Lam.jpg,Tô Lâm
Q10832258,Uông Chu Lưu,male,1955-07-20,11,,,,
Q10833975,Vũ Đức Đam,male,1963-02-03,11,,,Mr. Vu Duc Dam.jpg,Vũ Đức Đam
Q10840142,Đinh Tiến Dũng,male,1961,9,,,,
Q10840462,Dao Ngoc Dung,male,1962-06-06,11,,,,
Q10840501,Đào Đình Bình,,1945-02-06,11,,,,
Q10841571,Đặng Thị Ngọc Thịnh,female,1959-12-25,11,,,Mrs. Dang Thi Ngoc Thinh.jpg,Đặng Thị Ngọc Thịnh
Q10842107,Đỗ Bá Tỵ,male,1954-12-01,11,,,,Đỗ Bá Tỵ
Q10842139,Nguyên Phương Đỗ,male,1937,9,2008-10-03,11,,
Q10842154,Đỗ Quang Trung,male,1946,9,,,,
Q108805658,Nguyen Thi Bich Thao,female,1968-08-25,11,,,,
Q113003083,Nguyễn Mạnh Kiểm,male,1938-10-30,11,2020-01-02,11,,
Q1320534,Pham Van Tra,male,1935-08-19,11,,,031110-D-9880W-005.jpg,Phạm Văn Trà
Q139324,Trần Đức Lương,male,1937-05-05,11,,,"Tran Duc Luong, Nov 17, 2004.jpg",Trần Đức Lương
Q16157036,Đoàn Mạnh Giao,,1944,9,,,,
Q16157242,Hồ Đức Phớc,male,1963,9,,,,Hồ Đức Phớc
Q16157439,Lê Minh Hoan,male,1961,9,,,,
Q16480526,Chu Ngọc Anh,male,1965-06-17,11,,,,
Q20025905,Mai Tiến Dũng,,1959-01-08,11,,,Mai Tien Dung visited the USTR.jpg,
Q20025979,Nguyễn Mạnh Hùng,male,1962-07-24,11,,,,
Q20025996,Nguyễn Tân Cương,male,1966-02-11,11,,,Nguyễn Tân Cường.jpg,Nguyễn Tân Cương
Q20026119,Phan Văn Giang,male,1960,9,,,Mr. Phan Van Giang.jpg,Phan Văn Giang
Q24254499,Lê Minh Hưng,male,1970-12-11,11,,,Mr. Nguyen Xuan Phuc.jpg,Lê Minh Hưng
Q24953723,Nguyễn Hồng Diên,,1965,9,,,,
Q24954947,Trương Quang Nghĩa,,1958,9,,,Mr. Truong Quang Nghia.jpg,
Q24955865,Đoàn Hồng Phong,,1963-01-02,11,,,Đoàn Hồng Phong.jpg,
Q24957446,Nguyễn Thanh Long,male,1966,9,,,Mr. Nguyen Thanh Long.jpg,Nguyễn Thanh Long
Q24957799,Võ Thị Ánh Xuân,female,1970-01-08,11,,,,Võ Thị Ánh Xuân
Q24957821,Lê Minh Khái,male,1964,9,,,Mr. Le Minh Khai.jpg,Lê Minh Khái
Q24957904,Nguyễn Xuân Cường,,1959-10-14,11,,,,
Q24958645,Phạm Thị Thanh Trà,female,1964-01-21,11,,,,
Q24958947,Lê Thành Long,male,1963,9,,,Bộ trưởng Lê Thành Long.jpg,
Q25417879,Nguyễn Thị Hồng,female,1968,9,,,Nguyen Thi Hong 20180702.jpg,Nguyễn Thị Hồng (economist)
Q25417952,Nguyễn Văn Hùng,,1961,9,,,,
Q25418315,Lê Ngọc Hoàn,,1937,9,,,,
Q25418498,Trần Văn Sơn,male,1961,9,,,,
Q2595973,Vuong Dinh Hue,male,1958,9,,,Vuong Dinh Hue 20210906.jpg,Vương Đình Huệ
Q2971491,Hoàng Văn Phong,male,1948-10-06,11,,,Hoang Van Phong.jpg,
Q30919833,Hầu A Lềnh,,1973,9,,,,
Q30921853,Bùi Thanh Sơn,male,1962,9,,,,Bùi Thanh Sơn
Q30923376,Nguyễn Kim Sơn,male,1966-11-18,11,,,,
Q318458,Nguyen Phu Trong,male,1944-04-14,11,,,Nguyen Phu Trong 2.jpg,Nguyễn Phú Trọng
Q369596,Nong Duc Manh,male,1940-09-11,11,,,Nong Duc Manh 2010.jpg,Nông Đức Mạnh
Q379489,Phan Van Khai,male,1933-12-25,11,2018-03-17,11,Phanvankhai.jpg,Phan Văn Khải
Q392709,Nguyen Van An,male,1937-10-01,11,,,Nguyen van an.jpg,Nguyễn Văn An
Q4120045,Nguyen Sinh Hung,male,1946-01-18,11,,,Mr. Nguyen Sinh Hung.jpg,Nguyễn Sinh Hùng
