id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100329149,Haytham Shoja’aadin,male,,7,,,Presentation of Credentials by the Republic of Yemen (32345102135) (cropped).jpg,
Q104601317,Mohamed Ahmed Shabiba,male,1975,9,,,,
Q108548948,Jamal Abdullah al-Sallal,male,,,,,,
Q108548949,Muhammad Abdullah Hajar,male,,,,,,
Q109255985,Ibrahim Mohamed Ali Kolshat,male,,,,,Anwar Al-Mahri.jpg,
Q113407477,Mohsen Mohammed Al-Daeri,male,1965,9,,,,Mohsen Mohammed Al-Daeri
Q113574719,Ibrahim Haidan,male,1972,9,,,,Ibrahim Haidan
Q114350102,Khaled al-Wesabi,male,,,,,,Khaled al-Wesabi
Q114869418,Abdel Nasser Al-Wali,male,1959,9,,,,
Q114869638,Ahmed Mohamed Omar Orman,male,,,,,,
Q114869654,Hussein Abdul Rahman,male,,,,,,
Q114869664,Mohamed Al-Ashwal,male,,,,,,
Q114869699,Muhammad Al-Zaouri,male,,,,,,
Q114869710,Qassem Mohammad Qassem Bahaibah,male,1973,9,,,,Qassem Bahaibah
Q114869724,Saeed Sulaiman Al-Shamasi,male,1963,9,,,,
Q114869735,Salem Abdullah Issa Al-Soqotri,,,,,,,
Q114869756,Tareq Salem Al-Abkari,,,,,,,
Q114869762,Tawfiq Al-Sharjabi,,,,,,,
Q114869768,Abd Rabbo Saleh Aslami,,,,,,,
Q114869769,Abdel Salam Hamid,,,,,,,
Q114869770,Abdelghani Jamil,,,,,,,
Q114869771,Badr Al-Ardah,,,,,,,
Q114869772,Mana'a Saleh Yaslam,,,,,,,
Q114869773,Mohammed Abdallah Kouddah,,,,,,,
Q114869774,Mohammed Moqbel Al-Himyari,,,,,,,
Q114869775,Salem Mohamed Al-Harayzi,,,,,,,
Q114870284,Abdul Salam Abdullah Salem Baaboud,,,,,,,
Q114870285,Manea Bayamaïn,,,,,,,
Q114870620,Abdulaziz Al-Kumaim,,,,,,,
Q114870621,Abdulhakim Ahmed Al-Mawri,,,,,,,
Q114870622,Abdullah Ahmad Al-Kibsy,,,,,,,
Q114870623,Abdulrahman Ahmed Al-Mukhtar,,,,,,,
Q114870624,Ahmed Abdullah Akabat,,,,,,,
Q114870625,Ahmed Abdullah Naji Dars,,,,,,,
Q114870626,Ahmed Saleh Al-Ganie,,,,,,,
Q114870627,Ali Abdullah Abu Hulaykah,,,,,,,
Q114870628,Ali Bin Ali Al-Kays,,,,,,,
Q114870629,Alia Faisal Abdullatif Al-Shaba,,,,,,,
Q114870630,Dhaifallah Qasim Saleh Al-Shami,,,,,,,
