catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Abkhazia,President,Aslan Bzhania,Q4086139,2020-04-23,male,1963-04-06,,Aslan Bzhania (2020-06-24).jpg,Aslan Bzhania
Abkhazia,Vice President,Badr Gunba,Q4152132,2020-04-23,male,1981-08-14,,,Badr Gunba
Abkhazia,Prime Minister,Alexander Ankvab,Q313355,2020-04-23,male,1952-12-26,,Alexander Ankvab - 06.10.2011.jpg,Alexander Ankvab
Abkhazia,Minister of Culture,Elvira Arsalia,Q21572779,2014-10-15,female,1978,,Эльвира Анатольевна Арсалия 08.jpg,Elvira Arsalia
Abkhazia,Minister of Defence,Vladimir Anua,Q110974709,2020-06-01,male,1957,,,
Abkhazia,Minister of Foreign Affairs,Inal Ardzinba,Q18043980,2021-11-18,male,1990-07-26,,2022 Inal Ardzinba.jpg,Inal Ardzinba
Abkhazia,Minister of Internal Affairs,Aslan Kobakhia,Q26465386,2016-08-16,male,1960-03-23,,,Aslan Kobakhia
Abkhazia,Chief of the Cabinet Staff,David Sangulia,Q109065587,2017-09-04,male,1980-08-04,,,
Afghanistan,Supreme Leader,Hibatullah Akhundzada,Q24237654,2021-08-15,male,1961,,,Hibatullah Akhundzada
Afghanistan,Deputy Leader,Sirajuddin Haqqani,Q2246940,2021-08-15,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
Afghanistan,Deputy Leader,Mohammad Yaqoob,Q24572400,2021-08-15,male,1990,,Mullah Yaqoob in January 2022.png,Mullah Yaqoob
Afghanistan,Deputy Leader,Abdul Ghani Baradar,Q317219,2021-08-15,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Afghanistan,Prime Minister,Mohammad Hasan Akhund,Q108444479,2021-09-07,male,1945,,Hasan Akhund.png,Hasan Akhund
Afghanistan,Deputy Prime Minister,Abdul Salam Hanafi,Q107919266,2021-09-07,male,,,Abdul Salam Hanafi.png,Abdul Salam Hanafi
Afghanistan,Deputy Prime Minister,Abdul Ghani Baradar,Q317219,2021-09-07,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Afghanistan,Deputy Prime Minister,Abdul Kabir,Q4665452,2021-09-07,male,1958,,,Abdul Kabir
Afghanistan,"Minister of Agriculture, Irrigation and Livestock",Abdul Rahman Rashid,Q108683718,2021-09-07,male,,,Abdul Rahman Rashid in Kunduz.png,Abdul Rahman Rashid
Afghanistan,Minister of Commerce and Industries,Nooruddin Azizi,Q108660590,2021-09-07,male,,,,Nooruddin Azizi
Afghanistan,Minister of Communications and Information Technology,Najibullah Haqqani,Q108445427,2021-09-07,male,,,مولوی نجیب الله حقانی.jpg,Najibullah Haqqani
Afghanistan,Minister of Defence,Mohammad Yaqoob,Q24572400,2021-09-07,male,1990,,Mullah Yaqoob in January 2022.png,Mullah Yaqoob
Afghanistan,Minister of Disaster Management,Mohammad Abbas Akhund,Q109681100,2021-09-07,male,,,,Mohammad Abbas Akhund
Afghanistan,Minister of Economy,Din Mohammad Hanif,Q108130732,2021-09-07,male,1955,,,Din Mohammad Hanif
Afghanistan,Minister of Education,Noorullah Munir,Q108445459,2021-09-07,male,,,,Noorullah Munir
Afghanistan,Minister of Finance,Gul Agha Ishakzai,Q21662937,2021-08-24,male,1972,,,Gul Agha Ishakzai
Afghanistan,Minister of Foreign Affairs,Amir Khan Muttaqi,Q60499905,2021-09-07,male,1970,,Amir Khan Muttaqi in November 2021.png,Amir Khan Muttaqi
Afghanistan,"Minister of Frontiers, Nations and Tribal Affairs",Norullah Noori,Q7060721,2021-09-07,male,1967,,ISN 00006 Norullah Nori.jpg,Noorullah Noori
Afghanistan,Minister of Hajj and Islamic Affairs,Noor Mohammad Saqib,Q108445446,2021-09-07,male,,,,Noor Mohammad Saqib
Afghanistan,Minister of Health,Qalandar Ibad,Q108665752,2021-09-07,male,1980,,,Qalandar Ibad
Afghanistan,Minister of Higher Education,Abdul Baqi Haqqani,Q108321646,2021-08-29,male,1961,,عبدالباقی حقانی.jpg,Abdul Baqi Haqqani
Afghanistan,Minister of Information and Culture,Khairullah Khairkhwa,Q13641293,2021-09-07,male,1967,,Khairullah Khairkhwa.png,Khairullah Khairkhwa
Afghanistan,Minister of the Interior,Sirajuddin Haqqani,Q2246940,2021-09-07,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
Afghanistan,Minister of Justice,Abdul Hakim Ishaqzai,Q108122545,2021-09-07,male,1967,,Abdul Hakim Ishaqzai (cropped).jpg,Abdul Hakim Ishaqzai
Afghanistan,Minister of Labor and Social Affairs,Abdul Wali,Q114733864,2022,,,,,
Afghanistan,Minister of Martyrs and Disabled Affairs,Abdul Majeed Akhund,Q108803266,2021-09-07,male,,,,Abdul Majeed Akhund
Afghanistan,Minister of Mines and Petroleum,Shahabuddin Delawar,Q107693536,2021-11-23,male,,,,Shahabuddin Delawar
Afghanistan,Minister for the Propagation of Virtue and the Prevention of Vice,Sheikh Mohammad Khalid,Q108455564,2021-09-07,male,,,شیخ الحدیث محمد خالد (الحنفی).jpg,Sheikh Mohammad Khalid
