catalog,id,name,relationship,relative,relativename
Afghanistan,Q167139,Haji Abdul Qadeer,child,Q31069651,Zahir Qadeer
Afghanistan,Q172388,Ashraf Ghani,child,Q1896600,Mariam Ghani
Afghanistan,Q172388,Ashraf Ghani,spouse,Q18198028,Rula Ghani
Afghanistan,Q18198028,Rula Ghani,child,Q1896600,Mariam Ghani
Afghanistan,Q18198028,Rula Ghani,spouse,Q172388,Ashraf Ghani
Afghanistan,Q188667,Burhanuddin Rabbani,child,Q7403481,Salahuddin Rabbani
Afghanistan,Q188667,Burhanuddin Rabbani,relative,Q218863,Ahmad Zia Massoud
Afghanistan,Q193968,Mohammed Omar,child,Q24572400,Mohammad Yaqoob
Afghanistan,Q193968,Mohammed Omar,sibling,Q108067769,Abdul Manan Omari
Afghanistan,Q200029,Ahmad Shah Massoud,child,Q26689638,Ahmad Massoud
Afghanistan,Q200029,Ahmad Shah Massoud,sibling,Q218863,Ahmad Zia Massoud
Afghanistan,Q200029,Ahmad Shah Massoud,sibling,Q4695495,Ahmad Wali Massoud
Afghanistan,Q218863,Ahmad Zia Massoud,relative,Q26689638,Ahmad Massoud
Afghanistan,Q218863,Ahmad Zia Massoud,sibling,Q200029,Ahmad Shah Massoud
Afghanistan,Q218863,Ahmad Zia Massoud,sibling,Q4695495,Ahmad Wali Massoud
Afghanistan,Q2246940,Sirajuddin Haqqani,father,Q186013,Jalaluddin Haqqani
Afghanistan,Q2246940,Sirajuddin Haqqani,relative,Q108181749,Khalil Haqqani
Afghanistan,Q2246940,Sirajuddin Haqqani,sibling,Q108116450,Anas Haqqani
Afghanistan,Q2246940,Sirajuddin Haqqani,sibling,Q108602691,Nasiruddin Haqqani
Afghanistan,Q2246940,Sirajuddin Haqqani,sibling,Q108602709,Omar Haqqani
Afghanistan,Q2246940,Sirajuddin Haqqani,sibling,Q108602737,Mohammad Haqqani
Afghanistan,Q2246940,Sirajuddin Haqqani,sibling,Q108602761,Badruddin Haqqani
Afghanistan,Q24572400,Mohammad Yaqoob,father,Q193968,Mohammed Omar
Afghanistan,Q43944,Hamid Karzai,father,Q4665255,Abdul Ahad Karzai
Afghanistan,Q43944,Hamid Karzai,sibling,Q14972445,Qayum Karzai
Afghanistan,Q43944,Hamid Karzai,sibling,Q400858,Ahmed Wali Karzai
Afghanistan,Q43944,Hamid Karzai,sibling,Q6734481,Mahmud Karzai
Afghanistan,Q43944,Hamid Karzai,spouse,Q8068465,Zeenat Karzai
Afghanistan,Q477828,Amrullah Saleh,sibling,Q108516389,Rohullah Azizi
Afghanistan,Q7403481,Salahuddin Rabbani,father,Q188667,Burhanuddin Rabbani
Afghanistan,Q8068465,Zeenat Karzai,spouse,Q43944,Hamid Karzai
Afghanistan,Q971952,Ghulam Haider Hamidi,child,Q108107510,Rangina Hamidi
Åland,Q2269671,Gun-Mari Lindholm,spouse,Q63869527,Göran Lindholm
Åland,Q4354820,Olof Erland,spouse,Q451038,Viveka Eriksson
Åland,Q451038,Viveka Eriksson,spouse,Q4354820,Olof Erland
Albania,Q13040130,Ilir Gjoni,father,Q1694920,Xhelil Gjoni
Albania,Q13043722,Olta Xhaçka,spouse,Q19931525,Artan Gaçi
Albania,Q16350979,Bledi Çuçi,spouse,Q109564030,Delina Fico
Albania,Q19931525,Artan Gaçi,spouse,Q13043722,Olta Xhaçka
Albania,Q316901,Edi Rama,father,Q3301037,Kristaq Rama
Albania,Q316901,Edi Rama,mother,Q110835051,Aneta Rama
Albania,Q316901,Edi Rama,spouse,Q109562957,Linda Basha
Albania,Q316901,Edi Rama,spouse,Q109564030,Delina Fico
Albania,Q316901,Edi Rama,spouse,Q11771521,Matilda Makoçi
Albania,Q31965890,Rudina Hajdari,father,Q793657,Azem Hajdari
Albania,Q57625,Sali Berisha,spouse,Q11757807,Liri Berisha
Albania,Q6900200,Monika Kryemadhi,spouse,Q727132,Ilir Meta
Albania,Q727132,Ilir Meta,spouse,Q6900200,Monika Kryemadhi
Algeria,Q3193179,Karim Djoudi,father,Q3138943,Hocine Djoudi
Algeria,Q3193218,Karim Tabbou,spouse,Q83484711,Zahra Tabbou
Algeria,Q57308,Abdelaziz Bouteflika,sibling,Q3474786,Said Bouteflika
Algeria,Q57308,Abdelaziz Bouteflika,spouse,Q108646380,Amal Triki
Algeria,Q57613,Ahmed Ouyahia,sibling,Q112220806,Laïfa Ouyahia
Andorra,Q157,François Hollande,child,Q16783695,Julien Hollande
Andorra,Q157,François Hollande,child,Q16783697,Flora Hollande
Andorra,Q157,François Hollande,child,Q16783700,Thomas Hollande
Andorra,Q157,François Hollande,child,Q16783701,Clémence Hollande
Andorra,Q157,François Hollande,father,Q16354870,Georges Hollande
Andorra,Q157,François Hollande,mother,Q16354867,Nicole Tribert
Andorra,Q157,François Hollande,partner,Q230539,Valérie Trierweiler
Andorra,Q157,François Hollande,partner,Q435925,Julie Gayet
Andorra,Q157,François Hollande,partner,Q81923,Ségolène Royal
Andorra,Q157,François Hollande,sibling,Q16354873,Philippe Hollande
Andorra,Q157,François Hollande,spouse,Q435925,Julie Gayet
Andorra,Q21001195,Xavier Espot Zamora,father,Q2597802,Xavier Espot Miró
Andorra,Q2105,Jacques Chirac,child,Q15529521,Laurence Chirac
Andorra,Q2105,Jacques Chirac,child,Q2977194,Claude Chirac
Andorra,Q2105,Jacques Chirac,father,Q16354565,François Chirac
Andorra,Q2105,Jacques Chirac,mother,Q16354830,Marie-Louise Valette
Andorra,Q2105,Jacques Chirac,spouse,Q431115,Bernadette Chirac
Andorra,Q2597802,Xavier Espot Miró,child,Q21001195,Xavier Espot Zamora
Andorra,Q2996190,Contxita Marsol Riart,father,Q1377919,Rossend Marsol Clua
Andorra,Q3052772,Emmanuel Macron,father,Q28838206,Jean-Michel Macron
Andorra,Q3052772,Emmanuel Macron,mother,Q28838264,Françoise Noguès
Andorra,Q3052772,Emmanuel Macron,relative,Q28842880,Tiphaine Auzière
Andorra,Q3052772,Emmanuel Macron,relative,Q29869162,Laurence Auzière-Jourdan
Andorra,Q3052772,Emmanuel Macron,relative,Q29870480,Sébastien Auzière
Andorra,Q3052772,Emmanuel Macron,sibling,Q29860422,Estelle Macron
Andorra,Q3052772,Emmanuel Macron,sibling,Q29889211,Laurent Macron
Andorra,Q3052772,Emmanuel Macron,spouse,Q21511883,Brigitte Macron
Andorra,Q312785,Albert Pintat,relative,Q63033620,Josep Pintat Forné
Andorra,Q329,Nicolas Sarkozy,child,Q16338096,Giulia Sarkozy
Andorra,Q329,Nicolas Sarkozy,child,Q16338100,Pierre Sarkozy
Andorra,Q329,Nicolas Sarkozy,child,Q23034454,Louis Sarkozy
Andorra,Q329,Nicolas Sarkozy,child,Q946961,Jean Sarkozy
Andorra,Q329,Nicolas Sarkozy,father,Q3898147,Paul Sarkozy
Andorra,Q329,Nicolas Sarkozy,mother,Q16338080,Andrée Mallah
Andorra,Q329,Nicolas Sarkozy,sibling,Q16338110,François Sarkozy
Andorra,Q329,Nicolas Sarkozy,sibling,Q3120172,Guillaume Sarkozy
Andorra,Q329,Nicolas Sarkozy,sibling,Q3351364,Olivier Sarkozy
Andorra,Q329,Nicolas Sarkozy,sibling,Q48827891,Caroline Sarkozy
Andorra,Q329,Nicolas Sarkozy,spouse,Q143945,Carla Bruni
Andorra,Q329,Nicolas Sarkozy,spouse,Q16338091,Marie-Dominique Culioli
Andorra,Q329,Nicolas Sarkozy,spouse,Q235177,Cécilia Attias
Angola,Q10365296,Ruy Mingas,child,Q10335872,Nayma Mingas
Angola,Q4689392,Afonso Van-Dunem,spouse,Q51883215,Luzia Inglês Van-Dúnem
Angola,Q57313,José Eduardo dos Santos,child,Q10309412,José Filomeno dos Santos
Angola,Q57313,José Eduardo dos Santos,child,Q456034,Isabel dos Santos
Angola,Q57313,José Eduardo dos Santos,spouse,Q434534,Ana Paula dos Santos
Antigua and Barbuda,Q100606338,Maria Bird-Browne,spouse,Q17177542,Gaston Browne
Antigua and Barbuda,Q17177542,Gaston Browne,child,Q113611330,Prince Gaston Browne
Antigua and Barbuda,Q17177542,Gaston Browne,child,Q113611331,Gaston Andron Browne
Antigua and Barbuda,Q17177542,Gaston Browne,spouse,Q100606338,Maria Bird-Browne
Antigua and Barbuda,Q20171771,Charles Fernandez,spouse,Q111367956,Jill Fernandez
Antigua and Barbuda,Q20172097,Paul Chet Greene,spouse,Q113611379,Gwendolyn Leonora Greene
Antigua and Barbuda,Q365451,Lester Bird,father,Q561911,Vere Bird
Antigua and Barbuda,Q365451,Lester Bird,sibling,Q7921171,"Vere Bird, Jr."
Antigua and Barbuda,Q431167,James Carlisle,spouse,Q113611332,Nalda Amelia Carlisle
Antigua and Barbuda,Q9682,Elizabeth II,child,Q151754,"Anne, Princess Royal"
Antigua and Barbuda,Q9682,Elizabeth II,child,Q153330,"Prince Andrew, Duke of York"
Antigua and Barbuda,Q9682,Elizabeth II,child,Q154920,"Prince Edward, Earl of Wessex"
Antigua and Barbuda,Q9682,Elizabeth II,child,Q43274,"Charles, Prince of Wales"
Antigua and Barbuda,Q9682,Elizabeth II,father,Q280856,George VI
Antigua and Barbuda,Q9682,Elizabeth II,mother,Q10633,Queen Elizabeth The Queen Mother
Antigua and Barbuda,Q9682,Elizabeth II,sibling,Q153815,"Princess Margaret, Countess of Snowdon"
Antigua and Barbuda,Q9682,Elizabeth II,spouse,Q80976,"Prince Philip, Duke of Edinburgh"
Argentina,Q105969717,Martín Soria,father,Q176160,Carlos Soria
Argentina,Q105969717,Martín Soria,mother,Q17630853,Susana Freydoz
Argentina,Q105969717,Martín Soria,sibling,Q21856280,María Emilia Soria
Argentina,Q107736916,Enrique Estévez,father,Q9001319,Guillermo Estévez Boero
Argentina,Q107802947,Nicolás Rodríguez Saá,partner,Q21856142,Ana Carolina Gaillard
Argentina,Q108386730,Martín Berhongaray,father,Q18745601,Antonio Tomás Berhongaray
Argentina,Q111492729,José María Torello,sibling,Q21856289,Pablo Torello
Argentina,Q11184187,Rogelio Frigerio,father,Q47436405,Octavio Frigerio
Argentina,Q11184187,Rogelio Frigerio,relative,Q7357722,Rogelio Julio Frigerio
Argentina,Q1162679,Daniel Scioli,spouse,Q20017020,Karina Rabolini
Argentina,Q1162679,Daniel Scioli,spouse,Q20017020,Karina Rabolini
Argentina,Q1261399,Ricardo Alfonsín,father,Q193062,Raúl Alfonsín
Argentina,Q1261399,Ricardo Alfonsín,mother,Q6004142,María Lorenza Barreneche
Argentina,Q1403237,Felipe Solá,sibling,Q55470217,Dolores Solá
Argentina,Q15719117,Máximo Kirchner,father,Q170899,Néstor Kirchner
Argentina,Q15719117,Máximo Kirchner,mother,Q40649,Cristina Fernández de Kirchner
Argentina,Q15719117,Máximo Kirchner,sibling,Q15719141,Florencia Kirchner
Argentina,Q16300546,Claudia Ledesma Abdala de Zamora,spouse,Q4838698,Gerardo Zamora
Argentina,Q16302727,Rodolfo Urtubey,sibling,Q2836462,Alejandro Urtubey
Argentina,Q16302727,Rodolfo Urtubey,sibling,Q4122243,Juan Manuel Urtubey
Argentina,Q16566094,Facundo Moyano,father,Q3297245,Hugo Moyano
Argentina,Q16599648,Mariano Recalde,father,Q5906382,Héctor Recalde
Argentina,Q16913151,Sandra Mendoza,spouse,Q4837917,Jorge Capitanich
Argentina,Q170899,Néstor Kirchner,child,Q15719117,Máximo Kirchner
Argentina,Q170899,Néstor Kirchner,child,Q15719141,Florencia Kirchner
Argentina,Q170899,Néstor Kirchner,sibling,Q440580,Alicia Kirchner
Argentina,Q170899,Néstor Kirchner,spouse,Q40649,Cristina Fernández de Kirchner
Argentina,Q1710644,Juan Schiaretti,spouse,Q47142712,Alejandra María Vigo
Argentina,Q176160,Carlos Soria,child,Q105969717,Martín Soria
Argentina,Q176160,Carlos Soria,child,Q21856280,María Emilia Soria
Argentina,Q176160,Carlos Soria,spouse,Q17630853,Susana Freydoz
Argentina,Q17624215,Pablo Tonelli,father,Q5908271,Ideler Tonelli
Argentina,Q185107,Carlos Menem,child,Q15719712,Carlos Nair Menem Meza
Argentina,Q185107,Carlos Menem,child,Q5391028,Carlos Saúl Facundo Menem
Argentina,Q185107,Carlos Menem,child,Q8075121,Zulema María Eva Menem
Argentina,Q185107,Carlos Menem,sibling,Q5340693,Eduardo Menem
Argentina,Q185107,Carlos Menem,spouse,Q270002,Cecilia Bolocco
Argentina,Q185107,Carlos Menem,spouse,Q5551980,Zulema Yoma
Argentina,Q18711856,Adolfo Bermejo,spouse,Q7416806,Sandra Zapata
Argentina,Q18711860,Salvador Cabral,spouse,Q8078208,Élida Vigo
Argentina,Q18711932,Carmen Lucila Crexell,mother,Q9025653,Luz Sapag
Argentina,Q19006869,Agustín Rossi,child,Q56155641,Delfina Rossi
Argentina,Q19263817,Felipe Rodolfo Sapag,father,Q5368671,Elías Sapag
Argentina,Q193062,Raúl Alfonsín,child,Q1261399,Ricardo Alfonsín
Argentina,Q193062,Raúl Alfonsín,spouse,Q6004142,María Lorenza Barreneche
Argentina,Q19760254,Raúl Jalil,spouse,Q47142422,Silvana Micaela Ginocchio
Argentina,Q20645466,Juliana Awada,father,Q20652388,Abraham Awada
Argentina,Q20645466,Juliana Awada,sibling,Q4714486,Alejandro Awada
Argentina,Q20645466,Juliana Awada,spouse,Q21558403,Gustavo Capello
Argentina,Q20645466,Juliana Awada,spouse,Q561837,Mauricio Macri
Argentina,Q20737416,Juan Fernando Brügge,relative,Q272702,Laura Vicuña
Argentina,Q2130489,Ramón Javier Mestre,father,Q6959980,Ramón Mestre
Argentina,Q21856082,Remo Carlotto,mother,Q299652,Estela Barnes de Carlotto
Argentina,Q21856142,Ana Carolina Gaillard,partner,Q107802947,Nicolás Rodríguez Saá
Argentina,Q21856173,Marco Lavagna,father,Q2832959,Roberto Lavagna
Argentina,Q21856194,Diego Matías Mestre,father,Q6959980,Ramón Mestre
Argentina,Q21856214,Cecilia Moreau,father,Q5973474,Leopoldo Moreau
Argentina,Q21856214,Cecilia Moreau,sibling,Q107105774,Carmela Moreau
Argentina,Q21856258,María Fernanda Raverta,father,Q22006982,Mario Montoto
Argentina,Q21856277,Alejandro Francisco Snopek,father,Q63996812,Carlos Daniel Snopek
Argentina,Q21856278,Guillermo Snopek,father,Q5888526,Guillermo Eugenio Snopek
Argentina,Q21856280,María Emilia Soria,father,Q176160,Carlos Soria
Argentina,Q21856280,María Emilia Soria,mother,Q17630853,Susana Freydoz
Argentina,Q21856280,María Emilia Soria,sibling,Q105969717,Martín Soria
Argentina,Q21856289,Pablo Torello,sibling,Q111492729,José María Torello
Argentina,Q2324263,Abel Posse,child,Q52889259,Iván Parentini-Langenheim
Argentina,Q2347235,Antonio Cafiero,child,Q2841182,Mario Cafiero
Argentina,Q2347235,Antonio Cafiero,child,Q6300652,Juan Pablo Cafiero
Argentina,Q23906959,Magdalena Sierra,spouse,Q5935055,Jorge Ferraresi
Argentina,Q24821342,Mariana Zuvic,spouse,Q5819618,Eduardo Raúl Costa
Argentina,Q2642828,Alberto Fernández,child,Q79075662,Tani Fernández
Argentina,Q2642828,Alberto Fernández,partner,Q72756276,Fabiola Yáñez
Argentina,Q28058759,Nicolás Dujovne,father,Q17622748,Berardo Dujovne
Argentina,Q2841182,Mario Cafiero,father,Q2347235,Antonio Cafiero
Argentina,Q2841182,Mario Cafiero,sibling,Q6300652,Juan Pablo Cafiero
Argentina,Q2843714,Horacio Rodríguez Larreta,spouse,Q21651660,Bárbara Diez
Argentina,Q2918563,Margarita Stolbizer,child,Q3876517,Nicolás Laprovíttola
Argentina,Q294578,Eduardo Duhalde,spouse,Q535094,Hilda González de Duhalde
Argentina,Q295007,Fernando de la Rúa,child,Q2857519,Antonio de la Rúa
Argentina,Q295007,Fernando de la Rúa,father,Q107124548,Antonio de la Rúa
Argentina,Q295007,Fernando de la Rúa,sibling,Q6278814,Jorge de la Rúa
Argentina,Q295007,Fernando de la Rúa,spouse,Q21541742,Inés Pertiné Urien
Argentina,Q3052342,Nilda Celia Garré,spouse,Q2617461,Juan Manuel Abal Medina
Argentina,Q3072494,Juan Manuel Abal Medina,sibling,Q616956,Fernando Abal Medina
Argentina,Q312358,Adolfo Rodríguez Saá,father,Q106866382,Carlos Juan Rodríguez Saá
Argentina,Q312358,Adolfo Rodríguez Saá,relative,Q4684272,Adolfo Rodríguez Saá
Argentina,Q312358,Adolfo Rodríguez Saá,sibling,Q4712180,Alberto Rodríguez Saá
Argentina,Q3479675,Sergio Massa,spouse,Q20016345,Malena Galmarini
Argentina,Q40649,Cristina Fernández de Kirchner,child,Q15719117,Máximo Kirchner
Argentina,Q40649,Cristina Fernández de Kirchner,child,Q15719141,Florencia Kirchner
Argentina,Q40649,Cristina Fernández de Kirchner,spouse,Q170899,Néstor Kirchner
Argentina,Q4122225,José Alperovich,spouse,Q4877270,Beatriz Rojkés de Alperovich
Argentina,Q4122243,Juan Manuel Urtubey,sibling,Q16302727,Rodolfo Urtubey
Argentina,Q4122243,Juan Manuel Urtubey,sibling,Q2836462,Alejandro Urtubey
Argentina,Q4122243,Juan Manuel Urtubey,spouse,Q690918,Isabel Macedo
Argentina,Q43078686,Romina Del Plá,relative,Q5129431,Claudio del Plá
Argentina,Q440580,Alicia Kirchner,relative,Q40649,Cristina Fernández de Kirchner
Argentina,Q440580,Alicia Kirchner,sibling,Q170899,Néstor Kirchner
Argentina,Q4408025,Jorge Sapag,father,Q5368671,Elías Sapag
Argentina,Q4408025,Jorge Sapag,mother,Q106866537,Alma Teresa Natalia Cavallo Medina Onrubia
Argentina,Q4408025,Jorge Sapag,sibling,Q9025653,Luz Sapag
Argentina,Q452112,Amado Boudou,partner,Q109729369,Agustina Kämpfer
Argentina,Q4685482,Adriana Bortolozzi,spouse,Q5461936,Floro Bogado
Argentina,Q470603,Aníbal Ibarra,sibling,Q7931145,Vilma Ibarra
Argentina,Q4712180,Alberto Rodríguez Saá,relative,Q4684272,Adolfo Rodríguez Saá
Argentina,Q4712180,Alberto Rodríguez Saá,sibling,Q312358,Adolfo Rodríguez Saá
Argentina,Q47141983,Marcela Campagnoli,sibling,Q16583398,José María Campagnoli
Argentina,Q47142422,Silvana Micaela Ginocchio,spouse,Q19760254,Raúl Jalil
Argentina,Q47142712,Alejandra María Vigo,spouse,Q1710644,Juan Schiaretti
Argentina,Q47144879,Alma Sapag,father,Q5368671,Elías Sapag
Argentina,Q4837917,Jorge Capitanich,spouse,Q16913151,Sandra Mendoza
Argentina,Q4838698,Gerardo Zamora,spouse,Q16300546,Claudia Ledesma Abdala de Zamora
Argentina,Q5041910,Carlos Castagneto,spouse,Q30064074,Ana Castagneto
Argentina,Q5042309,Carlos Mac Allister,child,Q33297140,Alexis Mac Allister
Argentina,Q508497,Fernando Solanas,child,Q3187791,Juan Diego Solanas
Argentina,Q508497,Fernando Solanas,partner,Q5116252,Chunchuna Villafañe
Argentina,Q5186335,Cristina Cremer de Busti,spouse,Q6277772,Jorge Busti
Argentina,Q52395487,Javier Milei,partner,Q103865395,Daniela
Argentina,Q5274808,Diego Santilli,father,Q3787511,Hugo Santilli
Argentina,Q5340693,Eduardo Menem,sibling,Q185107,Carlos Menem
Argentina,Q561837,Mauricio Macri,father,Q5483633,Francisco Macri
Argentina,Q561837,Mauricio Macri,sibling,Q105489829,Gianfranco Macri
Argentina,Q561837,Mauricio Macri,spouse,Q20645466,Juliana Awada
Argentina,Q561837,Mauricio Macri,spouse,Q20652383,Isabel Menditeguy
Argentina,Q561837,Mauricio Macri,spouse,Q21198509,Ivonne Bordeu
Argentina,Q58073,Héctor Timerman,father,Q954329,Jacobo Timerman
Argentina,Q5818962,Eduardo Amadeo,child,Q3638275,Benjamín Amadeo
Argentina,Q5819618,Eduardo Raúl Costa,spouse,Q24821342,Mariana Zuvic
Argentina,Q5855240,Facundo Suárez Lastra,father,Q4444918,Facundo Suárez
Argentina,Q5857789,Federico Pinedo,relative,Q5857792,Federico Pinedo
Argentina,Q5857789,Federico Pinedo,relative,Q5857794,Federico Pinedo
Argentina,Q5883959,Graciela Camaño,spouse,Q5982872,Luis Barrionuevo
Argentina,Q5906382,Héctor Recalde,child,Q16599648,Mariano Recalde
Argentina,Q5935055,Jorge Ferraresi,spouse,Q23906959,Magdalena Sierra
Argentina,Q5935527,Jorge Macri,relative,Q561837,Mauricio Macri
Argentina,Q5936162,Jorge Triaca,father,Q2892159,Jorge Alberto Triaca
