title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
monarch,1981-11-01,Q9682,Elizabeth II,female,1926-04-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Elizabeth%20II%20in%20March%202015.jpg
Governor-General,2014-08-14,Q17566330,Rodney Williams,male,1947-11-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20General%20Of%20Antigua%20And%20Barbuda%20%2837250652361%29%20%28cropped%29.jpg
Prime Minister,2014-06-13,Q17177542,Gaston Browne,male,1967-02-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/PM%20Gaston%20Browne%20%2836764147103%29.jpg
"Minister of Agriculture, Lands, Fisheries and Barbuda Affairs",2020-01-20,Q20192069,Samantha Marshall,female,2000-01-01,7,,,
"Minister of Education, Science and Technology",2018-03-22,Q20171315,Michael Sherwin Harris Browne,male,2000-01-01,7,,,
Minister of Finance,2018-03-22,Q17177542,Gaston Browne,male,1967-02-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/PM%20Gaston%20Browne%20%2836764147103%29.jpg
Minister of Foreign Affairs,2018-03-22,Q20172097,Paul Chet Greene,male,2000-01-01,7,,,
"Minister of Health, Wellness & The Environment",2018-03-22,Q16730448,Molwyn Joseph,male,2000-01-01,7,,,
"Minister for Housing, Lands and Urban Renewal",2018-03-22,Q100606338,Maria Bird-Browne,female,1991-01-01,9,,,
"Minister of Information, Broadcasting, Telecommunications and Information Technology",2018-03-22,Q20850520,Melford Nicholas,male,2000-01-01,7,,,
"Minister of Legal Affairs, Public Safety, and Labour",2018-03-22,Q7605192,Steadroy Benjamin,male,2000-01-01,7,,,
"Minister of Public Utilities, Civil Aviation, Transportation",2018-03-22,Q7352892,Robin Yearwood,male,2000-01-01,7,,,
Minister of Social Transformation and Human Resource Development,2018-03-22,Q20192069,Samantha Marshall,female,2000-01-01,7,,,
"Minister of Sports, Culture, National Festivals and the Arts",2018-03-22,Q104634506,Daryll Mathew,male,,,,,
Minister of Tourism and Economic Development,2018-03-22,Q20171771,Charles Fernandez,male,1954-12-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Max%20Fernandez.jpg
Minister of Works,2018-03-22,Q108319069,Lennox Weston,male,,,,,
Attorney General,2018-03-22,Q7605192,Steadroy Benjamin,male,2000-01-01,7,,,
Speaker of the House of Representatives,2014-06-25,Q104642679,Gerald Watt,male,1938-12-19,11,,,
President of the Senate,2014-06-25,Q48417293,Alincia Williams-Grant,female,,,,,
