title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
President,2019-12-10,Q2642828,Alberto Fernández,male,1959-04-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20fernandez%20presidente%20%28cropped%29.jpg
Vice President,2019-12-10,Q40649,Cristina Fernández de Kirchner,female,1953-02-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Cristinakirchnermensaje2010.jpg
Minister of Agriculture,2021-09-20,Q5474594,Julián Domínguez,male,1963-11-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Juli%C3%A1n%20Andr%C3%A9s%20Dom%C3%ADnguez.jpg
Minister of Culture,2019-12-10,Q2454290,Tristán Bauer,male,1959-06-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Trist%C3%A1n%20Bauer%202020.jpg
Minister of Defence,2021-08-10,Q721561,Jorge Taiana,male,1950-05-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Jorge%20Enrique%20Taiana.jpg
Minister of Economy,2019-12-10,Q77605455,Martín Guzmán,male,1982-10-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mart%C3%ADn%20Guzm%C3%A1n%20%28cropped%2C%20portrait%29.jpg
Minister of Education,2021-09-20,Q108578670,Jaime Perczyk,male,1964-01-01,9,,,
Minister of the Environment and Sustainable Development,2019-12-10,Q5948039,Juan Cabandié,male,1978-03-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Juan%20Cabandi%C3%A9%20en%202020.jpg
Minister of Foreign Affairs and Worship,2021-09-20,Q68869954,Santiago Cafiero,male,1979-08-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Santiago%20Cafiero%202019.jpg
Minister of Health,2021-02-20,Q93147520,Carla Vizzotti,female,1972-06-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Carla%20Vizzotti%20-%20foto%20institucional%20%28cropped%29.jpg
Minister of the Interior,2019-12-10,Q12164058,Eduardo de Pedro,male,1976-11-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/De%20Pedro.jpg
minister of Justice and Human Rights,2021-03-29,Q105969717,Martín Soria,male,1975-12-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Mart%C3%ADn%20Soria%202021.jpg
Minister of Labour,2019-12-10,Q70873898,Claudio Moroni,male,1959-12-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Claudio%20Moroni%20jura%20como%20ministro%20%28cropped%29.jpg
Minister of Production,2019-12-10,Q30331229,Matías Kulfas,male,1972-04-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mat%C3%ADas%20Kulfas%202020.jpg
Minister of Public Works,2019-12-10,Q2844048,Gabriel Katopodis,male,1967-03-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Gabriel%20Katopodis%20-%202020.jpg
"Minister of Science, Technology and Innovation",2021-09-20,Q5217139,Daniel Filmus,male,1955-06-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Daniel%20Fernando%20Filmus.jpg
Minister of Security,2021-09-20,Q2857937,Aníbal Fernández,male,1957-01-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20An%C3%ADbal%20Domingo%20Fern%C3%A1ndez.jpg
Minister of Social Development,2021-08-10,Q17635667,Juan Zabaleta,male,1967-04-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Juan%20Horacio%20Zabaleta.jpg
Minister of Territorial Development and Habitat,2020-11-11,Q5935055,Jorge Ferraresi,male,1961-08-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Jorge%20H.%20Ferraresi.jpg
Minister of Tourism and Sports,2019-12-10,Q6006648,Matías Lammens,male,1980-04-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Matias%20Lammens%202019.jpg
Minister of Transport,2021-05-03,Q106674728,Alexis Guerrera,male,1971-02-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ministro%20Alexis%20Ra%C3%BAl%20Guerrera%20%282021%29.jpg
"Minister of Women, Genders and Diversity",2019-12-10,Q77432169,Elizabeth Gómez Alcorta,female,1972-11-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Elizabeth%20G%C3%B3mez%20Alcorta.jpg
Secretary of Malvinas Affairs,2021-09-24,Q46761050,Guillermo Carmona,male,1967-06-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Guillermo%20Ram%C3%B3n%20Carmona.png
Chief of the Cabinet of Ministers,2021-09-20,Q6300262,Juan Manzur,male,1969-01-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Manzur%20y%20Trotta%20%28cropped%29.jpg
President of the Chamber of Deputies,2019-12-10,Q3479675,Sergio Massa,male,1972-04-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20Massa%20%2849619868597%29%20%28cropped%29.jpg
Chief of the Air Force General Staff,2020-02-28,Q86458161,Xavier Isaac,male,1962-12-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Xavier%20Isaac%20FAA%20%28cropped%29.jpg
Chief of the Army General Staff,2020-02-28,Q86469710,Agustín Cejas,male,1964-07-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/General%20Agust%C3%ADn%20Cejas.jpg
Chief of the Navy General Staff,2020-02-28,Q86449413,Julio Horacio Guardia,male,1962-12-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Horacio%20Julio%20Guardia-1.jpg
General Secretary of the Presidency,2019-12-10,Q77435999,Julio Vitobello,male,1957-03-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Julio%20Vitobello%202020.jpg
Governor of Buenos Aires,2019-12-11,Q3754443,Axel Kicillof,male,1971-09-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Axel%20Kicillof%2020190328.jpg
Governor of Catamarca,2019-12-10,Q19760254,Raúl Jalil,male,1963-08-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ra%C3%BAl%20Jalil%202019.jpg
Governor of Chaco,2019-12-10,Q4837917,Jorge Capitanich,male,1964-11-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jcapitanich.jpg
Governor of Chubut,2017-11-01,Q42451221,Mariano Arcioni,male,1970-04-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mariano%20Arcioni%20%28cropped%29.jpg
Governor of Corrientes,2017-12-10,Q21856293,Gustavo Adolfo Valdés,male,1968-10-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustavo%20Vald%C3%A9s.jpg
Governor of Córdoba,2015-12-10,Q1710644,Juan Schiaretti,male,1949-06-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Schiaretti%20%28cropped%29.jpg
Governor of Entre Ríos,2015-12-11,Q21105472,Gustavo Bordet,male,1962-02-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustavo%20bordet.jpg
Governor of Formosa,1995-12-10,Q1524240,Gildo Insfrán,male,1951-01-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gildo%20Insfran.jpg
Governor of Jujuy,2015-12-10,Q5483783,Gerardo Morales,male,1959-07-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gerardo%20Morales.png
Governor of La Rioja,2019-12-11,Q72707787,Ricardo Quintela,male,1960-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/RQ%20WIkipedia.jpg
Governor of Mendoza,2019-12-10,Q29121872,Rodolfo Suárez,male,1963-04-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rodolfo%20Suarez%20es%20el%20nuevo%20gobernador%20de%20la%20provincia%20%28cropped%29.jpg
Governor of Misiones,2019-12-10,Q21279728,Oscar Herrera Ahuad,male,1971-08-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Oscar%20Herrera%20Ahuad.png
Governor of Neuquén,2015-12-10,Q20016443,Omar Gutiérrez,male,1967-09-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Guti%C3%A9rrez%20%28cropped%29.jpg
Governor of Río Negro,2019-12-10,Q63119899,Arabela Carreras,female,1970-01-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Acto%20Carga%20SAOCOM%201B%20%2862%29.JPG
Governor of Salta,2019-12-10,Q21002940,Gustavo Sáenz,male,1969-04-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustavo%20S%C3%A1enz.png
Governor of San Juan,2015-12-10,Q20735856,Sergio Uñac,male,1970-02-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20U%C3%B1ac%20en%20Casa%20Rosada.jpg
Governor of San Luis,2015-12-10,Q4712180,Alberto Rodríguez Saá,male,1949-08-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Rodriguez%20Saa.jpg
Governor of Santa Cruz,2015-12-10,Q440580,Alicia Kirchner,female,1946-07-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alicia%20Kirchner%20em%20janeiro%20de%202016.JPG
Governor of Santa Fe,2019-12-11,Q20015616,Omar Perotti,male,1959-09-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Perotti%20-%20Senado%20debate%20IVE%20-%208%20ago%202018.jpg
Governor of Santiago del Estero,2017-12-10,Q4838698,Gerardo Zamora,male,1964-01-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gerardo%20Zamora%20y%20Andr%C3%A9s%20Ibarra%20%28cropped%29.jpg
Governor of Tierra del Fuego,2019-12-17,Q64686950,Gustavo Melella,male,1970-12-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/G.%20Melella.png
Head of Government of Buenos Aires City,2015-12-09,Q2843714,Horacio Rodríguez Larreta,male,1965-10-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Horacio-Rodriguez-Larreta%20%28cropped%29.jpg
