title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
President,2013-03-08,Q29032,Miloš Zeman,male,1944-09-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Prezident%20Zeman%20MSV.jpg
Prime Minister,2017-12-06,Q10819807,Andrej Babiš,male,1954-09-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Andrej%20Babi%C5%A1%20v%20roce%202020%20%28cropped%29.jpg
Deputy Prime Minister,2018-06-27,Q12022546,Jan Hamáček,male,1978-11-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamacek%20Danko%20%28cropped%29.jpg
Deputy Prime Minister,2019-04-30,Q29951594,Alena Schillerová,female,1964-03-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alena%20Schillerov%C3%A1%202.jpg
Deputy Prime Minister,2019-04-30,Q62087201,Karel Havlíček,male,1969-08-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Havl%C3%AD%C4%8Dek%202019.jpg
Minister of Agriculture,2018-06-27,Q13580235,Miroslav Toman,male,1960-02-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Miroslav%20Toman%202013.JPG
Minister of Culture,2019-08-27,Q949828,Lubomír Zaorálek,male,1956-09-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lubom%C3%ADr%20Zaor%C3%A1lek%202014%20%28cropped%29.jpg
Minister of Defence,2018-06-27,Q44853914,Lubomír Metnar,male,1967-10-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Metnar%20and%20Radev%20%28cropped%29.jpg
"Minister of Education, Youth and Sports",2017-12-13,Q44738438,Robert Plaga,male,1978-07-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Plaga%202016.jpg
Minister of the Environment,2014-01-29,Q17049347,Richard Brabec,male,1966-07-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Brabec%2002.jpg
Minister of Finance,2017-12-13,Q29951594,Alena Schillerová,female,1964-03-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alena%20Schillerov%C3%A1%202.jpg
Minister of Foreign Affairs,2021-04-21,Q106492664,Jakub Kulhánek,male,1984-06-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jakub%20Kulh%C3%A1nek%202014.png
Minister of Health,2021-05-26,Q42575425,Adam Vojtěch,male,1986-10-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Vojt%C4%9Bch.jpg
Minister of Industry and Trade,2019-04-30,Q62087201,Karel Havlíček,male,1969-08-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Havl%C3%AD%C4%8Dek%202019.jpg
Minister of the Interior,2018-06-27,Q12022546,Jan Hamáček,male,1978-11-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamacek%20Danko%20%28cropped%29.jpg
Minister of Justice,2019-04-30,Q12035364,Marie Benešová,female,1948-04-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/MarieBenesova.jpg
Minister of Labour and Social Affairs,2018-07-30,Q55594748,Jana Maláčová,female,1981-06-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Malacova%202019.jpg
Minister for Regional Development,2017-12-13,Q25963393,Klára Dostálová,female,1971-03-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dostalova%202018.jpg
Minister of Transport,2020-01-20,Q62087201,Karel Havlíček,male,1969-08-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Havl%C3%AD%C4%8Dek%202019.jpg
President of the Senate,2020-02-19,Q12037619,Miloš Vystrčil,male,1960-08-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Milo%C5%A1%20Vystr%C4%8Dil%20%282021%29%20II.jpg
Chair of the Chamber of Deputies,2017-11-22,Q15124202,Radek Vondráček,male,1973-12-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Radek%20Vondr%C3%A1%C4%8Dek%20%28cropped%29.jpg
Head of the Office of the Czech Government,2018-06-28,Q66370897,Tünde Bartha,female,1976-01-24,11,,,
Prosecutor General,2021-07-12,Q107391264,Igor Stříž,male,1964-09-15,11,,,
Public Defender of Rights,2020-02-19,Q12324346,Stanislav Křeček,male,1938-05-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Stanislav%20K%C5%99e%C4%8Dek%20%282021%29.jpg
Governor of the Czech National Bank,2016-07-01,Q12025475,Jiří Rusnok,male,1960-10-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rusnok%20Ji%C5%99%C3%AD%202013.JPG
Mayor of Prague,2018-11-15,Q55552687,Zdeněk Hřib,male,1981-05-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zden%C4%9Bk%20H%C5%99ib%2003.jpg
