position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
President,Ram Nath Kovind,Q16845347,2017-07-25,male,1945-10-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%20Nath%20Kovind%20official%20portrait.jpg
Vice President,Muppavarapu Venkaiah Naidu,Q3764667,2017-08-11,male,1949-07-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Venkaiah%20Naidu%20official%20portrait.jpg
Prime Minister,Narendra Modi,Q1058,2014-05-26,male,1950-09-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Narendra%20Modi%202021%20%28cropped%29.jpg
Minister of Agriculture,Narendra Singh Tomar,Q6965799,2019-05-30,male,1957-06-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Shri%20Narendra%20Singh%20Tomar%2C%20Union%20Minister%20for%20Rural%20Development%2C%20Panchayati%20Raj%2C%20Drinking%20Water%20%26%20Sanitation%20and%20Urban%20Development%20%28cropped%29.jpg
Minister of AYUSH,Sarbananda Sonowal,Q7423486,2021-07-07,male,1962-10-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chief%20Minister%20of%20Assam%20Sarbananda%20Sonowal.jpg
Minister of Chemicals and Fertilizers,Mansukh L. Mandaviya,Q21170728,2021-07-07,male,1972-06-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mansukh%20L.%20Mandaviya%20addressing%20at%20the%20launch%20of%20the%20%E2%80%98Janaushadhi%20Suvidha%20-%20Oxo-Biodegradable%20Sanitary%20Napkins%E2%80%99%20under%20the%20%E2%80%98Pradhan%20Mantri%20Bhartiya%20Janaushadhi%20Pariyojana%20%28PMBJP%29%E2%80%99%2C%20in%20New%20Delhi.JPG
Minister of Civil Aviation,Jyotiraditya Scindia,Q16213761,2021-07-07,male,1971-01-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jyotiraditya%20Scindia%20at%20the%20India%20Economic%20Summit%202009%20cropped.jpg
Minister of Co-operation,Amit Shah,Q4746875,2021-07-07,male,1964-10-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Amit%20Shah%20new.jpg
Minister of Coal,Pralhad Joshi,Q7238224,2019-05-30,male,1962-11-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%B2%B6%E0%B3%8D%E0%B2%B0%E0%B3%80%20%E0%B2%AA%E0%B3%8D%E0%B2%B0%E0%B2%B2%E0%B3%8D%E0%B2%B9%E0%B2%BE%E0%B2%A6%20%E0%B2%9C%E0%B3%8B%E0%B2%B6%E0%B2%BF.JPG
Minister of Commerce and Industry,Piyush Goyal,Q7199798,2019-05-30,male,1964-06-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Piyush%20Goyal%20%28cropped%29.jpg
Minister of Communications,Ashwini Vaishnaw,Q75184694,2021-07-07,male,1970-07-18,11,,,
"Minister of Consumer Affairs, Food and Public Distribution",Piyush Goyal,Q7199798,2020-10-08,male,1964-06-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Piyush%20Goyal%20%28cropped%29.jpg
Minister of Corporate Affairs,Nirmala Sitaraman,Q7040049,2019-05-30,female,1959-08-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nirmala%20Sitharaman%20-%202018%20%2846166396231%29%20%28cropped%29.jpg
Minister of Culture,G. Kishan Reddy,Q5512319,2021-07-07,male,1964-06-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/G.%20Kishan%20Reddy.jpg
Minister of Defence,Rajnath Singh,Q3506475,2019-05-31,male,1951-07-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rajnath.jpg
Minister for Development of North Eastern Region,G. Kishan Reddy,Q5512319,2021-07-07,male,1964-06-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/G.%20Kishan%20Reddy.jpg
