position,person,personID,start,gender,DOB,DOD,image,enwiki
Lieutenant Governor,Stephen Dalton,Q7609006,2017-03-13,male,1954-04-23,,Sir Stephen Dalton in Afghanistan.jpg,Stephen Dalton
Chief Minister,John Le Fondré,Q16196549,2018-06-07,male,1966,,John Le Fondré Jr.jpg,John Le Fondré
Deputy Chief Minister,Lyndon Farnham,Q12057510,2018-01-01,male,1965,,Lyndon John Farnham in 2012.JPG,Lyndon Farnham
Assistant Chief Minister,Scott Wickenden,Q107614302,2018-01-01,,,,,
Minister for Children and Education,Scott Wickenden,Q107614302,2018-01-01,,,,,
"Minister for Economic Development, Tourism, Sport and Culture",Lyndon Farnham,Q12057510,2018-01-01,male,1965,,Lyndon John Farnham in 2012.JPG,Lyndon Farnham
Minister for External Relations,Ian Gorst,Q5015992,2018-01-01,male,1969-12-15,,Ian gorst in the royal square.JPG,Ian Gorst
Minister for Health and Social Services,Richard Renouf,Q106959605,2018-01-01,male,1956,,,
Minister for Home Affairs,Gregory Guida,Q107614361,2018-01-01,,,,,
Minister for Housing and Communities,Russell Labey,Q106961057,2018-01-01,male,,,,
Minister for Infrastructure,Kevin Lewis,Q12061148,2018-01-01,male,,,Kevin Charles Lewis in 2012.JPG,Kevin C. Lewis
Minister for International Development,Carolyn Labey,Q5045403,2018-01-01,female,,,Assèrmentâtion des Membres d's Êtats 2011 Saint Hélyi Jèrri 11.jpg,Carolyn Labey
Minister for Social Security,Judy Martin,Q16732060,2018-01-01,female,2000-01-01,,,Judy Martin (politician)
Minister for the Environment,John Young,Q107614343,2018-01-01,,,,,
Minister for Treasury and Resources,Susan Pinel,Q16734551,2018-01-01,female,,,,Susan Pinel
Assistant Minister for Social Security,Scott Wickenden,Q107614302,2018-01-01,,,,,
