position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Gitanas Nausėda,Q9268379,2019-07-12,male,1964-05-19,,Gitanas Nauseda crop.png,Gitanas Nausėda
Prime Minister,Ingrida Šimonytė,Q437096,2020-11-25,female,1974-11-15,,Ingrida Simonyte 2019.jpg,Ingrida Šimonytė
Minister of Agriculture,Kęstutis Navickas,Q27977538,2020-12-11,male,1970-06-13,,Uj4.jpg,Kęstutis Navickas (1970)
Minister of Culture,Simonas Kairys,Q16472414,2020-12-11,male,1984-04-19,,,Simonas Kairys
Minister of Economy and Innovation,Aušrinė Armonaitė,Q27808316,2020-12-11,female,1989-05-26,,Aušrinė Armonaitė.png,Aušrinė Armonaitė
"Minister of Education, Science and Sport",Jurgita Šiugždinienė,Q101429324,2020-12-11,female,1972-03-01,,,Jurgita Šiugždinienė
Minister of Energy,Dainius Kreivys,Q1157636,2020-12-11,male,1970-04-08,,Kreivys 2red.jpg,Dainius Kreivys
Minister of Environment,Simonas Gentvilas,Q27577960,2020-12-11,male,1984-09-28,,,Simonas Gentvilas
Minister of Finance,Gintarė Skaistė,Q27833521,2020-12-11,female,1981-08-04,,,Gintarė Skaistė
Minister of Foreign Affairs,Gabrielius Landsbergis,Q17118365,2020-12-11,male,1982-01-07,,"EPP Summit, December 2015 (23782875616) (cropped).jpg",Gabrielius Landsbergis
Minister of Health,Arūnas Dulkys,Q61387734,2020-12-11,male,1972-10-28,,,Arūnas Dulkys
Minister of the Interior,Agnė Bilotaitė,Q395152,2020-12-11,female,1982-01-29,,,Agnė Bilotaitė
Minister of Justice,Evelina Dobrovolska,Q100435418,2020-12-11,female,1988-08-16,,Evelina Dobrovolska.jpg,Evelina Dobrovolska
Minister of National Defence,Arvydas Anušauskas,Q3672207,2020-12-11,male,1963-09-29,,Arvydas Anušauskas.jpg,Arvydas Anušauskas
Minister of Social Security and Labour,Monika Navickienė,Q27537109,2020-12-11,female,1981-06-25,,Monika Navickienė (2021) (cropped).jpg,Monika Navickienė
Minister of Transport and Communications,Marius Skuodis,Q47237500,2020-12-11,male,1985-08-09,,,Marius Skuodis
Speaker of the Seimas,Viktoras Pranckietis,Q27537241,2016-11-14,male,1958-07-26,,Lietuvas parlamenta priekšsēdētāja vizīte Latvijā (cropped).jpg,Viktoras Pranckietis
Chief of Defence,Valdemaras Rupšys,Q25909922,2019-01-01,male,1967-05-02,,Kariuomenės vadas Valdemaras Rupšys.jpg,Valdemaras Rupšys
Governor of the Central Bank,Gediminas Šimkus,Q109496885,2021-04-07,male,,,,
Mayor of Vilnius,Remigijus Šimašius,Q1397662,2015-04-22,male,1974-01-12,,Remigijus Šimašius 1.JPG,Remigijus Šimašius
