position,person,personID,start,gender,DOB,DOD,image,enwiki
First Minister,Mark Drakeford,Q6767407,2018-12-13,male,1954-09-19,,Mark Drakeford (cropped).jpg,Mark Drakeford
Minister for Children and Social Care,Huw Irranca-Davies,Q691388,2017-11-03,male,1963-01-22,,Huw Irranca Davies.jpg,Huw Irranca-Davies
Minister for Climate Change,Julie James,Q6308284,2021-05-13,female,1957-02-25,,Julie James - National Assembly for Wales.jpg,Julie James
Minister for Economy,Vaughan Gething,Q7917285,2021-05-13,male,1974-03-15,,Vaughan Gething.jpg,Vaughan Gething
Minister for Education and Welsh Language,Jeremy Miles,Q24706040,2021-05-13,male,1971-08,,Jeremy Miles AM (28170809995).jpg,Jeremy Miles
Minister for Health and Social Services,"Eluned Morgan, Baroness Morgan of Ely",Q336521,2021-05-13,female,1967-02-16,,Eluned Morgan AM (28136582086).jpg,"Eluned Morgan, Baroness Morgan of Ely"
Minister for Local Government,Rebecca Evans,Q7301733,2021-05-13,female,1976-08-02,,Rebecca Evans - National Assembly for Wales.jpg,Rebecca Evans (politician)
Minister for North Wales,Lesley Griffiths,Q6530486,2021-05-13,female,1960,,Lesley Griffiths.jpg,Lesley Griffiths
Minister for Social Justice,Jane Hutt,Q6152404,2021-05-13,female,1949-12-15,,Jane Hutt.jpg,Jane Hutt
Deputy Minister for Arts and Sport,Dawn Bowden,Q24050164,2021-05-13,female,1960-02-14,,Dawn Bowden AM (28066510182).jpg,Dawn Bowden
Deputy Minister for Climate Change,Lee Waters,Q24039661,2021-05-13,male,1976-02-12,,Lee Waters AM (28066509142).jpg,Lee Waters
Deputy Minister for Mental Health and Wellbeing,Lynne Neagle,Q6709399,2021-05-13,female,1968-01-18,,Lynne Neagle.jpg,Lynne Neagle
Deputy Minister for Social Partnership,Hannah Blythyn,Q24039145,2021-05-13,female,1979-04-17,,Hannah Blythyn AM (27555185853).jpg,Hannah Blythyn
Deputy Minister for Social Services,Julie Morgan,Q6308404,2021-05-13,female,1944-11-02,,Julie Morgan.jpg,Julie Morgan
Trefnydd,Lesley Griffiths,Q6530486,2021-05-13,female,1960,,Lesley Griffiths.jpg,Lesley Griffiths
Chief Whip,Dawn Bowden,Q24050164,2021-05-13,female,1960-02-14,,Dawn Bowden AM (28066510182).jpg,Dawn Bowden
Counsel General,Mick Antoniw,Q6838044,2021-05-13,male,1954-09-01,,Mick Antoniw 2011.jpg,Mick Antoniw
