country,leaders,leaders_total,legislators,legislators_total,unique
abkhazia,7,75,0,2,76
afghanistan,77,156,3,8,161
aland,8,23,1,2,23
albania,21,71,130,133,175
algeria,37,111,3,10,117
andorra,16,43,3,20,51
angola,27,287,252,479,692
anguilla,7,19,7,7,25
antigua-and-barbuda,16,29,1,1,29
argentina,24,239,342,918,1071
armenia,18,100,107,324,398
artsakh,5,24,0,0,24
aruba,13,24,1,3,24
australia,53,588,828,1846,2027
austria,24,199,474,806,937
azerbaijan,40,65,141,146,207
bahamas,28,63,5,5,63
bahrain,28,52,3,7,59
bangladesh,34,106,132,408,472
barbados,29,44,1,2,44
belarus,49,302,143,583,870
belgium,27,174,378,669,762
belize,25,40,32,41,68
benin,26,57,0,9,64
bermuda,15,37,37,61,78
bhutan,17,37,69,77,99
bolivia,22,78,3,32,101
bosnia-herzegovina,20,85,8,24,88
botswana,25,40,3,5,43
brazil,33,287,1340,1815,2012
british-virgin-islands,9,25,0,0,25
brunei,15,30,0,4,33
bulgaria,28,207,2,103,285
burkina-faso,28,93,0,0,93
burundi,19,54,0,0,54
cabo-verde,18,28,3,4,31
cambodia,35,46,11,16,46
cameroon,75,237,277,790,1009
canada,45,407,946,1954,2113
caymans,11,22,0,2,22
central-african-republic,34,362,135,467,785
chad,47,94,154,155,247
chile,31,287,327,398,625
china,38,236,2225,8156,8282
colombia,25,253,20,52,289
comoros,18,60,3,6,63
congo-brazzaville,39,122,347,687,757
congo-kinshasa,60,518,588,1400,1791
costa-rica,24,71,2,18,81
croatia,23,104,151,262,343
cuba,35,113,1,6,116
cyprus,25,124,56,183,276
czechia,25,251,460,1464,1576
denmark,27,127,179,657,684
djibouti,29,33,0,1,34
dominica,21,33,21,22,48
dominican-republic,28,56,2,5,57
donetsk,7,21,16,18,37
ecuador,24,107,13,37,137
egypt,38,126,4,11,136
el-salvador,21,40,2,6,44
equatorial-guinea,70,499,171,302,725
eritrea,20,37,0,0,37
estonia,23,195,101,392,478
eswatini,20,45,0,0,45
ethiopia,30,56,0,1,56
european-union,31,141,706,2841,2944
faroes,7,27,6,9,33
fiji,14,29,9,13,38
finland,27,196,216,437,536
france,50,676,2459,4240,4808
gabon,41,67,1,3,68
gambia,27,76,2,2,77
georgia,19,174,142,164,318
germany,36,695,1486,3788,4357
ghana,35,151,275,890,955
gibraltar,12,37,17,40,66
greece,27,194,336,479,574
greenland,12,38,2,3,39
grenada,16,30,0,3,30
guatemala,20,76,3,7,79
guinea,30,110,2,4,113
guinea-bissau,27,101,1,1,101
guyana,25,37,63,66,93
haiti,17,76,1,2,77
honduras,28,57,4,6,61
hong-kong,24,96,96,223,307
hungary,24,220,199,991,1147
iceland,17,79,63,197,221
india,42,522,1141,2944,3297
indonesia,44,169,575,1358,1497
iran,39,129,290,327,432
iraq,26,166,1,92,253
ireland,30,188,212,596,664
isle-of-man,12,35,1,5,35
israel,40,218,10,507,601
italy,31,615,171,3653,4009
ivory-coast,36,83,2,6,86
jamaica,37,63,3,4,65
japan,28,591,539,862,1290
jersey,14,34,1,1,34
jordan,36,86,1,9,91
kazakhstan,30,114,69,71,180
kenya,30,344,2,1027,1261
kiribati,16,24,0,40,54
kosovo,22,50,1,7,52
kuwait,21,80,2,4,83
kyrgyzstan,26,98,8,11,104
laos,29,41,0,0,41
latvia,20,99,100,418,447
lebanon,27,90,3,18,100
lesotho,20,66,1,1,66
liberia,24,59,2,4,61
libya,30,77,0,0,77
liechtenstein,9,19,27,33,46
lithuania,20,157,143,304,400
luhansk,7,15,0,0,15
luxembourg,23,64,60,143,178
madagascar,32,127,2,3,129
malawi,33,77,188,196,243
malaysia,39,99,342,404,452
maldives,23,47,2,6,47
mali,29,92,6,61,147
malta,23,56,65,76,102
marshall-islands,12,26,0,0,26
mauritania,34,63,1,2,65
mauritius,25,49,1,2,49
mexico,24,190,523,4255,4358
micronesia,12,22,0,0,22
moldova,24,154,101,230,340
monaco,10,37,24,62,93
mongolia,22,64,5,6,69
montenegro,24,80,22,24,94
montserrat,6,28,0,0,28
morocco,29,92,5,426,501
mozambique,27,278,251,870,1108
myanmar,71,95,1,3,98
namibia,29,52,0,3,54
nauru,16,37,1,4,40
nepal,25,61,3,358,411
netherlands,37,257,251,1135,1241
new-zealand,30,155,119,318,386
nicaragua,22,55,0,0,55
niger,39,72,3,8,75
nigeria,52,533,475,1614,2056
niue,5,8,0,21,24
north-korea,58,103,1,1,103
north-macedonia,26,101,2,4,102
northern-ireland,12,72,93,321,331
norway,26,665,380,1583,1984
oman,26,37,3,4,41
pakistan,41,257,1190,1495,1653
palau,11,37,0,3,38
panama,18,103,2,3,105
papua-new-guinea,37,80,81,87,129
paraguay,24,35,6,17,48
peru,24,394,143,315,664
philippines,39,368,20,674,944
poland,30,254,466,564,755
portugal,22,118,37,487,570
qatar,22,32,0,0,32
romania,30,430,467,1256,1456
russia,39,468,624,2250,2641
rwanda,30,61,0,0,61
saint-lucia,18,39,17,42,54
saint-vincent-and-the-grenadines,14,26,0,0,26
samoa,17,27,51,84,91
san-marino,13,97,2,9,100
sao-tome-and-principe,13,66,2,4,70
saudi-arabia,40,150,10,16,164
scotland,19,86,129,347,364
senegal,39,69,3,5,74
serbia,34,128,41,49,170
seychelles,18,28,0,0,28
sierra-leone,32,71,0,1,71
singapore,25,69,103,231,266
slovakia,21,94,4,18,106
slovenia,23,141,90,223,329
solomon-islands,28,46,50,69,89
somalia,32,104,1,3,104
south-africa,32,147,537,899,968
south-korea,35,345,299,985,1247
south-ossetia,15,41,2,3,43
south-sudan,52,220,669,924,1080
spain,31,639,1029,4061,4505
sri-lanka,26,134,222,261,333
st-kitts-and-nevis,13,28,11,11,29
sudan,18,508,0,326,828
suriname,20,52,4,8,56
sweden,30,357,350,1413,1643
switzerland,12,87,229,653,695
syria,35,97,0,3,100
taiwan,38,180,112,360,513
tajikistan,27,38,0,0,38
tanzania,33,76,376,400,432
thailand,38,142,4,14,152
timor-leste,24,57,1,1,58
togo,37,68,1,2,69
tonga,13,52,21,43,63
transnistria,18,50,2,5,51
trinidad-and-tobago,36,53,44,49,79
tunisia,28,305,212,262,542
turkey,22,183,584,779,919
turks-and-caicos,13,29,5,7,31
tuvalu,11,50,16,26,52
uganda,82,111,9,17,123
ukraine,33,409,416,2052,2322
united-arab-emirates,36,46,0,0,46
united-kingdom,37,1282,1473,2718,3524
united-states,34,1287,4113,5828,6954
uruguay,21,74,127,171,215
uzbekistan,37,59,0,0,59
vanuatu,16,37,2,2,37
venezuela,36,77,9,19,90
vietnam,31,116,4,9,120
wales,15,46,59,160,162
world,4,71,625,3632,3703
yemen,67,196,285,302,485
zambia,31,84,175,185,225
zimbabwe,26,199,316,897,1003
TOTAL,5972,31816,38533,97090,120542
