catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Abkhazia,President,Vladislav Ardzinba,Q313353,1994-11-26,2005-02-12,male,1945-05-14,2010-03-04,Vladislav Ardzinba 1996 Abkhazia stamp portrait only.jpg,Vladislav Ardzinba
Abkhazia,President,Sergei Bagapsh,Q485032,2005-02-12,2011-05-29,male,1949-03-04,2011-05-29,Sergei Bagapsh (Interfax).jpg,Sergei Bagapsh
Abkhazia,President,Alexander Ankvab,Q313355,2011-05-29,2014-06-01,male,1952-12-26,,Alexander Ankvab - 06.10.2011.jpg,Alexander Ankvab
Abkhazia,President,Valeri Bganba,Q4080376,2014-06-01,2014-09-25,male,1953-08-26,,Бганба Валерий Рамшухович.jpg,Valeri Bganba
Abkhazia,President,Raul Khadjimba,Q1359023,2014-09-25,2020-01-12,male,1958-03-21,,Raul Khajimba 2015.jpg,Raul Khajimba
Abkhazia,President,Valeri Bganba,Q4080376,2020-01-13,2020-04-23,male,1953-08-26,,Бганба Валерий Рамшухович.jpg,Valeri Bganba
Abkhazia,President,Aslan Bzhania,Q4086139,2020-04-23,,male,1963-04-06,,Aslan Bzhania (2020-06-24).jpg,Aslan Bzhania
Abkhazia,Vice President,Valery Arshba,Q467259,1995-01-05,2005-02-12,male,1949-10-04,,,Valery Arshba
Abkhazia,Vice President,Raul Khadjimba,Q1359023,2005-02-12,2009-05-28,male,1958-03-21,,Raul Khajimba 2015.jpg,Raul Khajimba
Abkhazia,Vice President,Alexander Ankvab,Q313355,2010-02-12,2011-05-29,male,1952-12-26,,Alexander Ankvab - 06.10.2011.jpg,Alexander Ankvab
Abkhazia,Vice President,Mikhail Logua,Q4265227,2011-09-26,2013-12-25,male,1970-07-27,,Михаил Валерьевич Логуа.jpg,Mikhail Logua
Abkhazia,Vice President,Vitali Gabnia,Q18201796,2014-09-25,2018-08-22,male,1968-06-12,,,Vitali Gabnia
Abkhazia,Vice President,Aslan Bartsits,Q110969212,2019-09-25,2020-01-12,male,,,,
Abkhazia,Vice President,Badr Gunba,Q4152132,2020-04-23,,male,1981-08-14,,,Badr Gunba
Abkhazia,Prime Minister,Viacheslav Tsugba,Q3596044,1999-12-20,2001-05-30,male,1944-01-01,,,Viacheslav Tsugba
Abkhazia,Prime Minister,Anri Jergenia,Q4160199,2001-06-07,2002-11-29,male,1941-08-08,2020-01-05,,Anri Jergenia
Abkhazia,Prime Minister,Gennady Gagulia,Q467261,2002-11-29,2003-04-08,male,1948-01-04,2018-09-08,Gennadi Gagulia.jpg,Gennadi Gagulia
Abkhazia,Prime Minister,Raul Khadjimba,Q1359023,2003-04-22,2004-10-06,male,1958-03-21,,Raul Khajimba 2015.jpg,Raul Khajimba
Abkhazia,Prime Minister,Nodar Khashba,Q4496777,2004-10-06,2005-02-14,male,1951-10-01,,Nodar Khashba.png,Nodar Khashba
Abkhazia,Prime Minister,Alexander Ankvab,Q313355,2005-02-14,2010-02-13,male,1952-12-26,,Alexander Ankvab - 06.10.2011.jpg,Alexander Ankvab
Abkhazia,Prime Minister,Sergei Shamba,Q737435,2010-02-13,2011-09-27,male,1951-03-15,,,Sergei Shamba
Abkhazia,Prime Minister,Leonid Lakerbaia,Q2996248,2011-09-27,2014-06-02,male,1947-01-01,,,Leonid Lakerbaia
Abkhazia,Prime Minister,Vladimir Delba,Q4157034,2014-06-02,2014-09-29,male,1974-09-26,,,Vladimir Delba
Abkhazia,Prime Minister,Beslan Butba,Q829940,2014-09-29,2015-03-17,male,1960-02-07,,,Beslan Butba
Abkhazia,Prime Minister,Shamil Adzynba,Q4057556,2015-03-17,2015-03-20,male,1970-05-21,,,Shamil Adzynba
Abkhazia,Prime Minister,Artur Mikvabia,Q19667703,2015-03-20,2016-07-26,male,1949-05-02,,,Artur Mikvabia
Abkhazia,Prime Minister,Shamil Adzynba,Q4057556,2016-07-26,2016-08-05,male,1970-05-21,,,Shamil Adzynba
Abkhazia,Prime Minister,Beslan Bartsits,Q26211009,2016-08-05,2018-04-25,male,1978-07-22,,Беслан Барциц 1.jpg,Beslan Bartsits
Abkhazia,Prime Minister,Gennady Gagulia,Q467261,2018-04-25,2018-09-08,male,1948-01-04,2018-09-08,Gennadi Gagulia.jpg,Gennadi Gagulia
Abkhazia,Prime Minister,Daur Arshba,Q27829055,2018-09-08,2018-09-18,male,1962-03-28,,,Daur Arshba
Abkhazia,Prime Minister,Valeri Bganba,Q4080376,2018-09-18,2020-04-23,male,1953-08-26,,Бганба Валерий Рамшухович.jpg,Valeri Bganba
Abkhazia,Prime Minister,Alexander Ankvab,Q313355,2020-04-23,,male,1952-12-26,,Alexander Ankvab - 06.10.2011.jpg,Alexander Ankvab
Abkhazia,Minister of Culture,Vladimir Zantariya,Q21097107,1999,2001-07-19,male,1953-09-27,,,Vladimir Zantaria
Abkhazia,Minister of Culture,Leonid Enik,Q15637429,2001,2005-03-10,male,1960-06-02,,,Leonid Enik
Abkhazia,Minister of Culture,Nugzar Logua,Q4265229,2005-03-10,2011-05-29,male,1956-04-20,,,Nugzar Logua
Abkhazia,Minister of Culture,Nugzar Logua,Q4265229,2011-05-29,2011-10-13,male,1956-04-20,,,Nugzar Logua
Abkhazia,Minister of Culture,Badr Gunba,Q4152132,2011-10-13,2014-06-01,male,1981-08-14,,,Badr Gunba
Abkhazia,Minister of Culture,Badr Gunba,Q4152132,2014-06-01,2014-10-15,male,1981-08-14,,,Badr Gunba
Abkhazia,Minister of Culture,Elvira Arsalia,Q21572779,2014-10-15,,female,1978,,Эльвира Анатольевна Арсалия 08.jpg,Elvira Arsalia
