catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Nigeria,President,Olusegun Obasanjo,Q202006,1999-05-29,2007-05-29,male,1937-03-05,,Olusegun Obasanjo DD-SC-07-14396-cropped.jpg,Olusegun Obasanjo
Nigeria,President,Umaru Musa Yar'Adua,Q104705,2007-05-29,2010-05-05,male,1951-08-16,2010-05-05,Umaruyaradua07052007.jpg,Umaru Musa Yar'Adua
Nigeria,President,Goodluck Jonathan,Q57380,2010-05-05,2015-05-29,male,1957-11-20,,Goodluck Jonathan World Economic Forum 2013.jpg,Goodluck Jonathan
Nigeria,President,Muhammadu Buhari,Q361567,2015-05-29,,male,1942-12-17,,Muhammadu Buhari.jpg,Muhammadu Buhari
Nigeria,Vice President,Atiku Abubakar,Q755878,1999-05-29,2007-05-29,male,1946-11-25,,Atiku Abubakar.jpg,Atiku Abubakar
Nigeria,Vice President,Goodluck Jonathan,Q57380,2007-05-29,2010-05-05,male,1957-11-20,,Goodluck Jonathan World Economic Forum 2013.jpg,Goodluck Jonathan
Nigeria,Vice President,Namadi Sambo,Q2993602,2010-05-19,2015-05-29,male,1954-08-02,,Namadi Sambo.jpg,Namadi Sambo
Nigeria,Vice President,Yemi Osinbajo,Q19730927,2015-05-29,,male,1957-03-08,,Yemi Osinbajo 2017-05-27.jpg,Yemi Osinbajo
Nigeria,Minister of Agriculture and Rural Development,Audu Innocent Ogbeh,Q4820218,2015-11-11,2019-05-28,male,1947-07-28,,,Audu Innocent Ogbeh
Nigeria,Minister of Agriculture and Rural Development,Sabo Nanono,Q108041810,2019-08-21,2021-09-01,male,1946-04-11,,,Sabo Nanono
Nigeria,Minister of Agriculture and Rural Development,Muhammad Mahmood Abubakar,Q109252006,2021-09-01,,male,,,,
Nigeria,Minister of Aviation,Olusegun Agagu,Q7088858,1999-05-29,2000,male,1948-02-16,2013-09-13,,Olusegun Agagu
Nigeria,Minister of Aviation,Kema Chikwe,Q6386808,2001,2003,female,1951-09-14,,Kema chikwe.jpg,Kema Chikwe
Nigeria,Minister of Aviation,Babatunde Omotoba,Q4837548,2008-12-17,2010-03-17,male,1969-09-27,,,Babatunde Omotoba
Nigeria,Minister of Aviation,Oduah Stella,Q7607111,2011-07-04,2014-02-12,female,1962-01-05,,Princess Stella Oduah-Ogiemwonyi.jpg,Stella Oduah
Nigeria,Minister of Aviation,Osita Chidoka,Q54913558,2014-07,2015-05,male,1971-07-18,,,Osita Chidoka
Nigeria,Minister of Aviation,Sirika Hadi,Q7530281,2015-11-11,2019-05-28,male,1964-03-02,,HadiSirika.jpg,Hadi Sirika
Nigeria,Minister of Aviation,Sirika Hadi,Q7530281,2019-08-22,,male,1964-03-02,,HadiSirika.jpg,Hadi Sirika
Nigeria,Minister of Budget and National Planning,Shamsuddeen Usman,Q7487781,2009-01,2011-05-29,male,1949-09-18,,Shamsudeen.jpg,Shamsuddeen Usman
Nigeria,Minister of Budget and National Planning,Shamsuddeen Usman,Q7487781,2011-08,2013-09-11,male,1949-09-18,,Shamsudeen.jpg,Shamsuddeen Usman
Nigeria,Minister of Budget and National Planning,Clement Agba,Q107453260,2021-08-21,,male,1964,,,
Nigeria,Minister of Communications,Abdur-Raheem Adebayo Shittu,Q22002965,2015-11-11,2019-05-28,male,1953-03-23,,Abdur-Raheem Adebayo Shittu - ITU Telecom World 2016 - Ministerial Roundtable (22818514728).jpg,Abdur-Raheem Adebayo Shittu
