catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Angola,President,José Eduardo dos Santos,Q57313,1979-09-21,2017-09-26,male,1942-08-28,,José Eduardo dos Santos 2.jpg,José Eduardo dos Santos
Angola,President,João Lourenço,Q28650390,2017-09-26,,male,1954-03-05,,2018-07-04 President João Lourenço-0555.jpg,João Lourenço
Angola,Vice President,Fernando da Piedade Dias dos Santos,Q310815,2010-02-18,2012-09-26,male,1950-03-05,,Fernando da Piedade Dias dos Santos (cropped).jpg,Fernando da Piedade Dias dos Santos
Angola,Vice President,Manuel Vicente,Q973742,2012-09-26,2017-09-26,male,1956-05-15,,Manuel Vicente 2014 DOS.png,Manuel Vicente
Angola,Vice President,Bornito de Sousa,Q16336949,2017-09-26,,male,1953-07-23,,"Bornito de Sousa, 2017 (cropped).jpg",Bornito de Sousa
Angola,Vice President,Manuel Vicente,Q973742,2017-09-26,2020-01-17,male,1956-05-15,,Manuel Vicente 2014 DOS.png,Manuel Vicente
Angola,Prime Minister,Fernando José de França Dias Van-Dúnem,Q264090,1996-06-03,2002-12-05,male,1934,,"Presentation of the credentials of the Heads of Mission of Angola to Roy Jenkins, President of the CEC 2 (cropped).jpg",Fernando José de França Dias Van-Dúnem
Angola,Prime Minister,Fernando da Piedade Dias dos Santos,Q310815,2002-12-06,2008-09-30,male,1950-03-05,,Fernando da Piedade Dias dos Santos (cropped).jpg,Fernando da Piedade Dias dos Santos
Angola,Prime Minister,Paulo Kassoma,Q373591,2008-09-30,2010-02-05,male,1951-06-06,,"Paulo Kassoma, 2011 (cropped).jpg",Paulo Kassoma
Angola,Minister of Agriculture,Marcos Alexandre Nhunga,Q111954411,2016-08-28,2017-09-26,,,,,
Angola,Minister of Agriculture and Fisheries,António Francisco de Assis,Q109984874,2020-04-06,,male,1956-09-23,,,
Angola,Minister of Agriculture and Forestry,Marcos Alexandre Nhunga,Q111954411,2017-09-26,2019-07-24,,,,,
Angola,Minister of Agriculture and Forestry,António Francisco de Assis,Q109984874,2019-07-24,2020-01-17,male,1956-09-23,,,
Angola,Minister of Agriculture and Rural Development,Gilberto Buta Lutukuta,Q111954381,1999-01-29,2008-10-03,,,,,
Angola,Minister of Agriculture and Rural Development,Afonso Pedro Canga,Q4689381,2008-10-03,2010-02-06,male,1959-02-10,,Afonso Pedro Canga.jpg,Afonso Pedro Canga
Angola,Minister of Assistance and Social Reintegration,Joao Baptista Kussumua,Q111954385,2002-04-02,2017-09-26,,,,,
Angola,Minister of Commerce,Victorino Domingos Hossi,Q105491353,1997-04-09,2004-10-23,,,,,
