catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Fiji,Member of the House of Representatives of Fiji,Anand Singh,Q4751281,1999-05-19,2000-05-27,male,1948-08-08,2020-12-04,,Anand Singh
Fiji,Member of the House of Representatives of Fiji,Jioji (George) Konrote,Q5541411,2006,2015-10-12,male,1947-12-26,,Jioji Konrote December 2017.jpg,Jioji Konrote
Fiji,Member of the Parliament of Fiji,Ro Teimumu Vuikaba Kepa,Q112107421,2001,2006,female,,,,
Fiji,Member of the Parliament of Fiji,Ro Teimumu Vuikaba Kepa,Q112107421,2014,,female,,,,
Fiji,Member of the Parliament of Fiji,Rosy Sofia Akbar,Q112107441,2014,2017,female,,,,
Fiji,Member of the Parliament of Fiji,Salote Vuibureta Radrodro,Q112107452,2014,,female,,,,
Fiji,Member of the Parliament of Fiji,Veena Kumar Bhatnagar,Q112107469,2014,2018,female,,,,
Fiji,Member of the Parliament of Fiji,Mereseini Vuniwaqa,Q18166062,2014,,female,1974-06-18,,Mereseini Vuniwaqa 2015.jpg,Mereseini Vuniwaqa
Fiji,Member of the Parliament of Fiji,Jiko Luveni,Q16107404,2014-10-06,2018-12-22,female,1946,2018-12-22,Jiko Luveni May 2014.jpg,Jiko Luveni
Fiji,Member of the Parliament of Fiji,Adi Litia Qionibaravi,Q112107375,2018,,female,,,,
Fiji,Member of the Parliament of Fiji,Rosy Sofia Akbar,Q112107441,2018,,female,,,,
Fiji,Member of the Parliament of Fiji,Veena Kumar Bhatnagar,Q112107469,2018,,female,,,,
Fiji,Member of the Parliament of Fiji,Lynda Tabuya,Q58637765,2018,,female,1972-12,,Linda Tabuya 2014.jpg,Lynda Tabuya
Fiji,Member of the Parliament of Fiji,Lenora Qereqeretabua,Q58756165,2018,,female,1968-03,,Lenora Qereqeretabua 2020.jpg,Lenora Qereqeretabua
Fiji,Member of the Parliament of Fiji,Selai Adimaitoga,Q59325326,2018,2021,female,,,,Selai Adimaitoga
Fiji,Member of the Parliament of Fiji,Tanya Waqanika,Q109237298,2020,,female,,,,Tanya Waqanika
