catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Norway,monarch,Harald V of Norway,Q57287,1991-01-17,,male,1937-02-21,,King Harald V of Norway Trondheim2010- 1.jpg,Harald V of Norway
Norway,Prime Minister,Kjell Magne Bondevik,Q207655,1997-10-17,2000-03-17,male,1947-09-03,,"Kjell Magne Bondevik, Norges statsminister, under presskonferens vid Nordiska radets session i Stockholm.jpg",Kjell Magne Bondevik
Norway,Prime Minister,Jens Stoltenberg,Q57665,2000-03-17,2001-10-19,male,1959-03-16,,NATO Secretary General Stoltenberg 2022.jpg,Jens Stoltenberg
Norway,Prime Minister,Kjell Magne Bondevik,Q207655,2001-10-19,2005-10-17,male,1947-09-03,,"Kjell Magne Bondevik, Norges statsminister, under presskonferens vid Nordiska radets session i Stockholm.jpg",Kjell Magne Bondevik
Norway,Prime Minister,Jens Stoltenberg,Q57665,2005-10-17,2013-10-16,male,1959-03-16,,NATO Secretary General Stoltenberg 2022.jpg,Jens Stoltenberg
Norway,Prime Minister,Erna Solberg,Q291644,2013-10-16,2021-10-14,female,1961-02-24,,Wil Lee-Wright foto Rein Traante2017 MG 0419 (32592903182).jpg,Erna Solberg
Norway,Prime Minister,Jonas Gahr Støre,Q467948,2021-10-14,,male,1960-08-25,,Jonas Gahr Støre - 25061469895 (cropped).jpg,Jonas Gahr Støre
Norway,Minister of Agriculture and Food,Kåre Gjønnes,Q4588819,1997-10-17,2000-03-17,male,1942-01-30,2021-07-26,Kåre Gjønnes (cropped).jpg,Kåre Gjønnes
Norway,Minister of Agriculture and Food,Bjarne Håkon Hanssen,Q879359,2000-03-17,2001-10-19,male,1962-11-01,,Bjarne Håkon Hanssen 2009 04 19 B.jpg,Bjarne Håkon Hanssen
Norway,Minister of Agriculture and Food,Lars Sponheim,Q492635,2001-10-19,2005-10-17,male,1957-05-23,,Lars Sponheim 1.jpg,Lars Sponheim
Norway,Minister of Agriculture and Food,Terje Riis-Johansen,Q488369,2005-10-17,2008-06-20,male,1968-03-15,,Terje Riis-Johansen Senterpartiet Landbruks- og matminister20051017.jpg,Terje Riis-Johansen
