catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Latvia,deputy of Saeima,Yakov Pliner,Q1964151,1998,2002,male,1946-12-27,,Flickr - Saeima - 9.Saeimas deputāts Jakovs Pliners.jpg,Yakov Pliner
Latvia,deputy of Saeima,Miroslav Mitrofanov,Q1971334,1998,2002,male,1966-12-18,,Flickr - Saeima - 9.Saeimas deputāts Miroslavs Mitrofanovs.jpg,Miroslav Mitrofanov
Latvia,deputy of Saeima,Oļegs Tolmačovs,Q4459792,1998,2002,male,1955-10-27,,,
Latvia,deputy of Saeima,Kristiāna Lībane-Šķēle,Q11748225,1998-11-02,2002-11-04,female,1970-04-24,,,
Latvia,deputy of Saeima,Pēteris Salkazanovs,Q11832398,1998-11-02,2002-11-04,male,1956-08-30,,"Pēteris Salkazanovs, 2009-10-08.jpg",
Latvia,deputy of Saeima,Rihards Pīks,Q1346602,1998-11-02,2002-11-04,male,1941-12-31,,Rihards Piks.jpg,Rihards Pīks
Latvia,deputy of Saeima,Silva Golde,Q15615139,1998-11-02,2002-11-04,female,1955-08-04,2013-12-31,,Silva Golde
Latvia,deputy of Saeima,Dzintars Kudums,Q15912279,1998-11-02,2002-11-04,male,1952-09-16,,Dzintars Kudums.jpg,
Latvia,deputy of Saeima,Dainis Stalts,Q16334096,1998-11-02,2002-11-04,male,1939-01-03,2014-04-12,,
Latvia,deputy of Saeima,Oskars Spurdziņš,Q16348421,1998-11-02,2002-11-04,male,1963-08-22,,Oskars Spurdzins saeima.jpg,
Latvia,deputy of Saeima,Pēteris Apinis,Q16350043,1998-11-02,2002-11-04,male,1958,,Flickr - Saeima - Konference „Vesels un aktīvs Latvijā mūža garumā. Esošā situācija un nākotnes izaicinājumi.” (14).jpg,
Latvia,deputy of Saeima,Pēteris Tabūns,Q16350162,1998-11-02,2002-11-04,male,1937-01-20,,Flickr - Saeima - 9.Saeimas deputāts Pēteris Tabūns.jpg,
Latvia,deputy of Saeima,Roberts Jurdžs,Q16350811,1998-11-02,2002-11-04,male,1963-04-11,2002-12-09,,
Latvia,deputy of Saeima,Aleksandrs Kiršteins,Q16350881,1998-11-02,2002-11-04,male,1948-08-27,,Aleksandrs Kirsteins.jpg,
Latvia,deputy of Saeima,Andrejs Panteļējevs,Q16351298,1998-11-02,2002-11-04,male,1961-08-13,,,
Latvia,deputy of Saeima,Arnis Kalniņš,Q16351757,1998-11-02,2002-11-04,male,1935-01-24,,,
Latvia,deputy of Saeima,Silvija Dreimane,Q16352378,1998-11-02,2002-11-04,female,1962-08-08,,,
Latvia,deputy of Saeima,Edvīns Inkēns,Q16355712,1998-11-02,2002-11-04,male,1958,,,
Latvia,deputy of Saeima,Egils Baldzēns,Q16355734,1998-11-02,2002-11-04,male,1960-11-24,,Egils Baldzens 2010.jpg,
Latvia,deputy of Saeima,Vladimirs Makarovs,Q16356212,1998-11-02,2002-11-04,male,1957-10-14,,,
Latvia,deputy of Saeima,Imants Burvis,Q16358049,1998-11-02,2002-11-04,male,1949-02-25,,,
Latvia,deputy of Saeima,Juris Sinka,Q16358697,1998-11-02,2002-11-04,male,1927-05-04,2001-04-03,,
Latvia,deputy of Saeima,Jānis Gaigals,Q16358809,1998-11-02,2002-11-04,male,1956-01-20,,,
Latvia,deputy of Saeima,Jānis Ozoliņš,Q16358928,1998-11-02,2002-11-04,male,1938-11-12,2008-08-31,,
Latvia,deputy of Saeima,Krišjānis Peters,Q16360345,1998-11-02,2002-11-04,male,1975-06-23,2014-11-13,,
Latvia,deputy of Saeima,Kārlis Greiškalns,Q16360774,1998-11-02,2002-11-04,male,1942-12-20,,,
Latvia,deputy of Saeima,Leonards Stašs,Q16362296,1998-11-02,2002-11-04,male,1929-01-16,2000-01-27,,
Latvia,deputy of Saeima,Leons Bojārs,Q16362302,1998-11-02,2002-11-04,male,1939,2013,,
Latvia,deputy of Saeima,Linards Muciņš,Q16362581,1998-11-02,2002-11-04,male,1951-09-16,,,
Latvia,deputy of Saeima,Modris Lujāns,Q16363782,1998-11-02,2002-11-04,male,1964-02-05,,,
Latvia,deputy of Saeima,Māris Vītols,Q16363845,1998-11-02,2002-11-04,male,1972-06-13,,,
Latvia,deputy of Saeima,Mārtiņš Bičevskis,Q16363852,1998-11-02,2002-11-04,male,1975-02-08,,Mārtiņš Bičevskis (cropped).jpg,
Latvia,deputy of Saeima,Jānis Urbanovičs,Q164247,1998-11-02,2002-11-04,male,1959-03-23,,"Jānis Urbanovičs, 2004-08-16.jpg",Jānis Urbanovičs
Latvia,deputy of Saeima,Indulis Bērziņš,Q1661904,1998-11-02,2002-11-04,male,1957-12-04,,"Indulis Bērziņš, 2002-05-04.jpg",Indulis Bērziņš
Latvia,deputy of Saeima,Martijans Bekasovs,Q17593698,1998-11-02,2002-11-04,male,1949,,Martijans Bekasovs.jpg,
Latvia,deputy of Saeima,Oskars Grīgs,Q17593744,1998-11-02,2002-11-04,male,1943-01-20,2017-04-21,,
