catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
World,Secretary-General of the United Nations,Kofi Annan,Q1254,1997-01-01,2006-12-31,male,1938-04-08,2018-08-18,Kofi Annan 2012 (cropped).jpg,Kofi Annan
World,Secretary-General of the United Nations,Ban Ki-moon,Q1253,2007-01-01,2017-01-01,male,1944-06-13,,Ban Ki-moon 1-2.jpg,Ban Ki-moon
World,Secretary-General of the United Nations,António Guterres,Q311440,2017-01-01,,male,1949-04-30,,"António Guterres, 9th Secretary-General of the United Nations.jpg",António Guterres
World,Deputy Secretary-General of the United Nations,Louise Fréchette,Q437150,1998-03-02,2006-03-31,female,1946-07-16,,Louise Fréchette.JPG,Louise Fréchette
World,Deputy Secretary-General of the United Nations,"Mark Malloch Brown, Baron Malloch-Brown",Q336213,2006-04-01,2006-12-31,male,1953-09-16,,Mark Malloch Brown 080701-F-1644L-048.jpg,Mark Malloch Brown
World,Deputy Secretary-General of the United Nations,Asha-Rose Migiro,Q461710,2007-02-05,2012-07-01,female,1956-07-09,,Asha-Rose Migiro cropped.jpg,Asha-Rose Migiro
World,Deputy Secretary-General of the United Nations,Jan Eliasson,Q549955,2012-07-01,2016-12-31,male,1940-09-17,,Jan Eliasson at Tällberg Forum 2009 cropped.jpg,Jan Eliasson
World,Deputy Secretary-General of the United Nations,Amina J. Mohammed,Q4746340,2017-02-28,,female,1961-06-27,,Amina J. Mohammed in London - 2018 (41824822362) (cropped).jpg,Amina J. Mohammed
World,President of the United Nations General Assembly,Theo-Ben Gurirab,Q654433,1999,2000,male,1939-01-23,2018-07-14,Theo-Ben Gurirab (cropped) 02.jpg,Theo-Ben Gurirab
World,President of the United Nations General Assembly,Harri Holkeri,Q273324,2000-09-05,2001-09-11,male,1937-01-06,2011-08-07,Holkeri.jpg,Harri Holkeri
World,President of the United Nations General Assembly,Jan Kavan,Q1397396,2002-01-01,2002-12-31,male,1946-10-17,,"Jan Kavan, IEIS conference «Russia and the EU the question of trust»-104.jpg",Jan Kavan
World,President of the United Nations General Assembly,Jan Eliasson,Q549955,2005-06,2006-09-11,male,1940-09-17,,Jan Eliasson at Tällberg Forum 2009 cropped.jpg,Jan Eliasson
World,President of the United Nations General Assembly,Srgjan Kerim,Q690405,2007-09-18,2008-09-18,male,1948-12-12,,Srgjan Kerim.jpg,Srgjan Kerim
World,President of the United Nations General Assembly,Joseph Deiss,Q123823,2010-09-14,2011-09-14,male,1946-01-18,,Joseph Deiss.jpg,Joseph Deiss
World,President of the United Nations General Assembly,Vuk Jeremić,Q722579,2012-09-18,2013-09-17,male,1975-07-03,,Jeremic Vuk.jpg,Vuk Jeremić
World,President of the United Nations General Assembly,John William Ashe,Q6264110,2013-09-17,2014-09-16,male,1954-08-20,2016-06-22,John William Ashe.jpg,John William Ashe
World,President of the United Nations General Assembly,Sam Kutesa,Q58240,2014-09-16,2015-09-16,male,1949-02-01,,Sam Kutesa - 2018 (32521275868) (cropped).jpg,Sam Kutesa
World,President of the United Nations General Assembly,Mogens Lykketoft,Q1937560,2015-09-16,2016-09-13,male,1946-01-09,,Mogens Lykketoft-2011-09-03.jpg,Mogens Lykketoft
World,President of the United Nations General Assembly,Peter Thomson,Q22213056,2016-09,2017-09,male,1948,,Peter Thomson January 2015.jpg,Peter Thomson (diplomat)
World,President of the United Nations General Assembly,Miroslav Lajčák,Q467905,2017-09-12,2018-09-19,male,1963-03-20,,M-Lajcak.jpg,Miroslav Lajčák
World,President of the United Nations General Assembly,María Fernanda Espinosa,Q460904,2018-09-05,2019-09-17,female,1964-09-07,,Entrevista de Canciller María Fernanda Espinosa (36388035054) (cropped).jpg,María Fernanda Espinosa
World,President of the United Nations General Assembly,Tijjani Muhammad-Bande,Q30558371,2019-09-17,2020-09-15,male,1957-12-07,,Tijjani Muhammad-Bande (48791461812) (cropped).jpg,Tijjani Muhammad-Bande
World,President of the United Nations General Assembly,Volkan Bozkır,Q7940222,2021-06-17,2021-06-17,male,1950-11-22,,Volkan Bozkır April 2016 (26358127551) (cropped).jpg,Volkan Bozkır
World,President of the United Nations General Assembly,Abdulla Shahid,Q4665893,2021-09-14,2022-09-13,male,1962-05-26,,Abdulla Shahid April 2021.png,Abdulla Shahid
World,President of the United Nations General Assembly,Csaba Kőrösi,Q110812967,2022-09-13,,male,1958,,2022 Abertura do Debate Geral da 77ª Sessão da Assembleia Geral das Nações Unidas (AGNU) 01.jpg,Csaba Kőrösi
World,Speaker of the Arab Parliament,مشعل السلمي,Q78476236,2016-12-10,2020-10-18,male,1974,,,
World,Speaker of the Arab Parliament,Adel Al Asoomi,Q20408969,2020-10-28,,male,1969-01-01,,,Adel Al Asoomi
World,Under-Secretary-General of the United Nations,Bernard Miyet,Q2898334,1997-01-28,2000-09-30,male,1946-12-16,,Bernard Miyet.jpg,Bernard Miyet
World,Under-Secretary-General of the United Nations,Michel Sidibé,Q3310864,2008-12-01,2019-05-05,male,1952,,Michel Sidibé UNDP 2009.jpg,Michel Sidibé
World,Under-Secretary-General of the United Nations,Cristina Gallach,Q18686248,2015,2017,female,1960-04-01,,(Cristina Gallach) 140319-sanchez-cultura12 (cropped).jpg,Cristina Gallach
World,Under-Secretary-General of the United Nations,Jean-Pierre Lacroix,Q15924670,2017-02-15,,male,1960-05-02,,Jean-Pierre Lacroix - 2018 (cropped).jpg,Jean-Pierre Lacroix (diplomat)
World,Judge of the International Court of Justice,Shigeru Oda,Q432850,1976,2003,male,1924-10-22,,Shigeru Oda cropped Shigeru Oda 19941212.jpg,Shigeru Oda
World,Judge of the International Court of Justice,Stephen M. Schwebel,Q928833,1981,2000,male,1929-03-10,,Stephen Myron Schwebel.jpg,Stephen M. Schwebel
World,Judge of the International Court of Justice,Mohammed Bedjaoui,Q1398046,1982,2001,male,1929-09-21,,,Mohammed Bedjaoui
World,Judge of the International Court of Justice,Gilbert Guillaume,Q320753,1987,2005,male,1930-12-04,,,Gilbert Guillaume
World,Judge of the International Court of Justice,Christopher Weeramantry,Q741091,1991,2000,male,1926-11-17,2017-01-05,Weeramantry.jpg,Christopher Weeramantry
World,Judge of the International Court of Justice,Raymond Ranjeva,Q301511,1991-02,2009-02,male,1942-08-31,,Raymond Ranjeva (2006).jpg,Raymond Ranjeva
World,Judge of the International Court of Justice,Géza Herczegh,Q739091,1993,2003,male,1928-10-17,2010-01-11,,Géza Herczegh
