catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Congo-Brazzaville,President,Denis Sassou-Nguesso,Q57418,1997-10-25,,male,1943-11-23,,Denis Sassou Nguesso 2014.jpg,Denis Sassou Nguesso
Congo-Brazzaville,Prime Minister,Isidore Mvouba,Q57890,2005-01-07,2009-09-15,male,1954-01-08,,"Isidore Mvouba, October 2007.png",Isidore Mvouba
Congo-Brazzaville,Prime Minister,Clément Mouamba,Q23928873,2016-04-23,2021-05-12,male,1943-11-13,2021-10-29,Clément Mouamba - May 2017 (cropped).jpg,Clément Mouamba
Congo-Brazzaville,Prime Minister,Anatole Collinet Makosso,Q4752077,2021-05-12,,male,1965,,,Anatole Collinet Makosso
Congo-Brazzaville,Minister of Culture and Arts,Jean-Claude Gakosso,Q15046890,2002-08-18,2015-08-10,male,1957-07-25,,Jean-Claude Gakosso (2015) (cropped).jpg,Jean-Claude Gakosso
Congo-Brazzaville,Minister of Health,Georges Moyen,Q17076721,2009-09-15,2012-09-25,male,1952,,,Georges Moyen
Congo-Brazzaville,Minister of Health,François Ibovi,Q5493295,2012-09-25,2016-05-06,male,1954,,,François Ibovi
Congo-Brazzaville,Minister of Health,Jacqueline Lydia Mikolo,Q24175564,2016-05-06,,female,1972,,Jacqueline Lydia Mikolo - 2020 (cropped).jpg,Jacqueline Lydia Mikolo
Congo-Brazzaville,Minister of Foreign Affairs,Rodolphe Adada,Q3438286,1997,2007,male,1946-04-28,,,Rodolphe Adada
Congo-Brazzaville,Minister of Foreign Affairs,Basile Ikouébé,Q58135,2007-05-31,2015-08-10,male,1946-07-01,,Basile Ikouebe. Sept 2013.jpg,Basile Ikouébé
Congo-Brazzaville,Minister of Foreign Affairs,Jean-Claude Gakosso,Q15046890,2015-08-10,,male,1957-07-25,,Jean-Claude Gakosso (2015) (cropped).jpg,Jean-Claude Gakosso
Congo-Brazzaville,ambassador to France,Henri Lopès,Q324321,1998-10-26,2016-07-12,male,1937-09-12,,Henri Lopes.jpg,Henri Lopes (Congolese politician)
Congo-Brazzaville,ambassador to France,Rodolphe Adada,Q3438286,2016-07-12,,male,1946-04-28,,,Rodolphe Adada
Congo-Brazzaville,ambassador to Switzerland,Luc-Joseph Okio,Q63442291,2009,2017-01,male,1949,,Luc-Joseph Okio - 2012 (cropped).jpg,
Congo-Brazzaville,ambassador to Turkey,Luc-Joseph Okio,Q63442291,2018-01,2021,male,1949,,Luc-Joseph Okio - 2012 (cropped).jpg,
