catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Iran,Member of the Guardian Council,Ahmad Jannati,Q400624,1980-02-20,2016-05-24,male,1927-02-22,,Ahmad Jannati tsnm.jpg,Ahmad Jannati
Iran,Member of the Guardian Council,Sadeq Larijani,Q24682,2001,2009,male,1960-03-12,,Amoli Larijani.jpg,Sadeq Larijani
Iran,Member of the Guardian Council,Sadeq Larijani,Q24682,2018-12-30,2021-09-03,male,1960-03-12,,Amoli Larijani.jpg,Sadeq Larijani
Iran,Member of the Islamic Consultative Assembly,Mehdi Karroubi,Q315011,1980-05-28,2004-05-28,male,1937-09-26,,Karubi in zanjan.jpg,Mehdi Karroubi
Iran,Member of the Islamic Consultative Assembly,Hassan Rouhani,Q348144,1984-05-28,2000-05-27,male,1948-11-12,,Hassan Rouani 2017 portrait.jpg,Hassan Rouhani
Iran,Member of the Islamic Consultative Assembly,Mohammad-Reza Rahchamani,Q85098459,1984-05-28,2020-03-09,male,1952-12-01,2020-03-09,MohammadReza RahChamani 1397-08-23.jpg,Mohammad-Reza Rahchamani
Iran,Member of the Islamic Consultative Assembly,Mohsen Mojtahed Shabestari,Q5953942,1992-05-28,2000-05-26,male,1937,2021-11-17,Mohsen Mojtahed Shabestari.jpg,Mohsen Mojtahed Shabestari
Iran,Member of the Islamic Consultative Assembly,Mahmoud Alavi,Q14514594,1992-05-29,2000-05-27,male,1954-05-04,,محمود-علوی.jpg,Mahmoud Alavi
Iran,Member of the Islamic Consultative Assembly,Faezeh Hashemi Rafsanjani,Q433500,1996,2000,female,1962-01-07,,Faezeh Hashemi.jpg,Faezeh Hashemi Rafsanjani
Iran,Member of the Islamic Consultative Assembly,Ali Aghazadeh Dafsari,Q4724563,1996,2000,male,1955,,,Ali Aghazadeh Dafsari
Iran,Member of the Islamic Consultative Assembly,Hamid-Reza Haji Babaee,Q5644561,1996,2009,male,1959-05-14,,Hamid Reza Haji Babaee.jpg,Hamid-Reza Haji Babaee
Iran,Member of the Islamic Consultative Assembly,Hossein Marashi,Q5954519,1996-05-28,2004-05-04,male,1958-11-17,,Hossein Marashi 01.jpg,Hossein Marashi
Iran,Member of the Islamic Consultative Assembly,Hamid Kahram,Q21405631,2000,2004,male,1958,2020-03-19,,Hamid Kahram
Iran,Member of the Islamic Consultative Assembly,Mohammad-Reza Khatami,Q1942631,2000-05-26,2004-05-28,male,1959,,Mohammad Reza Khatami.jpg,Mohammad-Reza Khatami
Iran,Member of the Islamic Consultative Assembly,Fatemeh Haghighatjoo,Q5437443,2000-05-26,2004-02-23,female,1968-12-29,,,Fatemeh Haghighatjoo
Iran,Member of the Islamic Consultative Assembly,Behzad Nabavi,Q814575,2000-05-26,2001-05-28,male,1941-09-29,,Behzad Nabavi 2016.jpg,Behzad Nabavi
Iran,Member of the Islamic Consultative Assembly,Behzad Nabavi,Q814575,2000-05-26,2004-05-28,male,1941-09-29,,Behzad Nabavi 2016.jpg,Behzad Nabavi
Iran,Member of the Islamic Consultative Assembly,Morteza Kheyrabadi,Q16074593,2000-05-27,2004-05-26,male,1963,,Morteza KheyrAbadi 1394-12-02 03.jpg,
Iran,Member of the Islamic Consultative Assembly,Gholam-Ali Haddad-Adel,Q1394767,2000-05-28,2016-05-27,male,1945-05-04,,غلامعلی حداد عادل2.jpg,Gholam-Ali Haddad-Adel
Iran,Member of the Islamic Consultative Assembly,Ali Akbar Mohtashamipur,Q1770882,2000-05-28,2004-05-28,male,1947,2021-06-07,Ali Akbar Mohtashamipur.jpg,Ali Akbar Mohtashamipur
Iran,Member of the Islamic Consultative Assembly,Mohammad Mirmohammadi,Q16052285,2001-06-02,2005-06-02,male,1948,2020-03-02,Seyyed Mohammad Mirmohammadi 2018-06-23.jpg,Mohammad Mirmohammadi
Iran,Member of the Islamic Consultative Assembly,Mohammad-Reza Bahonar,Q350328,2004-05-28,2016-05-28,male,1952-02-02,,Mohammad Reza Bahonar - Nishapur 2.JPG,Mohammad-Reza Bahonar
Iran,Member of the Islamic Consultative Assembly,Ahmad Tavakkoli,Q4164150,2004-05-28,2016-05-28,male,1951-03-05,,Ahmad Tavakkoli Cropped.jpg,Ahmad Tavakkoli
Iran,Member of the Islamic Consultative Assembly,Alireza Zakani,Q5950108,2004-05-28,2016-05-28,male,1965-07-18,,علیرضا زاکانی.jpg,Alireza Zakani
Iran,Member of the Islamic Consultative Assembly,Fatemeh Rahbar,Q5946269,2005-05-28,2009-05-28,female,1964,2020-03-07,Fatemeh Rahbar.jpg,Fatemeh Rahbar
Iran,Member of the Islamic Consultative Assembly,Mohammad Mirmohammadi,Q16052285,2005-06-02,2009-06-02,male,1948,2020-03-02,Seyyed Mohammad Mirmohammadi 2018-06-23.jpg,Mohammad Mirmohammadi
Iran,Member of the Islamic Consultative Assembly,Hossein Sheikholeslam,Q16885630,2005-06-06,2009-06-06,male,1952-12-07,2020-03-05,Hossein Sheikholeslam.jpg,Hossein Sheikholeslam
Iran,Member of the Islamic Consultative Assembly,Abolfazl Abutorabi,Q16046552,2008,2016,male,1976-03-23,,,
