catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Bhutan,Druk Gyalpo (King),Jigme Singye Wangchuck,Q200273,1972-07-21,2006-12-14,male,1955-11-11,,Jigme Singye Wangchuck 2008.jpg,Jigme Singye Wangchuck
Bhutan,Druk Gyalpo (King),Jigme Khesar Namgyel Wangchuck,Q57376,2006-12-14,,male,1980-02-21,,King Jigme Khesar Namgyel Wangchuck.jpg,Jigme Khesar Namgyel Wangchuck
Bhutan,Prime Minister,Sangay Ngedup,Q374296,1999-07-09,2000-07-20,male,1953-07-01,,Sangay Ngedup 2005.jpg,Sangay Ngedup
Bhutan,Prime Minister,Yeshey Zimba,Q864561,2000-07-20,2001-08-08,male,1952-10-10,,Yeshey Zimba (cropped).jpg,Yeshey Zimba
Bhutan,Prime Minister,Khandu Wangchuk,Q441881,2001,2002,male,1950-11-24,,Khandu Wangchuk (cropped).jpg,Khandu Wangchuk
Bhutan,Prime Minister,Kinzang Dorji,Q703421,2002-08-24,2003-08-30,male,1951-02-19,,Prime Minister Kinzang Dorji of Bhutan.jpg,Kinzang Dorji
Bhutan,Prime Minister,Jigme Thinley,Q57677,2003-08-30,2004-08-18,male,1952-09-09,,Jigmi Y. Thinley (cropped).jpg,Jigme Thinley
Bhutan,Prime Minister,Yeshey Zimba,Q864561,2004-08-20,2005-09-04,male,1952-10-10,,Yeshey Zimba (cropped).jpg,Yeshey Zimba
Bhutan,Prime Minister,Sangay Ngedup,Q374296,2005-09-05,2006-09-07,male,1953-07-01,,Sangay Ngedup 2005.jpg,Sangay Ngedup
Bhutan,Prime Minister,Khandu Wangchuk,Q441881,2006-09-07,2007-08-02,male,1950-11-24,,Khandu Wangchuk (cropped).jpg,Khandu Wangchuk
Bhutan,Prime Minister,Kinzang Dorji,Q703421,2007-08-03,2008-04-09,male,1951-02-19,,Prime Minister Kinzang Dorji of Bhutan.jpg,Kinzang Dorji
Bhutan,Prime Minister,Jigme Thinley,Q57677,2008-04-09,2013-04-28,male,1952-09-09,,Jigmi Y. Thinley (cropped).jpg,Jigme Thinley
Bhutan,Prime Minister,Tshering Tobgay,Q7849613,2013-07-27,2018-08-09,male,1965-09-19,,Tshering Tobgay.jpg,Tshering Tobgay
Bhutan,Prime Minister,Lotay Tshering,Q57313851,2018-11-07,,male,1969-05-10,,"Prime Minister of Bhutan Dr. Lotay Tshering on December 28, 2018 (cropped).jpg",Lotay Tshering
Bhutan,Minister of Agriculture and Forests,Yeshey Penjor,Q58756421,2018-11-07,,male,1964,,,Yeshey Penjor
Bhutan,Minister of Economic Affairs,Loknath Sharma,Q58813011,2018-11-07,,male,1971,,Deputy Secretary Sullivan Meets with Ministry of Economic Affairs (48534231547) (cropped).jpg,Loknath Sharma
Bhutan,Minister of Education,Norbu Wangchuk,Q30069885,2013,2018,male,,,,Norbu Wangchuk
Bhutan,Minister of Education,Jai Bir Rai,Q58813052,2018-11-07,,male,1973,,Jai Bir Rai.jpg,Jai Bir Rai
Bhutan,Minister of Finance,Wangdi Norbu,Q20983456,2003-07,2013-05,male,,,,Wangdi Norbu
Bhutan,Minister of Finance,Namgay Tshering,Q58972868,2018-11-07,,male,1979,,,Namgay Tshering
Bhutan,Minister of Foreign Affairs,Khandu Wangchuk,Q441881,2003,2007,male,1950-11-24,,Khandu Wangchuk (cropped).jpg,Khandu Wangchuk
Bhutan,Minister of Foreign Affairs,Yeshey Dorji,Q107511238,2007,2008,male,,,,
Bhutan,Minister of Foreign Affairs,Ugyen Tshering,Q58318,2008,2013,male,1954-08-08,,Ugyen Tshering (cropped).jpg,Ugyen Tshering
Bhutan,Minister of Foreign Affairs,Lyonpo Rinzin Dorje,Q107511330,2013,2015,male,1964,,,
Bhutan,Minister of Foreign Affairs,Damcho Dorji,Q21037701,2015-08-02,2018,male,1965-06-23,,Damcho Dorji 2016 (cropped).jpg,Damcho Dorji
Bhutan,Minister of Foreign Affairs,Tandi Dorji,Q58422562,2018-11-08,,male,1968,,"Deputy Secretary Sullivan Meets with Foreign Minister Tandi Dorji in Thimphu, Bhutan (48526062911) (cropped).jpg",Tandi Dorji
Bhutan,Minister of Health,Dechen Wangmo,Q58806797,2018-11-07,,female,1976,,,Dechen Wangmo (politician)
Bhutan,Minister for Information and Communication,Karma Donnen Wangdi,Q58972835,2018-11-07,,male,1971,,,Karma Donnen Wangdi
Bhutan,Minister of Home and Cultural Affairs,Sherub Gyeltshen,Q58754585,2018-11-07,2021-05-06,male,1955,,Dasho Sherub Gyeltshen at Trumshingla.jpg,Sherub Gyeltshen
Bhutan,Minister of Home and Cultural Affairs,Ugyen Dorji,Q59773551,2021-09-08,,male,1986,,,Ugyen Dorji (DNT politician)
Bhutan,Minister of Labour and Human Resources,Dorji Wangdi,Q21063387,2008,2013,male,1969-08-15,,,Dorji Wangdi
Bhutan,Minister of Labour and Human Resources,Ugyen Dorji,Q59773551,2018-11-07,2021-09-08,male,1986,,,Ugyen Dorji (DNT politician)
Bhutan,Minister of Labour and Human Resources,Karma Dorji,Q109969244,2021-09-08,,male,,,,
Bhutan,Minister of Works and Human Settlement,Aum Dorji Choden,Q16769643,2013,2018,female,1960-12-05,,,Dorji Choden
Bhutan,Minister of Works and Human Settlement,Dorji Tshering,Q58813057,2018-11-07,,male,1979,,,Dorji Tshering
Bhutan,Speaker of the National Assembly,Jigme Zangpo,Q30070224,2013,2018,male,,,,Jigme Zangpo
Bhutan,Speaker of the National Assembly,Wangchuk Namgyel,Q58754649,2018-10-31,,male,1964,,,Wangchuk Namgyel
Bhutan,Chairman of the National Council,Tashi Dorji,Q10293060,2018-05-10,,male,1981-10-03,,Tashi Dorji.jpg,Tashi Dorji
Bhutan,Chief Justice,Sonam Tobgye,Q23682479,2010,2014,male,1949-11-15,,Sonam Tobgye (cropped).jpg,Sonam Tobgye
Bhutan,Chief Justice,Dasho Tshering Wangchuk,Q56100719,2014-11-29,2019,male,,,Tshering Wangchuk (cropped).JPG,Tshering Wangchuk
Bhutan,Chief Justice,Chogyal Dago Rigdzin,Q109969320,2020-06-11,,male,,,,
Bhutan,Governor of the Royal Monetary Authority,Dasho Penjore,Q109969147,2015-12,,male,,,,
Bhutan,COO of the Army,Batoo Tshering,Q16147943,2005-11-01,,male,1951-12-11,,Batoo Tshering.jpg,Batoo Tshering
Bhutan,Druk Gyaltsuen,Jetsun Pema,Q209532,2011-10-13,,female,1990-06-04,,Dragon Queen of Bhutan (cropped).jpg,Jetsun Pema
Bhutan,Chief Advisor,Sonam Tobgye,Q23682479,2013-04-28,2013-07-27,male,1949-11-15,,Sonam Tobgye (cropped).jpg,Sonam Tobgye
Bhutan,Chief Advisor,Dasho Tshering Wangchuk,Q56100719,2018-08-09,2018-11-07,male,,,Tshering Wangchuk (cropped).JPG,Tshering Wangchuk
