catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Oman,Sultan,Qaboos bin Said Al Said,Q57331,1970-07-23,2020-01-10,male,1940-11-18,2020-01-10,QaboosBinSaidAlSaid (cropped).jpg,Qaboos bin Said
Oman,Sultan,Haitham bin Tarik Al Said,Q12250314,2020-01-11,,male,1955-10-11,,Secretary Pompeo Meets with the Sultan of Oman Haitham bin Tariq Al Said (49565463757) (cropped).jpg,Haitham bin Tariq
Oman,Crown Prince,Dhi Yazan bin Haitham,Q104828519,2021-01-12,,male,1990-08-21,,ذي يزن بن هيثم آل سعيد.png,Theyazin bin Haitham
Oman,Deputy Prime Minister,Fahd bin Mahmoud al Said,Q5429529,1972-06-23,,male,1944,,Sayyid Fahd bin Mahmoud al Said (cropped).png,Fahd bin Mahmoud al Said
Oman,Deputy Prime Minister,Asa'ad bin Tariq bin Taimur al Said,Q59660242,2017-03-03,,male,1954-06-01,,Asa'ad bin Tariq Al Said at the Enthronement of Naruhito (1).jpg,Asa'ad bin Tariq
Oman,Minister of Civil Service,Khalid bin Omar bin Said al Marhoon,Q59660260,2012,,male,,,,Khalid bin Omar bin Said al Marhoon
Oman,Minister of Commerce and Industry,Ali bin Masoud al Sunaidy,Q59268429,2020-08,,male,1946-12-28,,,Ali bin Masoud al Sunaidy
Oman,"Minister of Culture, Sports and Youth",Dhi Yazan bin Haitham,Q104828519,2020-08-18,,male,1990-08-21,,ذي يزن بن هيثم آل سعيد.png,Theyazin bin Haitham
Oman,Minister of Defence,Sayyid Badr bin Saud al Busaidi,Q7429365,2004,,male,,,Sayyid Badr bin Saud al Busaidi 080405-F-6655M-031 0ZIW3.jpg,Badr bin Saud al Busaidi
Oman,Minister of Education,Madeeha bint Ahmed bin Nassir al Shibaniyah,Q43287478,2011,,female,,,"26-11-2013 Ministra da educação do Sultanato de Omã, Madeeha bint Ahmed al Shivaniyia é recebida pelo vice-presidente Michel Temer - 11067460114.jpg",Madeeha bint Ahmed bin Nassir al Shibaniyah
Oman,Minister of Finance,Darwish bin Ismail al-Balushi,Q108864719,2011-03,2020-08,male,,,,
Oman,Minister of Finance,Haitham bin Tarik Al Said,Q12250314,2020-01-11,2020-08-18,male,1955-10-11,,Secretary Pompeo Meets with the Sultan of Oman Haitham bin Tariq Al Said (49565463757) (cropped).jpg,Haitham bin Tariq
Oman,Minister of Finance,Sultan bin Salem bin Saeed al-Habsi,Q108864704,2020-08,,male,,,,
Oman,Minister of Foreign Affairs,Yusuf bin Alawi bin Abdullah,Q58267,1997,2020-08-18,male,1945,,"Minister Responsible for Foreign Affairs, Sultanate of Oman (8657089041) (cropped).jpg",Yusuf bin Alawi bin Abdullah
Oman,Minister of Foreign Affairs,Haitham bin Tarik Al Said,Q12250314,2020-01-11,2020-08-18,male,1955-10-11,,Secretary Pompeo Meets with the Sultan of Oman Haitham bin Tariq Al Said (49565463757) (cropped).jpg,Haitham bin Tariq
Oman,Minister of Foreign Affairs,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Q98456849,2020-08-18,,male,1960-05-30,,UK-Oman Joint Working Group (10154028623) (cropped).jpg,Sayyid Badr Albusaidi
Oman,Minister of Heritage and Culture,Haitham bin Tarik Al Said,Q12250314,2002-03,2020-03-01,male,1955-10-11,,Secretary Pompeo Meets with the Sultan of Oman Haitham bin Tariq Al Said (49565463757) (cropped).jpg,Haitham bin Tariq
Oman,Minister of Higher Education,Rawya Saud Al Busaidi,Q7297086,2004-03-08,,female,,,,Rawya Saud Al Busaidi
Oman,Minister of the Interior,Sayyid Hamoud bin Faisal al Busaidi,Q59660255,2018,,male,,,,Sayyid Hamoud bin Faisal al Busaidi
Oman,Governor of Al Buraimi,Sayyid Saud bin Hilal bin Hamad al-Busaidi,Q106854887,2020-08,,male,,,,Sayyid Saud bin Hilal bin Hamad al-Busaidi
Oman,ambassador to the United Kingdom,Abdul Aziz Al Hinai,Q91936078,2009,,male,1961-01-20,,,
