catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Ghana,Member of the 1st Parliament of the 4th Republic,Akwasi Afrifa,Q98000358,1993-01-07,2000-01-06,male,1958-09-22,2006-11-30,,Akwasi Afrifa (Ghanaian MP)
Ghana,Member of the 8th Parliament of the 4th Republic,Alex Blankson,Q104054147,2021-01-07,,male,1980-12-26,,Alex Blankson.jpg,Alex Blankson
Ghana,Member of the 8th Parliament of the 4th Republic,Collins Adomako-Mensah,Q104054167,2021-01-07,,male,1983-11-02,,COLLINS ADOMAKO-MENSAH.jpg,Collins Adomako-Mensah
Ghana,Member of the 8th Parliament of the 4th Republic,John Kumah,Q104451618,2021-01-07,,male,1978-08-04,,JOHN AMPONTUAH KUMAH.jpg,John Kumah
Ghana,Member of the 8th Parliament of the 4th Republic,Habib Iddrisu,Q104626431,2021-01-07,,male,,,HABIB IDDRISU.jpg,Habib Iddrisu
Ghana,Member of the 8th Parliament of the 4th Republic,Kofi Amankwa-Manu,Q104696363,2021-01-07,,male,1969-04-11,,KOFI AMANKWA-MANU.jpg,Kofi Amankwa-Manu
Ghana,Member of the 8th Parliament of the 4th Republic,Kingsley Nyarko,Q104956485,2021-01-07,,male,1973-06-10,,Kingsley Nyarko.jpg,Kingsley Nyarko
Ghana,Member of the 8th Parliament of the 4th Republic,Akwasi Boateng,Q105712680,2021-01-07,,male,1967-06-20,,Akwasi Darko Boateng.jpg,Akwasi Boateng
Ghana,Member of the 8th Parliament of the 4th Republic,Martin Kwaku Adjei-Mensah Korsah,Q113483572,2021-01-07,,male,1978-04-12,,MARTIN ADJEI-MENSAH KORSAH.jpg,Martin Kwaku Adjei-Mensah Korsah
Ghana,Member of the 8th Parliament of the 4th Republic,Kofi Ahenkorah Marfo,Q113543383,2021-01-07,,male,1968-04-26,,KOFI AHENKORAH MARFO.jpg,Kofi Ahenkorah Marfo
Ghana,Member of the 8th Parliament of the 4th Republic,Daniel Botwe,Q1160142,2021-01-07,,male,1958-02-26,,Dan Botwe.jpg,Dan Botwe
Ghana,Member of the 8th Parliament of the 4th Republic,Muntaka Mohammed Mubarak,Q16733008,2021-01-07,,male,1971-10-17,,MOHAMMED MUBARAK MUNTAKA.jpg,Mubarak Mohammed Muntaka
Ghana,Member of the 8th Parliament of the 4th Republic,Kobina Tahir Hammond,Q17386197,2021-01-07,,male,1960-06-16,,KOBINA TAHIR HAMMOND.jpg,Kobina Tahir Hammond
Ghana,Member of the 8th Parliament of the 4th Republic,Francisca Oteng-Mensah,Q20119890,2021-01-07,,female,1993-02-14,,FRANCISCA OTENG MENSAH.jpg,Francisca Oteng-Mensah
Ghana,Member of the 8th Parliament of the 4th Republic,Sarah Adwoa Sarfo,Q20898403,2021-01-07,,female,1981-12-28,,,Sarah Adwoa Safo
Ghana,Member of the 8th Parliament of the 4th Republic,Ama Pomaa Boateng,Q27975634,2021-01-07,,female,1975-08-19,,AMA POMAA BOATENG.jpg,Ama Pomaa Boateng
Ghana,Member of the 8th Parliament of the 4th Republic,Joseph Osei Owusu,Q28377798,2021-01-07,,male,1962-01-22,,JOSEPH OSEI-OWUSU.jpg,Joseph Osei Owusu
Ghana,Member of the 8th Parliament of the 4th Republic,Kwaku Agyemang-Manu,Q28741196,2021-01-07,,male,1955-09-06,,KWAKU AGYEMAN-MANU.jpg,Kwaku Agyemang-Manu
Ghana,Member of the 8th Parliament of the 4th Republic,Emmanuel Adjei Anhwere,Q30674983,2021-01-07,,male,1962-09-20,,EMMANUEL AGYEI ANHWERE.jpg,Emmanuel Adjei Anhwere
Ghana,Member of the 8th Parliament of the 4th Republic,Benito Owusu Bio,Q30688553,2021-01-07,,male,1968-11-01,,BENITO OWUSU-BIO.jpg,Benito Owusu Bio
Ghana,Member of the 8th Parliament of the 4th Republic,Isaac Kwame Asiamah,Q33108613,2021-01-07,,male,1975-12-24,,ISAAC KWAME ASIAMAH.jpg,Isaac Kwame Asiamah
Ghana,Member of the 8th Parliament of the 4th Republic,Francis Asenso-Boakye,Q43377247,2021-01-07,,male,1977-09-24,,FRANCIS ASENSO-BOAKYE.jpg,Francis Asenso-Boakye
Ghana,Member of the 8th Parliament of the 4th Republic,Abdul-Rashid Pelpuo,Q4665233,2021-01-07,,male,1964-05-05,,ABDUL-RASHID HASSAN PELPUO.jpg,Abdul-Rashid Pelpuo
Ghana,Member of the 8th Parliament of the 4th Republic,Mavis Nkansah Boadu,Q57915895,2021-01-07,,female,1989-05-17,,MAVIS NKANSAH-BOADU.jpg,Mavis Nkansah Boadu
Ghana,Member of the 8th Parliament of the 4th Republic,Kwame Anyimadu Antwi,Q59180272,2021-01-07,,male,1962-04-12,,KWAME ANYIMADU-ANTWI.jpg,Kwame Anyimadu-Antwi
Ghana,Member of the 8th Parliament of the 4th Republic,Richard Acheampong,Q61679882,2021-01-07,,male,1970-05-18,,Richard Acheampong.jpg,Richard Acheampong
Ghana,Member of the 8th Parliament of the 4th Republic,Andrew Asiamah Amoako,Q61686734,2021-01-07,,male,1966-02-24,,Andrew Asiamah Amoako.jpg,Andrew Asiamah Amoako
Ghana,Member of the 8th Parliament of the 4th Republic,Andy Kwame Appiah-Kubi,Q61694546,2021-01-07,,male,1957-07-07,,ANDY KWAME APPIAH-KUBI.jpg,Andy Kwame Appiah-Kubi
Ghana,Member of the 8th Parliament of the 4th Republic,Emmanuel Kwasi Bedzrah,Q61694590,2021-01-07,,male,1967-05-28,,EMMANUEL KWASI BEDZRAH.jpg,Emmanuel Kwasi Bedzrah
